"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
1996-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9,NA,83.7,NA,NA,NA
1996-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4,NA,84.08,NA,NA,NA
1996-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5,NA,84.38,NA,NA,NA
1996-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4,NA,84.52,NA,NA,NA
1996-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6,NA,84.71,NA,NA,NA
1996-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,NA,84.73,NA,NA,NA
1996-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,NA,84.72,NA,NA,NA
1996-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8,NA,84.68,NA,NA,NA
1996-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8,NA,84.84,NA,NA,NA
1996-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,NA,84.91,NA,NA,NA
1996-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6,NA,84.93,NA,NA,NA
1996-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,85.14,NA,NA,NA
1997-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,NA,85.41,NA,NA,NA
1997-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,NA,85.61,NA,NA,NA
1997-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.8,NA,85.68,NA,NA,NA
1997-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,NA,85.63,NA,NA,NA
1997-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,NA,85.86,NA,NA,NA
1997-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,85.89,NA,NA,NA
1997-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,NA,85.98,NA,NA,NA
1997-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,86.12,NA,NA,NA
1997-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1,NA,86.18,NA,NA,NA
1997-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,86.21,NA,NA,NA
1997-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,86.31,NA,NA,NA
1997-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,NA,86.4,NA,NA,NA
