"dataset","variable","start","end","observations","missing","min","max"
"monthly","wx_shadow_rate","2004-09-30","2022-08-31",216,147,-7.82361873918939,4.27850990652411
"monthly","dfr_eop","2005-01-31","2025-12-31",252,111,-0.5,4
"monthly","dfr_avg","2005-01-31","2025-12-31",252,111,-0.5,4
"monthly","hh_loans_ea_stock","2003-01-31","2026-03-31",279,84,3426384,7177058.12
"monthly","nfc_loans_ea_stock","2003-01-31","2026-03-31",279,84,2995951,5386293.57
"monthly","dax_close","2005-01-31","2026-01-31",253,110,3843.74,24515.73
"monthly","dax_volume","2005-01-31","2026-01-31",253,110,0,8597750080
"monthly","retail_de_mom_pct","2005-01-31","2025-12-31",252,111,-9.3,11.3
"monthly","retail_de_chained_index","2005-01-31","2025-12-31",252,111,95.1804486421357,129.349688571349
"monthly","hicp_de","1996-01-31","2025-12-31",360,3,87.9,155.8
"monthly","hicp_ea20","1999-12-31","2025-12-31",313,50,88.37,153.26
"monthly","hicp_ea","1996-01-31","2025-12-31",360,3,83.7,152.97
"monthly","dax_real_de","2005-01-31","2025-12-31",252,111,3585.57835820896,15759.5945945946
"monthly","hh_loans_real_de_hicp","2003-01-31","2025-12-31",276,87,3571176.34854772,5215650.80816326
"monthly","nfc_loans_real_de_hicp","2003-01-31","2025-12-31",276,87,3111894.30051813,4629683.01408451
"quarterly","wx_shadow_rate","2004-09-30","2022-09-30",73,53,-7.73880420721419,4.09377965520856
"quarterly","dfr_avg","2005-03-31","2025-12-31",84,42,-0.5,4
"quarterly","dfr_eop","2005-03-31","2025-12-31",84,42,-0.5,4
"quarterly","hh_loans_ea_stock","2003-03-31","2026-03-31",93,33,3457164,7177058.12
"quarterly","nfc_loans_ea_stock","2003-03-31","2026-03-31",93,33,3002978,5386293.57
"quarterly","credit_standards_enterprise","2003-03-31","2026-06-30",94,32,-16,65
"quarterly","credit_standards_household","2003-03-31","2026-06-30",94,32,-12,41
"quarterly","house_price_de","2005-03-31","2025-12-31",84,42,95.8,196.1
"quarterly","compensation_ea20_nominal","1995-03-31","2025-12-31",124,2,59.88,126.12
"quarterly","dax_close","2005-03-31","2026-03-31",85,41,4084.76,24515.73
"quarterly","retail_de_mom_pct","2005-03-31","2025-12-31",84,42,-1.93333333333333,1.8
"quarterly","retail_de_chained_index","2005-03-31","2025-12-31",84,42,96.8841371107007,127.236375600209
"quarterly","hicp_de","1996-03-31","2025-12-31",120,6,88.2666666666667,155.466666666667
"quarterly","hicp_ea20","1999-12-31","2025-12-31",105,21,88.37,153.053333333333
"quarterly","hicp_ea","1996-03-31","2025-12-31",120,6,84.0533333333333,152.766666666667
"quarterly","ecb_total_assets","1999-12-31","2025-12-31",27,99,795161,8560237
"quarterly","ecb_monetary_policy_securities","1999-12-31","2025-12-31",27,99,0,4937179
"quarterly","house_price_de_real","2005-03-31","2025-12-31",84,42,91.4939684503557,146.611909650924
"quarterly","compensation_ea20_real","1999-12-31","2025-12-31",105,21,75.3875749688808,82.5319298978766
"quarterly","dax_real_de","2005-03-31","2025-12-31",84,42,3821.10383536015,15752.8366209262
"quarterly","hh_loans_real_de_hicp","2003-03-31","2025-12-31",92,34,3591236.84210526,5202126.55844156
"quarterly","nfc_loans_real_de_hicp","2003-03-31","2025-12-31",92,34,3119436.98060942,4584597.58652947
