"date","ecb_total_assets","ecb_monetary_policy_securities"
1999-12-31,806853,0
2000-12-31,836078,0
2001-12-31,814089,0
2002-12-31,795161,0
2003-12-31,834796,0
2004-12-31,884324,0
2005-12-31,1038616,0
2006-12-31,1150030,0
2007-12-31,1507887,0
2008-12-31,2075107,0
2009-12-31,1897939,28782
2010-12-31,1997195,134829
2011-12-31,2727741,273854
2012-12-31,2957007,277153
2013-12-31,2267881,235930
2014-12-31,2203323,217242
2015-12-31,2775298,803135
2016-12-31,3656613,1653995
2017-12-31,4462949,2386012
2018-12-31,4698196,2651281
2019-12-31,4667063,2632025
2020-12-31,6973507,3694496
2021-12-31,8560237,4713403
2022-12-31,7946976,4937179
2023-12-31,6887265,4694345
2024-12-31,6420536,4283371
2025-12-31,6293325,3745459
