variable,transform,event_date,growth_or_diff_at_event,pre_2020_mean,pre_2020_sd,event_zscore_vs_pre2020
wx_shadow_rate,level,2008-12-31,-1.4882914455510399,-0.14825777349768038,0.5067848991669496,-2.6441862696700316
wx_shadow_rate,level,2012-09-30,-0.34384756935662886,-0.14825777349768038,0.5067848991669496,-0.38594243076393553
wx_shadow_rate,level,2020-06-30,-0.17502321516603025,-0.14825777349768038,0.5067848991669496,-0.05281420522266305
wx_shadow_rate,level,2022-09-30,1.37454585449739,-0.14825777349768038,0.5067848991669496,3.0048322878172717
dfr_eop,level,2008-12-31,-0.5833333333333299,-0.025423728813559324,0.29315884197871434,-1.9030966310075657
dfr_eop,level,2012-09-30,-0.25,-0.025423728813559324,0.29315884197871434,-0.7660566185574805
dfr_eop,level,2020-06-30,0.0,-0.025423728813559324,0.29315884197871434,0.08672339078009214
dfr_eop,level,2022-09-30,0.75,-0.025423728813559324,0.29315884197871434,2.64506341879281
hh_loans_ea_stock,log,2008-12-31,0.006705046301981099,0.0087873514555181,0.008351194641306755,-0.24934218910878733
hh_loans_ea_stock,log,2012-09-30,-0.001990331361277242,0.0087873514555181,0.008351194641306755,-1.290555816228575
hh_loans_ea_stock,log,2020-06-30,0.006548735641057846,0.0087873514555181,0.008351194641306755,-0.26805935086072497
hh_loans_ea_stock,log,2022-09-30,0.0081858601734357,0.0087873514555181,0.008351194641306755,-0.07202457946642728
nfc_loans_ea_stock,log,2008-12-31,0.01655381080141538,0.006260423287590168,0.014433175651662467,0.7131755174502835
nfc_loans_ea_stock,log,2012-09-30,-0.01011131260037601,0.006260423287590168,0.014433175651662467,-1.1343128001134262
nfc_loans_ea_stock,log,2020-06-30,0.02815282964218291,0.006260423287590168,0.014433175651662467,1.5168114684498482
nfc_loans_ea_stock,log,2022-09-30,0.02315859659581143,0.006260423287590168,0.014433175651662467,1.1707869228540062
credit_standards_enterprise,level,2008-12-31,22.0,-0.8805970149253731,9.537044819051498,2.3991286031516155
credit_standards_enterprise,level,2012-09-30,1.0,-0.8805970149253731,9.537044819051498,0.19718865231383143
credit_standards_enterprise,level,2020-06-30,2.0,-0.8805970149253731,9.537044819051498,0.30204293568705926
credit_standards_enterprise,level,2022-09-30,10.0,-0.8805970149253731,9.537044819051498,1.1408772026728817
credit_standards_household,level,2008-12-31,7.0,-0.2835820895522388,6.977900114255208,1.0438071583559287
credit_standards_household,level,2012-09-30,-5.0,-0.2835820895522388,6.977900114255208,-0.6759079140173637
credit_standards_household,level,2020-06-30,10.0,-0.2835820895522388,6.977900114255208,1.4737359264492518
credit_standards_household,level,2022-09-30,22.0,-0.2835820895522388,6.977900114255208,3.1934509988225446
house_price_de,log,2008-12-31,0.006982572011130728,0.007918550164216935,0.009669863621976143,-0.09679331474324661
