dataset,variable,transform,preferred_level_transform,nobs,start,end,adf_c_level_stat,adf_c_level_p,adf_ct_level_stat,adf_ct_level_p,kpss_c_level_stat,kpss_c_level_p,kpss_ct_level_stat,kpss_ct_level_p,pp_c_level_stat,pp_c_level_p,adf_c_diff_p,kpss_c_diff_p,test_notes,classification
monthly,wx_shadow_rate,preferred_level,level,216,2004-09-30,2022-08-31,-1.5469268416115396,0.5101829122115857,-1.1568408037112992,0.9189788140891122,2.0023823093051085,0.01,0.14101441878927945,0.05923255779763063,-1.2723719692548072,0.6417155037066229,0.12543662181124765,0.1,,unclear
monthly,wx_shadow_rate,level,level,216,2004-09-30,2022-08-31,-1.5469268416115396,0.5101829122115857,-1.1568408037112992,0.9189788140891122,2.0023823093051085,0.01,0.14101441878927945,0.05923255779763063,-1.2723719692548072,0.6417155037066229,0.12543662181124765,0.1,,unclear
monthly,wx_shadow_rate,first_diff_preferred,level,215,2004-10-31,2022-08-31,-2.460293406952946,0.12543662181124765,-2.5568265943203277,0.3001569248661716,0.29721609606039967,0.1,0.21881311636765893,0.01,-15.285293781496584,4.519656010281731e-28,6.008260223334242e-19,0.1,,difference-stationary/ambiguous
monthly,wx_shadow_rate,yoy_diff_preferred,level,204,2005-09-30,2022-08-31,-1.5992996482337007,0.4839452722316831,-1.438408709441111,0.8492823519295185,0.2006144742175931,0.1,0.1878730767289344,0.020547596226649593,-1.34245515711005,0.609532285439971,0.008307744437485567,0.1,,difference-stationary/ambiguous
monthly,dfr_eop,preferred_level,level,252,2005-01-31,2025-12-31,-1.8899407414200917,0.33680800005147216,-1.8732671233262388,0.6684061488372914,0.38500949818644814,0.08361659560928959,0.38331259065419127,0.01,-1.762449226420837,0.3992574337840805,2.365725648971175e-05,0.1,,difference-stationary/ambiguous
monthly,dfr_eop,level,level,252,2005-01-31,2025-12-31,-1.8899407414200917,0.33680800005147216,-1.8732671233262388,0.6684061488372914,0.38500949818644814,0.08361659560928959,0.38331259065419127,0.01,-1.762449226420837,0.3992574337840805,2.365725648971175e-05,0.1,,difference-stationary/ambiguous
monthly,dfr_eop,first_diff_preferred,level,251,2005-02-28,2025-12-31,-4.985964810305412,2.365725648971175e-05,-4.997720934212205,0.00020772277085687492,0.11497083097287528,0.1,0.06836700445988476,0.1,-12.920077916387976,3.8912970300792134e-24,9.316589174948397e-14,0.1,,I(0)
monthly,dfr_eop,yoy_diff_preferred,level,240,2006-01-31,2025-12-31,-4.484349826828471,0.00020984809034842498,-5.125286668303376,0.00012092368658340826,0.1569668253546054,0.1,0.07815041790216912,0.1,-2.757277409443124,0.06464027055404337,0.00919614756651517,0.1,,I(0)
monthly,hh_loans_ea_stock,preferred_level,log,279,2003-01-31,2026-03-31,-1.3604233060031128,0.6010958467367535,-4.237042295796285,0.003933189616021631,2.2891475169400164,0.01,0.3724143637920098,0.01,-4.471426483376569,0.00022138647590523754,0.2513340797758557,0.01,,unclear
monthly,hh_loans_ea_stock,level,log,279,2003-01-31,2026-03-31,-0.932996242723847,0.7769122050903883,-3.0951058025749516,0.10739911752541403,2.3926820172889,0.01,0.3171223865856502,0.01,-2.5131891433205427,0.11229815471813714,0.19383217788180973,0.01016479169115299,,unclear
monthly,hh_loans_ea_stock,first_diff_preferred,log,278,2003-02-28,2026-03-31,-2.0831738576692573,0.2513340797758557,-1.751805019786185,0.7275205215685983,1.108896005506609,0.01,0.4825056815323882,0.01,-9.847181046379806,4.586523743655509e-17,0.001647196264161929,0.1,,I(1)
monthly,hh_loans_ea_stock,yoy_diff_preferred,log,267,2004-01-31,2026-03-31,-2.1919459927887615,0.20918157242916474,-1.5347938185059986,0.8169230043623321,1.0844671236512624,0.01,0.46031582474113775,0.01,-1.5748699183936683,0.49620367542772525,0.00019159441941718857,0.1,,I(1)
monthly,hh_loans_ea_stock,log_level,log,279,2003-01-31,2026-03-31,-1.3604233060031128,0.6010958467367535,-4.237042295796285,0.003933189616021631,2.2891475169400164,0.01,0.3724143637920098,0.01,-4.471426483376569,0.00022138647590523754,0.2513340797758557,0.01,,unclear
monthly,hh_loans_ea_stock,log_diff,log,278,2003-02-28,2026-03-31,-2.0831738576692573,0.2513340797758557,-1.751805019786185,0.7275205215685983,1.108896005506609,0.01,0.4825056815323882,0.01,-9.847181046379806,4.586523743655509e-17,0.001647196264161929,0.1,,I(1)
monthly,hh_loans_ea_stock,yoy_log_diff,log,267,2004-01-31,2026-03-31,-2.1919459927887615,0.20918157242916474,-1.5347938185059986,0.8169230043623321,1.0844671236512624,0.01,0.46031582474113775,0.01,-1.5748699183936683,0.49620367542772525,0.00019159441941718857,0.1,,I(1)
monthly,nfc_loans_ea_stock,preferred_level,log,279,2003-01-31,2026-03-31,-2.854410142419456,0.05091213402052667,-3.6181153648854103,0.028348128161839875,1.5125448040623368,0.01,0.3339902887621039,0.01,-2.2644709891921173,0.1836828693793473,0.23266063827221245,0.041113248290748014,,unclear
