dataset,variable,transform,preferred_level_transform,nobs,start,end,adf_c_level_stat,adf_c_level_p,adf_ct_level_stat,adf_ct_level_p,kpss_c_level_stat,kpss_c_level_p,kpss_ct_level_stat,kpss_ct_level_p,pp_c_level_stat,pp_c_level_p,adf_c_diff_p,kpss_c_diff_p,test_notes,classification
quarterly,wx_shadow_rate,preferred_level,level,73,2004-09-30,2022-09-30,-1.4556423892057404,0.5553292975400963,-0.6079461385270081,0.9785425805158657,1.1514851667605204,0.01,0.11197707447526359,0.1,-1.2829401381608616,0.6369406337605007,0.046155061405961983,0.1,,I(1)
quarterly,wx_shadow_rate,level,level,73,2004-09-30,2022-09-30,-1.4556423892057404,0.5553292975400963,-0.6079461385270081,0.9785425805158657,1.1514851667605204,0.01,0.11197707447526359,0.1,-1.2829401381608616,0.6369406337605007,0.046155061405961983,0.1,,I(1)
quarterly,wx_shadow_rate,first_diff_preferred,level,72,2004-12-31,2022-09-30,-2.893110303755122,0.046155061405961983,-5.504209916084025,2.260797477024654e-05,0.24281776550653628,0.1,0.18582468704650404,0.021315742357560983,-5.712013393377322,7.263041412738889e-07,0.0002131998200018105,0.1,,I(0)
quarterly,wx_shadow_rate,yoy_diff_preferred,level,69,2005-09-30,2022-09-30,-1.57210858176805,0.49758736236043233,-1.3423052256918389,0.8770635450798603,0.17479371879351807,0.1,0.15925936321868578,0.03895053065109518,-0.750893444082569,0.8331230845972472,0.30181743849295817,0.1,,unclear
quarterly,dfr_eop,preferred_level,level,84,2005-03-31,2025-12-31,-2.4991619335070165,0.11567836857082975,-2.4580274561200577,0.34925461587847995,0.25427134964301307,0.1,0.2531888805129369,0.01,-1.5876238296581255,0.48980744657953684,0.0038113949241976633,0.1,,difference-stationary/ambiguous
quarterly,dfr_eop,level,level,84,2005-03-31,2025-12-31,-2.4991619335070165,0.11567836857082975,-2.4580274561200577,0.34925461587847995,0.25427134964301307,0.1,0.2531888805129369,0.01,-1.5876238296581255,0.48980744657953684,0.0038113949241976633,0.1,,difference-stationary/ambiguous
quarterly,dfr_eop,first_diff_preferred,level,83,2005-06-30,2025-12-31,-3.722208678370365,0.0038113949241976633,-4.683018124499203,0.0007462402070735608,0.10042054110592413,0.1,0.059490109047517066,0.1,-3.3282928499506648,0.013660190121083488,4.24178436029683e-14,0.1,,I(0)
quarterly,dfr_eop,yoy_diff_preferred,level,80,2006-03-31,2025-12-31,-2.6612645157028414,0.0809843704327417,-4.042777379147768,0.007637844345532148,0.12409309335119273,0.1,0.06290994996138252,0.1,-1.8843902549725218,0.3394396810579158,0.07983744277226085,0.1,,trend-stationary
quarterly,hh_loans_ea_stock,preferred_level,log,93,2003-03-31,2026-03-31,-0.5264625326915485,0.8867482462530168,-3.6842232989132486,0.02341744102565556,1.459116088234771,0.01,0.23592061096294362,0.01,-3.5734035674412983,0.006290331429992734,0.05937303494451829,0.013137699057683786,,unclear
quarterly,hh_loans_ea_stock,level,log,93,2003-03-31,2026-03-31,-0.3310387199599401,0.9209918301843887,-3.7407962666736467,0.01980739174434916,1.517370688622492,0.01,0.19902537987941063,0.01636548254522101,-2.1165748394654975,0.23790221597824013,0.11983502766842646,0.05539829584456845,,unclear
quarterly,hh_loans_ea_stock,first_diff_preferred,log,92,2003-06-30,2026-03-31,-2.7923625320754546,0.05937303494451829,-2.006145157766289,0.5980822376247943,0.7044853103654783,0.013137699057683786,0.2956683658236604,0.01,-4.011199708087205,0.0013529884581971758,0.00026264348101852965,0.1,,I(1)
quarterly,hh_loans_ea_stock,yoy_diff_preferred,log,89,2004-03-31,2026-03-31,-2.1568838629784506,0.22226442360370102,-1.5681883213909313,0.8046419616421553,0.6819875450754305,0.015182950447688137,0.2964246981676878,0.01,-1.6259429476214895,0.469615040368182,0.011132315588798368,0.1,,I(1)
quarterly,hh_loans_ea_stock,log_level,log,93,2003-03-31,2026-03-31,-0.5264625326915485,0.8867482462530168,-3.6842232989132486,0.02341744102565556,1.459116088234771,0.01,0.23592061096294362,0.01,-3.5734035674412983,0.006290331429992734,0.05937303494451829,0.013137699057683786,,unclear
quarterly,hh_loans_ea_stock,log_diff,log,92,2003-06-30,2026-03-31,-2.7923625320754546,0.05937303494451829,-2.006145157766289,0.5980822376247943,0.7044853103654783,0.013137699057683786,0.2956683658236604,0.01,-4.011199708087205,0.0013529884581971758,0.00026264348101852965,0.1,,I(1)
quarterly,hh_loans_ea_stock,yoy_log_diff,log,89,2004-03-31,2026-03-31,-2.1568838629784506,0.22226442360370102,-1.5681883213909313,0.8046419616421553,0.6819875450754305,0.015182950447688137,0.2964246981676878,0.01,-1.6259429476214895,0.469615040368182,0.011132315588798368,0.1,,I(1)
quarterly,nfc_loans_ea_stock,preferred_level,log,93,2003-03-31,2026-03-31,-2.6958202702345164,0.0747643417605363,-3.296241122842054,0.06687272089212129,0.9649150880954457,0.01,0.20795295469225575,0.013017641990404094,-2.200857316444671,0.20593444759666218,0.28348702149488014,0.1,,unclear
quarterly,nfc_loans_ea_stock,level,log,93,2003-03-31,2026-03-31,-2.2923168428700964,0.1744579176641034,-3.01740506791905,0.1272797691389395,0.9824744789519839,0.01,0.1942422525389587,0.01815915529789049,-1.8358100850825427,0.36283342564362764,0.2174557257552978,0.1,,unclear
quarterly,nfc_loans_ea_stock,first_diff_preferred,log,92,2003-06-30,2026-03-31,-2.0070579800073407,0.28348702149488014,-2.0765361588202933,0.5592083461370305,0.3249846274306633,0.1,0.18649323958729017,0.021065035154766185,-5.396983538456936,3.436969005798465e-06,5.305020856740693e-22,0.1,,difference-stationary/ambiguous
quarterly,nfc_loans_ea_stock,yoy_diff_preferred,log,89,2004-03-31,2026-03-31,-1.740555304984205,0.4103475208203024,-1.7698455958591317,0.7191135690118057,0.35600856166059186,0.09611699928422764,0.20241839814045717,0.01509310069732856,-1.872805292883645,0.3449604877660034,1.8700492472965555e-05,0.1,,difference-stationary/ambiguous
quarterly,nfc_loans_ea_stock,log_level,log,93,2003-03-31,2026-03-31,-2.6958202702345164,0.0747643417605363,-3.296241122842054,0.06687272089212129,0.9649150880954457,0.01,0.20795295469225575,0.013017641990404094,-2.200857316444671,0.20593444759666218,0.28348702149488014,0.1,,unclear
quarterly,nfc_loans_ea_stock,log_diff,log,92,2003-06-30,2026-03-31,-2.0070579800073407,0.28348702149488014,-2.0765361588202933,0.5592083461370305,0.3249846274306633,0.1,0.18649323958729017,0.021065035154766185,-5.396983538456936,3.436969005798465e-06,5.305020856740693e-22,0.1,,difference-stationary/ambiguous
quarterly,nfc_loans_ea_stock,yoy_log_diff,log,89,2004-03-31,2026-03-31,-1.740555304984205,0.4103475208203024,-1.7698455958591317,0.7191135690118057,0.35600856166059186,0.09611699928422764,0.20241839814045717,0.01509310069732856,-1.872805292883645,0.3449604877660034,1.8700492472965555e-05,0.1,,difference-stationary/ambiguous
quarterly,credit_standards_enterprise,preferred_level,level,94,2003-03-31,2026-06-30,-3.766351905548122,0.003270962378260526,-3.666552701778199,0.02465649968719364,0.24097132751301165,0.1,0.0791019756279219,0.1,-3.9015925805190124,0.002023157802398737,8.222711744328113e-14,0.1,,I(0)
quarterly,credit_standards_enterprise,level,level,94,2003-03-31,2026-06-30,-3.766351905548122,0.003270962378260526,-3.666552701778199,0.02465649968719364,0.24097132751301165,0.1,0.0791019756279219,0.1,-3.9015925805190124,0.002023157802398737,8.222711744328113e-14,0.1,,I(0)
quarterly,credit_standards_enterprise,first_diff_preferred,level,93,2003-06-30,2026-06-30,-8.570497163567135,8.222711744328113e-14,-8.576464714991655,3.348622269216251e-12,0.14496614336575678,0.1,0.060310084840850146,0.1,-8.623054681014395,6.032081873625984e-14,1.587698078591515e-11,0.1,,I(0)
quarterly,credit_standards_enterprise,yoy_diff_preferred,level,90,2004-03-31,2026-06-30,-3.833392309060149,0.0025835621338803918,-3.804901606094263,0.016314193936310402,0.07422679942749291,0.1,0.04323922937346848,0.1,-3.2493514378209327,0.017299943474690334,0.00025554578929393206,0.1,,I(0)
quarterly,credit_standards_household,preferred_level,level,94,2003-03-31,2026-06-30,-3.2611831831801124,0.016705293491062624,-3.2474445992872885,0.07535552509338997,0.16092855936983377,0.1,0.08058363351042351,0.1,-3.186303058375565,0.020791327807422048,1.1725824764454441e-17,0.1,,I(0)
quarterly,credit_standards_household,level,level,94,2003-03-31,2026-06-30,-3.2611831831801124,0.016705293491062624,-3.2474445992872885,0.07535552509338997,0.16092855936983377,0.1,0.08058363351042351,0.1,-3.186303058375565,0.020791327807422048,1.1725824764454441e-17,0.1,,I(0)
quarterly,credit_standards_household,first_diff_preferred,level,93,2003-06-30,2026-06-30,-10.083373040860618,1.1725824764454441e-17,-10.028939278169345,2.0037065124672017e-15,0.03327811976072048,0.1,0.030022005257746245,0.1,-11.036503847495892,5.500223566469289e-20,1.201370037617364e-08,0.1,,I(0)
quarterly,credit_standards_household,yoy_diff_preferred,level,90,2004-03-31,2026-06-30,-3.8331113713721003,0.002586141393386549,-3.87298936403062,0.013210615194803772,0.036567646745460945,0.1,0.03659799846616279,0.1,-2.9007653172096814,0.04525907384769756,9.671145429141151e-06,0.1,,I(0)
quarterly,house_price_de,preferred_level,log,84,2005-03-31,2025-12-31,-0.07930323856523001,0.9514613883172732,-2.0571609213934394,0.5699859122496109,1.4216324070209292,0.01,0.2298864810718795,0.01,-0.03833629114009157,0.9552445227564068,0.005161297585067328,0.1,,I(1)
quarterly,house_price_de,level,log,84,2005-03-31,2025-12-31,0.06450693273194286,0.9635525865106681,-2.206216068875143,0.48635264410445955,1.3822636518296971,0.01,0.24560839719691202,0.01,-0.02756287403355412,0.9561924266045496,0.0004003649545409714,0.1,,I(1)
quarterly,house_price_de,first_diff_preferred,log,83,2005-06-30,2025-12-31,-3.632959097731553,0.005161297585067328,-3.6506055130010515,0.025823086114938686,0.21545501890036187,0.1,0.15930703270128885,0.03891080608225929,-4.476926811103087,0.0002164037701593228,8.395607732829774e-06,0.1,,I(0)
quarterly,house_price_de,yoy_diff_preferred,log,80,2006-03-31,2025-12-31,-2.2161889417732397,0.20042235866161906,-2.1268052272273854,0.5310573661521673,0.2037981717743525,0.1,0.15385621259184468,0.043453156173462765,-2.0150088428164175,0.2800312655160524,5.182677755566563e-08,0.1,,difference-stationary/ambiguous
quarterly,house_price_de,log_level,log,84,2005-03-31,2025-12-31,-0.07930323856523001,0.9514613883172732,-2.0571609213934394,0.5699859122496109,1.4216324070209292,0.01,0.2298864810718795,0.01,-0.03833629114009157,0.9552445227564068,0.005161297585067328,0.1,,I(1)
quarterly,house_price_de,log_diff,log,83,2005-06-30,2025-12-31,-3.632959097731553,0.005161297585067328,-3.6506055130010515,0.025823086114938686,0.21545501890036187,0.1,0.15930703270128885,0.03891080608225929,-4.476926811103087,0.0002164037701593228,8.395607732829774e-06,0.1,,I(0)
quarterly,house_price_de,yoy_log_diff,log,80,2006-03-31,2025-12-31,-2.2161889417732397,0.20042235866161906,-2.1268052272273854,0.5310573661521673,0.2037981717743525,0.1,0.15385621259184468,0.043453156173462765,-2.0150088428164175,0.2800312655160524,5.182677755566563e-08,0.1,,difference-stationary/ambiguous
quarterly,house_price_de_real,preferred_level,log,84,2005-03-31,2025-12-31,-1.0018899685140656,0.7525743545872763,-2.1468564646797006,0.5197788802215076,1.14687643321398,0.01,0.16442812764734055,0.034643226960549535,-1.0198446921836415,0.7459577724749982,0.01056446158650036,0.1,,I(1)
quarterly,house_price_de_real,level,log,84,2005-03-31,2025-12-31,-1.0319468774696285,0.7414348517733217,-2.1913640959132996,0.4947122401843562,1.1029446241726244,0.01,0.15503780868715553,0.042468492760703726,-1.1163438632361942,0.7085103482218397,0.003305884144478521,0.1,,I(1)
quarterly,house_price_de_real,first_diff_preferred,log,83,2005-06-30,2025-12-31,-3.411759572941482,0.01056446158650036,-3.3903876289643535,0.05268551151395391,0.178503097982661,0.1,0.17795919918671058,0.02426530030498353,-4.538482858914833,0.00016744251756070587,3.5287119236724053e-05,0.1,,I(0)
quarterly,house_price_de_real,yoy_diff_preferred,log,80,2006-03-31,2025-12-31,-1.5522190455539318,0.5075395664931348,-1.523377465752291,0.8209950282147098,0.16947814393018867,0.1,0.1702124397613658,0.029822966865528495,-2.007004895501722,0.28351016812486834,0.0006746816025129348,0.1,,difference-stationary/ambiguous
quarterly,house_price_de_real,log_level,log,84,2005-03-31,2025-12-31,-1.0018899685140656,0.7525743545872763,-2.1468564646797006,0.5197788802215076,1.14687643321398,0.01,0.16442812764734055,0.034643226960549535,-1.0198446921836415,0.7459577724749982,0.01056446158650036,0.1,,I(1)
quarterly,house_price_de_real,log_diff,log,83,2005-06-30,2025-12-31,-3.411759572941482,0.01056446158650036,-3.3903876289643535,0.05268551151395391,0.178503097982661,0.1,0.17795919918671058,0.02426530030498353,-4.538482858914833,0.00016744251756070587,3.5287119236724053e-05,0.1,,I(0)
quarterly,house_price_de_real,yoy_log_diff,log,80,2006-03-31,2025-12-31,-1.5522190455539318,0.5075395664931348,-1.523377465752291,0.8209950282147098,0.16947814393018867,0.1,0.1702124397613658,0.029822966865528495,-2.007004895501722,0.28351016812486834,0.0006746816025129348,0.1,,difference-stationary/ambiguous
quarterly,compensation_ea20_nominal,preferred_level,log,124,1995-03-31,2025-12-31,1.3532709161390046,0.9968911664442817,-0.5607719411270835,0.9808502122783186,1.8482663895850093,0.01,0.15055889696555164,0.046200919195373634,1.0015824616638735,0.9942826173258507,0.00047337564512470214,0.1,,I(1)
quarterly,compensation_ea20_nominal,level,log,124,1995-03-31,2025-12-31,2.5576519948906986,0.9990661138271348,2.3912454183218705,1.0,1.8214723360748122,0.01,0.23239128141040422,0.01,2.877273091587486,1.0,0.10156958651112424,0.01,,unclear
quarterly,compensation_ea20_nominal,first_diff_preferred,log,123,1995-06-30,2025-12-31,-4.2840245597213915,0.00047337564512470214,-4.520882805682944,0.0013950599342492439,0.28972114972720603,0.1,0.18869046369673306,0.0202410761137251,-12.978167705093545,2.982192887697107e-24,5.694468156404907e-09,0.1,,I(0)
quarterly,compensation_ea20_nominal,yoy_diff_preferred,log,120,1996-03-31,2025-12-31,-2.413699362126899,0.13790713771620983,-2.671163459761441,0.24824974187260163,0.34995246897253224,0.09872738406356368,0.23282519739073246,0.01,-4.709434053897933,8.078502601484132e-05,4.917438588041851e-06,0.1,,difference-stationary/ambiguous
quarterly,compensation_ea20_nominal,log_level,log,124,1995-03-31,2025-12-31,1.3532709161390046,0.9968911664442817,-0.5607719411270835,0.9808502122783186,1.8482663895850093,0.01,0.15055889696555164,0.046200919195373634,1.0015824616638735,0.9942826173258507,0.00047337564512470214,0.1,,I(1)
quarterly,compensation_ea20_nominal,log_diff,log,123,1995-06-30,2025-12-31,-4.2840245597213915,0.00047337564512470214,-4.520882805682944,0.0013950599342492439,0.28972114972720603,0.1,0.18869046369673306,0.0202410761137251,-12.978167705093545,2.982192887697107e-24,5.694468156404907e-09,0.1,,I(0)
quarterly,compensation_ea20_nominal,yoy_log_diff,log,120,1996-03-31,2025-12-31,-2.413699362126899,0.13790713771620983,-2.671163459761441,0.24824974187260163,0.34995246897253224,0.09872738406356368,0.23282519739073246,0.01,-4.709434053897933,8.078502601484132e-05,4.917438588041851e-06,0.1,,difference-stationary/ambiguous
quarterly,compensation_ea20_real,preferred_level,log,105,1999-12-31,2025-12-31,-0.6180241277921196,0.8668570808949702,-3.992019056770806,0.009026046526573872,1.6380672960318252,0.01,0.07804890001389832,0.1,-1.4329585556812043,0.5663774012815306,3.50147244705605e-06,0.1,,I(1)
quarterly,compensation_ea20_real,level,log,105,1999-12-31,2025-12-31,-0.5994855014078984,0.8710982400999623,-4.008503844914649,0.008552079852341908,1.6326303355908085,0.01,0.07938965729154122,0.1,-1.4227825669772955,0.571306456631306,3.7197463849431016e-06,0.1,,I(1)
