system,k_ar_diff,aic,bic,hqic,fpe,selected_aic,selected_bic,selected_hqic,nobs,sample_start,sample_end,variables
core_real_credit_house_income,0,-37.79412659464173,-37.07951860423957,-37.507619803028646,3.8610871868906213e-17,3,1,3,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
core_real_credit_house_income,1,-38.9711594412191,-37.78014612388216,-38.49364812186396,1.19487891370179e-17,3,1,3,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
core_real_credit_house_income,2,-39.36225748740728,-37.69483884313556,-38.69374164031008,8.156656541585568e-18,3,1,3,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
core_real_credit_house_income,3,-39.723081512238934,-37.57925754103244,-38.86356113739968,5.782190187919371e-18,3,1,3,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
core_plus_real_dax,0,-42.79198912140809,-41.757350597784196,-42.376878587932026,2.60983948902271e-19,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de"
core_plus_real_dax,1,-43.77508128828286,-42.001415247784756,-43.06346323089532,9.851305977038481e-20,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de"
core_plus_real_dax,2,-44.31496666275322,-41.802273105380905,-43.30684108145421,5.861419100449937e-20,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de"
nominal_credit_house_income_prices,0,-49.274691946496596,-48.2400534228727,-48.85958141302053,3.9921948799419187e-22,2,0,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de,ln_compensation_ea20_nominal,ln_hicp_de"
nominal_credit_house_income_prices,1,-49.8237003141717,-48.050034273673596,-49.11208225678416,2.326011953110558e-22,2,0,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de,ln_compensation_ea20_nominal,ln_hicp_de"
nominal_credit_house_income_prices,2,-50.60877325205452,-48.0960796946822,-49.60064767075551,1.083022061206926e-22,2,0,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de,ln_compensation_ea20_nominal,ln_hicp_de"
credit_assets_demand_constructed,0,-47.22835902371301,-46.193720500089114,-46.813248490236944,3.0897463639232493e-21,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_retail_de_chained_index"
credit_assets_demand_constructed,1,-48.15845689793743,-46.38479085743932,-47.44683884054989,1.229753221386882e-21,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_retail_de_chained_index"
credit_assets_demand_constructed,2,-48.49581580480241,-45.9831222474301,-47.4876902235034,8.959485339259553e-22,2,1,2,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_retail_de_chained_index"
not_recommended_with_shadow_rate,0,-40.136862737777584,-38.985157638095735,-39.68113014920843,3.7191512052654196e-18,2,0,2,70,2005-03-31,2022-06-30,"wx_shadow_rate,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
not_recommended_with_shadow_rate,1,-40.82852866822209,-38.8541770687675,-40.04727280210354,1.8918053139358343e-18,2,0,2,70,2005-03-31,2022-06-30,"wx_shadow_rate,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
not_recommended_with_shadow_rate,2,-41.39808179419496,-38.60108369496761,-40.29130265052701,1.1108277009063658e-18,2,0,2,70,2005-03-31,2022-06-30,"wx_shadow_rate,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
not_recommended_with_dfr,0,-41.264440717477335,-40.22980219385344,-40.84933018400127,1.2023188076331237e-18,2,1,1,84,2005-03-31,2025-12-31,"dfr_eop,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
not_recommended_with_dfr,1,-42.3080433538192,-40.534377313321095,-41.59642529643166,4.2718922303691243e-19,2,1,1,84,2005-03-31,2025-12-31,"dfr_eop,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
not_recommended_with_dfr,2,-42.561213404858556,-40.04851984748625,-41.553087823559544,3.3856973822334963e-19,2,1,1,84,2005-03-31,2025-12-31,"dfr_eop,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real"
