sample,system,nobs,sample_start,sample_end,variables,det_order,deterministic,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,1,0,128.61087043851643,60.0627,True,86.80754455315434,30.4428,True,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,1,1,41.80332588536209,40.1749,True,22.54806488886639,24.1592,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,1,2,19.2552609964957,24.2761,False,13.54277140084932,17.7961,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,1,3,5.712489595646378,12.3212,False,5.663679792092022,11.2246,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,1,4,0.048809803554355574,4.1296,False,0.048809803554355574,4.1296,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,2,0,82.50946840986434,60.0627,True,41.63475831489773,30.4428,True,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,2,1,40.874710094966616,40.1749,True,19.06004579417762,24.1592,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,2,2,21.814664300788994,24.2761,False,15.40231770490732,17.7961,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,2,3,6.412346595881671,12.3212,False,6.304165628684631,11.2246,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",-1,none,2,4,0.10818096719704094,4.1296,False,0.10818096719704094,4.1296,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,1,0,109.14973919823389,69.8189,True,59.905150941439906,33.8777,True,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,1,1,49.244588256793975,47.8545,True,23.310878673415864,27.5858,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,1,2,25.933709583378118,29.7961,False,14.047707229239643,21.1314,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,1,3,11.886002354138473,15.4943,False,11.689648080441891,14.2639,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,1,4,0.1963542736965803,3.8415,False,0.1963542736965803,3.8415,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,2,0,89.42024016066394,69.8189,True,39.843446431029165,33.8777,True,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,2,1,49.57679372963478,47.8545,True,21.13792789422897,27.5858,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,2,2,28.43886583540582,29.7961,False,18.483025772247096,21.1314,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,2,3,9.95584006315872,15.4943,False,9.947073914460548,14.2639,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,constant,2,4,0.008766148698172837,3.8415,False,0.008766148698172837,3.8415,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,1,0,114.24976536478185,79.3422,True,66.20645478397377,37.1646,True,1,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,1,1,48.04331058080807,55.2459,False,24.13687668185173,30.8151,False,1,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,1,2,23.906433898956337,35.0116,False,12.686989775385237,24.2522,False,1,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,1,3,11.219444123571098,18.3985,False,8.521262496285665,17.1481,False,1,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,1,4,2.6981816272854324,3.8415,False,2.6981816272854324,3.8415,False,1,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,2,0,96.98905817108698,79.3422,True,40.869671543949174,37.1646,True,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,2,1,56.11938662713782,55.2459,True,26.3939058561384,30.8151,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,2,2,29.725480770999418,35.0116,False,19.01305848143593,24.2522,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,2,3,10.712422289563486,18.3985,False,9.744050534769324,17.1481,False,2,1,
baseline,liquidity_credit_housing_income_core,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,linear_trend,2,4,0.9683717547941633,3.8415,False,0.9683717547941633,3.8415,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,1,0,149.74779468982513,83.9383,True,88.37210000058434,36.6301,True,2,1,
