date,quarter,lpiv_regime,target_factor_market_magnitude_weighted_quarterly_sum,d_ecb_assets_ea_qavg,instrument_variance_component,policy_variance_component,first_stage_signal_component,instrument_variance_share,policy_variance_share,first_stage_signal_share
2020-03-31,2020Q1,covid,102.80720854814147,34702.69230769016,10569.322129461054,1204276853.4022176,45397204303.75442,0.4065143711328877,0.00031726498101066104,0.01707793033983702
2012-09-30,2012Q3,pre_qe,-98.71396188452908,83970.4615384601,9744.446270940261,7051038410.982008,499630838.8280024,0.37478822192653555,0.0018575857878906643,0.00018795564158635423
2011-12-31,2011Q4,pre_qe,-46.27911521956975,372257.32417583,2141.7565055062128,138575515402.54898,85120216305.08272,0.08237565174863538,0.036507517468699784,0.03202129177037981
2009-03-31,2009Q1,pre_qe,-35.36852794682994,-65878.84615384997,1250.9327691256906,4340022370.562633,164085118087.9,0.04811303333760556,0.0011433725651144048,0.061727021729338936
2014-09-30,2014Q3,qe,-32.574496887183294,-125072.61538461992,1061.0978474531141,15643159119.149063,75776671.9672819,0.040811654606070634,0.004121167459843198,2.8506352871048853e-05
2009-06-30,2009Q2,pre_qe,19.921146747522684,-106120.07692308002,396.8520877363336,11261470726.160421,31935614174.217937,0.015263616237906782,0.002966818041876036,0.012013827780626148
2015-12-31,2015Q4,qe,19.83265207622578,138074.23076923005,393.3340883766228,19064493202.514595,9031805220.478106,0.015128307910670503,0.005022512935282272,0.0033976660625673195
2008-12-31,2008Q4,pre_qe,13.149672624447668,523613.6153846199,172.91389013014842,274171218216.15268,27660088644.933475,0.006650566653699183,0.07223000765586025,0.010405421970727493
2019-09-30,2019Q3,qe,11.002234839144212,-15078.436200880446,121.04917145567866,227359238.26402193,13882640698.712004,0.0046557600579983,5.989745979643226e-05,0.005222497165227035
2006-06-30,2006Q2,pre_qe,-6.9118343088777285,36824.15384616004,47.773453513379266,1356018306.4856634,4638292868.947773,0.0018374494763201907,0.0003572410455634607,0.0017448749042262475
2022-06-30,2022Q2,tightening,-4.448962342910674,152829.7628205195,19.793265928637233,23356936403.776245,62241175242.18594,0.000761283169638455,0.006153350837621971,0.02341444746120044
2006-09-30,2006Q3,pre_qe,-3.255990318904489,27861.461538459873,10.601472956799757,776261039.0590788,798440243.5074791,0.0004077509474427878,0.00020450483883388166,0.0003003644622674605
2011-09-30,2011Q3,pre_qe,2.952642273924035,158005.59890108998,8.718096397763295,24965769284.09213,2629214852.9362206,0.0003353130343841034,0.006577195514019043,0.0009890817902898086
2007-09-30,2007Q3,pre_qe,-2.940378085000029,36444.38461538986,8.645823282748438,1328193169.9944654,1994150614.9431984,0.0003325332856414489,0.0003499105539281203,0.0007501775893791465
2014-06-30,2014Q2,qe,2.5441030115364027,-36742.153846150264,6.472460133308593,1349985869.2541747,587331868.4626228,0.00024894198781590126,0.0003556518087710327,0.0002209478070247921
2005-12-31,2005Q4,pre_qe,-2.4231779580307258,24040.54395604902,5.871791416285958,577947753.702725,25099579.235416643,0.00022583923224002344,0.0001522594929775735,9.442186414686671e-06
2007-12-31,2007Q4,pre_qe,-2.166477556001535,95546.0,4.693625000658384,9129038116.0,10864299452.70927,0.0001805249184484394,0.002405031780139176,0.004087030293827014
2006-03-31,2006Q1,pre_qe,-2.0912084619294107,38599.53846153,4.3731528312451715,1489924369.4431336,635970468.1658326,0.000168199005696526,0.0003925184025942738,0.00023924511476208684
