specification,response,horizon,nobs,hac_bandwidth,residual_mean,residual_std,jarque_bera_stat,breusch_pagan_lm_stat,max_leverage,mean_leverage,max_abs_standardized_residual,outlier_count_abs_std_gt_2,max_cooks_distance,residual_autocorr_lag_1,residual_autocorr_lag_2,residual_autocorr_lag_4,residual_autocorr_lag_8
baseline,ln_ecb_assets_ea_stock,0,67,1,-2.6995994698638356e-05,0.043777874223522195,2.9363781959152675,16.786294297783908,0.5336420005013531,0.14925373329819314,2.7641113726309094,5,0.7048664772893564,0.11850235831398405,-0.10262240808063476,0.14833135555620172,-0.22593087194108394
baseline,ln_ecb_assets_ea_stock,1,66,2,-6.067705514170448e-05,0.07991395007713406,26.6380061569011,17.973257309436626,0.5358740602968899,0.15151515175423005,3.430826078343601,4,0.6947236712573936,0.350493758232604,-0.06600273667358618,-0.03807875614261016,-0.33738126327779483
baseline,ln_ecb_assets_ea_stock,2,65,3,-9.584927974399377e-05,0.10335561299941366,8.633406761454404,10.34568257861092,0.535999383784989,0.15384615400883286,2.812828830505756,4,0.5309949451591063,0.5824996370240797,0.14023890719098195,-0.11099571718256837,-0.3711607189725983
baseline,ln_ecb_assets_ea_stock,4,63,5,-0.0001431439328595188,0.138263947247052,2.043687331353263,11.322218660886403,0.5477348275409262,0.15873015856994596,2.644820450123081,1,0.3002807918547304,0.6695169033236608,0.2978691547532482,-0.29008280077494814,-0.35131253007561203
baseline,ln_ecb_assets_ea_stock,8,59,9,-7.817005977821045e-05,0.12795813148027918,0.2645880563106958,12.205755137851227,0.6298863330824513,0.18644068070285483,2.680504042850134,2,0.7204595653452384,0.5976332344179377,0.28784513193600914,-0.133617702526805,-0.4057343142688267
baseline,ln_ecb_assets_ea_stock,12,55,13,8.929130084793386e-06,0.09507323123515964,1.0360820217375548,13.963726260317761,0.6483044220678424,0.19999999820842113,2.3871434508334968,3,0.7920047253875285,0.5714236270589715,0.17642783243260518,-0.16708024158741422,-0.0024497223086054577
baseline,ln_hh_loans_ea_stock,0,67,1,1.2207403131134309e-06,0.0028095653597414783,2.4852594174480322,26.67840563209034,0.5336420005013531,0.14925373329819314,2.7737871433424024,4,0.48358945419573274,0.07953395678438785,-0.052535391007556026,0.07254982235591634,-0.11359727573506302
baseline,ln_hh_loans_ea_stock,1,66,2,2.3705224568507855e-06,0.0036819916992463296,9.966565624978077,37.7515679010578,0.5358740602968899,0.15151515175423005,3.2563960464287662,3,1.5765033076338395,0.44467744839258627,-0.1301999203854346,-0.019425482164836298,0.14905286610098292
baseline,ln_hh_loans_ea_stock,2,65,3,3.7274673475542765e-06,0.0047918502551017724,10.823845037376115,39.7463208290117,0.535999383784989,0.15384615400883286,3.552212952863884,4,1.8864103956937865,0.4930307741459598,0.030442593508075485,-0.2642130265962734,0.011553604173043698
baseline,ln_hh_loans_ea_stock,4,63,5,7.048040148207308e-06,0.007059945118980558,7.241305956828981,37.779653452080524,0.5477348275409262,0.15873015856994596,3.3389298879452984,3,1.7138753334481265,0.5456998624816283,0.004259805429699768,-0.26224128334536523,-0.136844582446608
baseline,ln_hh_loans_ea_stock,8,59,9,5.8805518306990834e-06,0.009578783329194648,2.5872013015969357,22.578022600802,0.6298863330824513,0.18644068070285483,2.940324428036726,3,0.8668963664234914,0.3772323504843132,0.24555549930789874,-0.17512119394081632,-0.29479474686717394
baseline,ln_hh_loans_ea_stock,12,55,13,3.5909915349937895e-06,0.014478290402367262,18.063937721889523,18.57226470967319,0.6483044220678424,0.19999999820842113,3.7302517572622973,3,1.9339579377293383,0.22530494640149892,0.28338796950103634,-0.09683767786529847,-0.11191827192046376
baseline,ln_nfc_loans_ea_stock,0,67,1,-1.835164676696191e-06,0.009365809666793061,34.53569608572437,13.595241896681838,0.5336420005013531,0.14925373329819314,3.6854002034147135,3,0.35514997508176227,0.04702432393169437,0.13810257329309863,0.06788208187354104,-0.13543433119240722
baseline,ln_nfc_loans_ea_stock,1,66,2,-2.5253691052133147e-06,0.014204596264689538,0.5524451471144122,13.392866748215488,0.5358740602968899,0.15151515175423005,2.7680296651272203,5,0.29649398642746017,0.5724201942430435,0.25990408435463214,0.1598377178554027,-0.2685055367578123
baseline,ln_nfc_loans_ea_stock,2,65,3,-3.7172884870811087e-06,0.016652856770469605,1.3244446489630732,12.364966939334268,0.535999383784989,0.15384615400883286,2.7061475463560978,3,0.315703187116944,0.6727599339024608,0.33384372195541606,0.07466796269012692,-0.17951718167916422
baseline,ln_nfc_loans_ea_stock,4,63,5,-3.255756965189892e-07,0.021487526467040996,0.43214199924750685,28.54337885156442,0.5477348275409262,0.15873015856994596,2.3096363947290017,2,0.6623079896899463,0.6315040776019573,0.2938239973794027,-0.06663275345958301,-0.27148127433617913
baseline,ln_nfc_loans_ea_stock,8,59,9,4.4341939248041394e-06,0.02148403717463135,0.7419349447026414,13.847825461909785,0.6298863330824513,0.18644068070285483,2.728167608494793,5,1.2474442188151251,0.2540854246544392,0.18308277716154708,-0.3552429885720041,-0.09553121966414997
baseline,ln_nfc_loans_ea_stock,12,55,13,4.9394740852677766e-06,0.028069730470559,19.90227692828468,19.893143723368333,0.6483044220678424,0.19999999820842113,3.820921701994839,3,2.0291166452398675,0.09112297266355666,0.17540497591039128,-0.05939685956174933,-0.14347878761176752
baseline,ln_house_price_de_real,0,67,1,1.8221694805111934e-06,0.008803326552060085,0.5837599444307052,20.639999581852948,0.5336420005013531,0.14925373329819314,2.306892803167048,3,0.15952993040689925,0.0026357463065899375,-0.44599183944879217,0.08848067665942876,0.12327393998361802
baseline,ln_house_price_de_real,1,66,2,9.201161795802693e-07,0.012114832025401367,0.7600475650997175,17.57715174783878,0.5358740602968899,0.15151515175423005,2.8905365513363104,5,0.33685220393864673,0.30245431399014056,-0.32569963658783807,-0.06092693066732873,0.05797099437072333
baseline,ln_house_price_de_real,2,65,3,-2.3141205094587706e-06,0.013190267345541016,0.018154128842052614,19.028423332950286,0.535999383784989,0.15384615400883286,2.849528453811801,3,0.3958618863351287,0.41291393978414276,-0.05659015099642338,-0.17278333943759022,-0.04800302715559763
baseline,ln_house_price_de_real,4,63,5,-4.962200492928146e-06,0.01351300322034538,10.432538002692405,8.877024365191135,0.5477348275409262,0.15873015856994596,3.146639984875303,5,0.15717796616228372,0.5043784773321728,0.08156690031815082,-0.14494955681785632,-0.05987799100175451
baseline,ln_house_price_de_real,8,59,9,-6.395081497862978e-06,0.0150407656135863,1.4924270315799044,20.326576618621278,0.6298863330824513,0.18644068070285483,3.225853340513322,3,1.0434362398529367,0.460804359182501,-0.0029156283373130507,-0.17753930807707055,-0.13152668946771703
baseline,ln_house_price_de_real,12,55,13,1.6120971225416527e-06,0.01587919893083007,1.2412749124819584,21.582435401447153,0.6483044220678424,0.19999999820842113,2.080643288290716,1,1.4181443711727233,0.4027852031031605,0.1637886951222195,-0.17970586610098208,-0.15985074218675985
baseline,ln_compensation_ea20_real,0,67,1,5.798576624251413e-06,0.011161144753010298,28.027348584234304,42.147822875679424,0.5336420005013531,0.14925373329819314,3.7246675250478885,5,1.9361724799503608,-0.023366569873807447,-0.1127144100744996,0.2616752320690292,0.10123283568523585
baseline,ln_compensation_ea20_real,1,66,2,7.99508549649994e-06,0.011591758795666042,12.805780227233118,10.435392504542405,0.5358740602968899,0.15151515175423005,3.670694003624878,2,0.5566760621115607,0.22858273093153075,-0.06566536947438452,0.09788051261621843,0.042176478361688696
baseline,ln_compensation_ea20_real,2,65,3,6.1323259283354815e-06,0.009823327862976216,371.4969702662735,11.31280343359168,0.535999383784989,0.15384615400883286,5.242825449976682,2,0.3709082119804785,0.45736051568400327,0.09251814235512353,-0.24073377706509602,0.1365934210363426
baseline,ln_compensation_ea20_real,4,63,5,7.4134758832307344e-06,0.011227033359084553,93.73362725919235,5.8231327508736594,0.5477348275409262,0.15873015856994596,4.511089732874991,2,0.5211078297611593,0.37221563126420776,0.033453480895219205,-0.04571660422069219,0.11859985274106381
baseline,ln_compensation_ea20_real,8,59,9,2.0079095908289375e-06,0.011988825607443826,51.33118666627464,9.97085710182524,0.6298863330824513,0.18644068070285483,4.110179061877018,3,0.768769528779152,0.15026030042602187,0.10548627435704515,0.04398662546213332,-0.11933183378930941
baseline,ln_compensation_ea20_real,12,55,13,8.254256138918624e-07,0.012424294351967364,4.924297340518906,16.1516294454716,0.6483044220678424,0.19999999820842113,3.055548325452437,3,1.2976245411685723,0.03636576072329397,0.11232493606590013,-0.07808901599121362,-0.03169725881228921
