specification,response,horizon,outcome,sample_window,nobs,sample_start,sample_end,endogenous_policy,instrument,hac_bandwidth,iv_r_squared,first_stage_f_stat,first_stage_partial_r_squared,first_stage_nobs,control_lags,controls,coefficient,std_error,t_stat,p_value,lower_68,upper_68,lower_90,upper_90,lower_95,upper_95,cumulative_response,rolling_window,rolling_start,rolling_end
baseline,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,baseline,29,2005Q4,2012Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,1,0.8561394949768535,0.13366699130833234,0.010177431131518044,29,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",5.787932556278867e-07,1.3714691643604824e-07,4.220242573939157,2.4403958406463766e-05,4.424064234201493e-07,7.151800878356242e-07,3.532066527028424e-07,8.043798585529311e-07,3.099902388225079e-07,8.475962724332656e-07,5.787932556278867e-07,32,2005Q1,2012Q4
baseline,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,baseline,28,2005Q4,2012Q3,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,2,0.5071818321309538,0.4085975516058726,0.03292858438728182,28,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",5.897931989718692e-07,2.5160492115052735e-07,2.344124257486261,0.019071816340389777,3.3958270167935894e-07,8.400036962643796e-07,1.759399318585853e-07,1.0036464660851533e-06,9.665661518379569e-08,1.0829297827599428e-06,5.897931989718692e-07,32,2005Q1,2012Q4
baseline,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,baseline,27,2005Q4,2012Q2,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,3,0.6622020877446547,0.004298393933151345,0.00039061044868804343,27,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",6.20926909801454e-07,3.673097894356512e-07,1.6904719875706824,0.09093769301255712,2.556527941170562e-07,9.86201025485852e-07,1.6756070433441884e-08,1.2250977491694662e-06,-9.898704866141282e-08,1.3408408682643208e-06,6.20926909801454e-07,32,2005Q1,2012Q4
baseline,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,baseline,25,2005Q4,2011Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,5,0.7250049176362301,0.009095017623126627,0.0010095373181585301,25,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",3.683781898076624e-07,3.153227294836903e-07,1.1682576464146595,0.24270285393445043,5.4803015717390074e-08,6.819533638979347e-07,-1.5028154544382333e-07,8.870379250591481e-07,-2.4964300348723664e-07,9.863993831025615e-07,3.683781898076624e-07,32,2005Q1,2012Q4
baseline,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,baseline,21,2005Q4,2010Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,9,0.8535551133046217,2.2414463666820685,0.3095302033851931,21,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",-3.295772240783211e-07,7.703690120996753e-07,-0.4278173432496247,0.6687841091257425,-1.095676761141353e-06,4.365223129847108e-07,-1.5967214877214942e-06,9.375670395648521e-07,-1.8394727425993854e-06,1.1803182944427433e-06,-3.295772240783211e-07,32,2005Q1,2012Q4
baseline,ln_ecb_assets_ea_stock,12,lp_ln_ecb_assets_ea_stock_h12,baseline,17,2005Q4,2009Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,13,0.899345542992406,1.3977482187572148,0.5829420319543336,17,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",6.702300419535377e-08,1.357979317194589e-07,0.4935495213124062,0.6216243580188155,-6.802231952664193e-08,2.0206832791734947e-07,-1.5634471632590648e-07,2.9039072471661404e-07,-1.9913605114981503e-07,3.3318205954052256e-07,6.702300419535377e-08,32,2005Q1,2012Q4
baseline,ln_hh_loans_ea_stock,0,lp_ln_hh_loans_ea_stock_h0,baseline,29,2005Q4,2012Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,1,0.9350179251155071,0.13366699130833234,0.010177431131518044,29,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",-6.621520182201208e-09,6.8381504465621825e-09,-0.9683203424589929,0.3328844083546816,-1.3421772800359264e-08,1.7873243595684909e-10,-1.786927674586884e-08,4.626236381466423e-09,-2.002404877832957e-08,6.781008413927153e-09,-6.621520182201208e-09,32,2005Q1,2012Q4
baseline,ln_hh_loans_ea_stock,1,lp_ln_hh_loans_ea_stock_h1,baseline,28,2005Q4,2012Q3,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,2,0.9692625532623941,0.4085975516058726,0.03292858438728182,28,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",-2.5257624245244324e-08,9.510671869165644e-09,-2.6557139803268317,0.007914070647760164,-3.471558686015734e-08,-1.579966163033131e-08,-4.0901287363986765e-08,-9.613961126501883e-09,-4.389819857758722e-08,-6.61704991290143e-09,-2.5257624245244324e-08,32,2005Q1,2012Q4
baseline,ln_hh_loans_ea_stock,2,lp_ln_hh_loans_ea_stock_h2,baseline,27,2005Q4,2012Q2,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,3,0.9692879066260391,0.004298393933151345,0.00039061044868804343,27,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",-2.3897913933708792e-08,9.862291472025552e-09,-2.423160378244282,0.015386132374758187,-3.3705547434576926e-08,-1.409028043284066e-08,-4.011993983152259e-08,-7.675888035894996e-09,-4.322765002391538e-08,-4.568177843502201e-09,-2.3897913933708792e-08,32,2005Q1,2012Q4
baseline,ln_hh_loans_ea_stock,4,lp_ln_hh_loans_ea_stock_h4,baseline,25,2005Q4,2011Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,5,0.9789871063797952,0.009095017623126627,0.0010095373181585301,25,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate",-3.335728641815095e-08,1.7052401290170384e-08,-1.956163583681278,0.05044588688145418,-5.0315181308817055e-08,-1.639939152748484e-08,-6.140599052851966e-08,-5.3085823077822366e-09,-6.677937879680924e-08,6.480596050734554e-11,-3.335728641815095e-08,32,2005Q1,2012Q4
