policy_variable,instrument,nobs,sample_start,sample_end,first_stage_f_stat,partial_r_squared,r_squared,hac_bandwidth,instrument_coefficient,instrument_std_error,instrument_t_stat,instrument_p_value,window,rolling_start,rolling_end
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2005Q4,2012Q3,0.4085975516058726,0.03292858438728182,0.6263079140668935,1,1148.8897733599333,1229.8154613461886,0.9341968851996121,0.35020234215915064,28,2005Q4,2012Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q1,2012Q4,0.37282032194406495,0.03013220205605362,0.5558655065646457,1,-1079.7259176982502,1492.5902518405464,-0.7233907071058625,0.4694398788862638,28,2006Q1,2012Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q2,2013Q1,0.753941410722848,0.05911438561956804,0.539897477868794,1,-1680.0456143130332,1374.4618761356796,-1.2223297302625133,0.22158296074429037,28,2006Q2,2013Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q3,2013Q2,0.7619977261283416,0.05970834210135155,0.5816602074246219,1,-1661.369533726072,1276.0672481568618,-1.3019451256395278,0.19293514488445188,28,2006Q3,2013Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q4,2013Q3,1.3692079616283577,0.10241503951155453,0.6595342736152994,1,-2138.4027290125823,1212.0635099157716,-1.7642662381290428,0.07768716535653072,28,2006Q4,2013Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q1,2013Q4,1.5848486693314137,0.11666296091389682,0.6662147210157012,1,-2338.1054811189138,1157.4825214685397,-2.0199920411346475,0.043384213092376826,28,2007Q1,2013Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q2,2014Q1,1.670635711228465,0.12220614655515089,0.7008790166730392,1,-2301.23911865089,1085.1050625060059,-2.1207523567683593,0.03394264796201065,28,2007Q2,2014Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q3,2014Q2,0.8553139172905739,0.06653388029211522,0.6666742189650232,1,-1779.0428438460428,1258.1277225189538,-1.4140399356943996,0.15735017713502963,28,2007Q3,2014Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q4,2014Q3,0.6754357654750972,0.053286985786699756,0.6585249069124085,1,-1626.047634957794,1215.8659493946598,-1.3373576550666217,0.1811059196190025,28,2007Q4,2014Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2008Q1,2014Q4,0.5388719446470251,0.04297611037307668,0.662133563852515,1,-1451.159557119155,1191.7018739324185,-1.217720294699688,0.2233302821258301,28,2008Q1,2014Q4
