policy_variable,instrument,nobs,sample_start,sample_end,first_stage_f_stat,partial_r_squared,r_squared,hac_bandwidth,instrument_coefficient,instrument_std_error,instrument_t_stat,instrument_p_value,window,rolling_start,rolling_end
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2005Q4,2012Q3,0.8139361542841868,0.0635196043186197,0.6423713159730673,1,1620.2075924869514,1505.7839278084923,1.0759894315281944,0.2819319829793188,28,2005Q4,2012Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q1,2012Q4,0.028171795569334246,0.002342151080658121,0.5482283431132939,1,350.7534992698414,1506.7366130196635,0.23279018790609554,0.8159243325523379,28,2006Q1,2012Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q2,2013Q1,0.23272994863481172,0.01902518486160031,0.5077436099654679,1,-1081.2263036798981,1632.2724896376924,-0.6624055177943314,0.5077113684134599,28,2006Q2,2013Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q3,2013Q2,0.32621142913686507,0.02646485751215999,0.5449866050633752,1,-1270.4513828909407,1570.6503796142592,-0.8088696245710358,0.41859014259599,28,2006Q3,2013Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2006Q4,2013Q3,0.6698935284328595,0.052872861711863076,0.6484694648111712,1,-1680.4511494337976,1597.8512555296866,-1.0516943574179745,0.29293980064690694,28,2006Q4,2013Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q1,2013Q4,0.7308052591579437,0.057404480257227775,0.6840873914164857,1,-1655.1693661365193,1334.0889131490794,-1.2406739534545255,0.21472622006146821,28,2007Q1,2013Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q2,2014Q1,1.0798243261885287,0.08255648541291918,0.7237959901222244,1,-1920.887192148082,1259.1557540512558,-1.5255358091862314,0.12712550895833297,28,2007Q2,2014Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q3,2014Q2,0.7988846931031375,0.06241830536481261,0.7130416214230106,1,-1680.5372901324415,1387.2473896625163,-1.2114185996351203,0.22573501449818975,28,2007Q3,2014Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2007Q4,2014Q3,0.7927784489632892,0.061970779227208055,0.7122646738634695,1,-1701.5621263324097,1351.8925654345649,-1.2586518853925672,0.2081560973680916,28,2007Q4,2014Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2008Q1,2014Q4,0.18201946577300238,0.014941649558548991,0.7437589636745798,1,-824.3087193231495,1117.6219610299995,-0.7375559429446673,0.46078433617880876,28,2008Q1,2014Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2008Q2,2015Q1,0.0775241524185022,0.006418877862726371,0.743644834342612,1,-545.0676501148836,1189.6393639800144,-0.4581788957380537,0.6468239207141431,28,2008Q2,2015Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2008Q3,2015Q2,0.0035358283512822025,0.0002945655681662474,0.8040731331001275,1,92.25194198425083,1260.8855180057446,0.07316440760629826,0.941675289066428,28,2008Q3,2015Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2008Q4,2015Q3,0.030180871263622948,0.0025087628844979136,0.7757164964521359,1,-289.8140804825359,1553.3726519460317,-0.18657086573493045,0.8519971113877707,28,2008Q4,2015Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2009Q1,2015Q4,0.624006503653388,0.049430147510839795,0.8699216206923954,1,-875.8566124013735,1336.8104793059103,-0.6551838319341495,0.5123494026934278,28,2009Q1,2015Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2009Q2,2016Q1,0.6137498196270298,0.04865720570040428,0.889315877230961,1,-804.0687945738866,1151.2056790927536,-0.6984579812076328,0.48489082685671564,28,2009Q2,2016Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2009Q3,2016Q2,0.48630890525478926,0.0389473709920895,0.8830374696049859,1,-745.9756743960418,1077.7741286875646,-0.6921447217372317,0.488846449039446,28,2009Q3,2016Q2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2009Q4,2016Q3,0.3478011364259598,0.028167050358460014,0.8939301020523343,1,-619.5687269162906,950.1328613998485,-0.6520864103189405,0.5143454303044779,28,2009Q4,2016Q3
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2010Q1,2016Q4,0.271530691371176,0.02212688035422549,0.8949058361721353,1,-552.301493061281,936.4709275470963,-0.5897689685978053,0.5553455496134382,28,2010Q1,2016Q4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2010Q2,2017Q1,0.4724575939181891,0.037880072179886065,0.9168220177804034,1,-662.596155684128,845.0399776195717,-0.7841003659384527,0.4329812207251908,28,2010Q2,2017Q1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,28,2010Q3,2017Q2,0.462980470673531,0.03714845511978166,0.9301848739257844,1,-620.3039775895584,788.6709479333499,-0.7865181026574087,0.4315640178543475,28,2010Q3,2017Q2
