date,quarter,lpiv_regime,target_factor_market_magnitude_weighted_quarterly_sum,d_ecb_assets_ea_qavg,instrument_variance_component,policy_variance_component,first_stage_signal_component,instrument_variance_share,policy_variance_share,first_stage_signal_share
2023-03-31,2023Q1,tightening,370.73816669605424,-686201.0,137446.78824515129,470871812401.0,422864290087.86,0.8179684870330313,0.09799055271829454,0.12514559839363795
2020-03-31,2020Q1,covid,102.80720854814147,34702.69230769016,10569.322129461054,1204276853.4022176,32292741831.819347,0.06289977773638503,0.0002506154570795057,0.009556953838487103
2012-09-30,2012Q3,pre_qe,-98.71396188452908,83970.4615384601,9744.446270940261,7051038410.982008,2463015020.8117437,0.05799080556905519,0.0014673529672692399,0.0007289229567433116
2011-12-31,2011Q4,pre_qe,-46.27911521956975,372257.32417583,2141.7565055062128,138575515402.54898,135176885617.56416,0.012745945909462679,0.02883819118047822,0.0400052514154921
2022-09-30,2022Q3,tightening,46.10726539387731,-35863.77472527884,2125.8799221014365,1286210337.5455494,4884602633.116262,0.012651461745280567,0.00026766618550684964,0.0014455855785539733
2023-09-30,2023Q3,tightening,42.424869336909495,-519806.3846153803,1799.8695382538435,270198677486.9127,122176778213.83002,0.010711320226969896,0.05622956620760031,0.03615790308564413
2009-03-31,2009Q1,pre_qe,-35.36852794682994,-65878.84615384997,1250.9327691256906,4340022370.562633,199414952319.2081,0.007444507053280509,0.0009031782742157876,0.05901634193665515
2014-09-30,2014Q3,qe,-32.574496887183294,-125072.61538461992,1061.0978474531141,15643159119.149063,1994805068.7628496,0.00631476815105462,0.0032554121269850527,0.0005903574263911482
2023-06-30,2023Q2,tightening,-20.62211224229048,-189291.9230769202,425.2715133336269,35831432142.158676,16753798672.916302,0.0025308608573618367,0.00745668300337346,0.004958243600690465
2009-06-30,2009Q2,pre_qe,19.921146747522684,-106120.07692308002,396.8520877363336,11261470726.160421,30694711720.969296,0.0023617321723269874,0.002343562965152785,0.009084020939774303
2015-12-31,2015Q4,qe,19.83265207622578,138074.23076923005,393.3340883766228,19064493202.514595,3132848551.8915844,0.00234079597839779,0.003967407215740584,0.0009271584664234815
2022-12-31,2022Q4,tightening,-13.775367464835108,-209153.91758242063,189.76074879123763,43745361240.074005,7201471431.406352,0.001129297487185914,0.00910360742325719,0.002131256936855047
2008-12-31,2008Q4,pre_qe,13.149672624447668,523613.6153846199,172.91389013014842,274171218216.15268,9363107857.161592,0.0010290390550594974,0.05705626989107044,0.0027709876740010415
2019-09-30,2019Q3,qe,11.002234839144212,-15078.436200880446,121.04917145567866,227359238.26402193,6316353416.528558,0.0007203835673162513,4.7314485251304065e-05,0.00186930853823795
2006-06-30,2006Q2,pre_qe,-6.9118343088777285,36824.15384616004,47.773453513379266,1356018306.4856634,3296709013.0306444,0.00028430769456019075,0.0002821935394074859,0.0009756525481962518
2025-06-30,2025Q2,tightening,-6.681797694703418,-58541.53846153058,44.64642043294391,3427111725.4428644,4376715950.236322,0.00026569820538723313,0.0007131974421894301,0.0012952778218219875
2022-06-30,2022Q2,tightening,-4.448962342910674,152829.7628205195,19.793265928637233,23356936403.776245,21734768334.486794,0.00011779298732112053,0.00486068404974506,0.006432348753311134
2006-09-30,2006Q3,pre_qe,-3.255990318904489,27861.461538459873,10.601472956799757,776261039.0590788,205517168.62127948,6.309111260808965e-05,0.0001615434312859183,6.0822277146959775e-05
2011-09-30,2011Q3,pre_qe,2.952642273924035,158005.59890108998,8.718096397763295,24965769284.09213,1121630612.350224,5.1882828339120016e-05,0.005195489444805027,0.0003319436931646009
2007-09-30,2007Q3,pre_qe,-2.940378085000029,36444.38461538986,8.645823282748438,1328193169.9944654,52099204.59264921,5.14527191216065e-05,0.0002764030027212243,1.541862551984462e-05
2014-06-30,2014Q2,qe,2.5441030115364027,-36742.153846150264,6.472460133308593,1349985869.2541747,199847485.63558567,3.851867686556007e-05,0.00028093816195021604,5.914434905849561e-05
