specification,response,horizon,outcome,regime,coefficient_name,nobs,sample_start,sample_end,instrument,hac_bandwidth,set_first_stage_f_stat,set_first_stage_partial_r_squared,coefficient,std_error,t_stat,p_value,lower_68,upper_68,lower_90,upper_90,lower_95,upper_95,cumulative_response
robustness,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,81,2005Q4,2025Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,1,7.5144848992199025,0.1080995552238384,7.615869446705559e-07,1.5835180340417227e-07,4.809461769921905,1.513372354855656e-06,6.041127454547957e-07,9.19061143886316e-07,5.011214065068968e-07,1.022052482834215e-06,4.512231131114112e-07,1.0719507762297005e-06,7.615869446705559e-07
robustness,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,qe,d_ecb_assets_ea_qavg_x_qe,81,2005Q4,2025Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,1,7.5144848992199025,0.1080995552238384,5.038359851738384e-07,1.30477054750121e-07,3.8614910961834936,0.0001126971200436113,3.7408204949959003e-07,6.335899208480868e-07,2.892203284341562e-07,7.184516419135206e-07,2.4810565705474055e-07,7.595663132929363e-07,5.038359851738384e-07
robustness,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,covid,d_ecb_assets_ea_qavg_x_covid,81,2005Q4,2025Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_covid,1,7.5144848992199025,0.1080995552238384,1.5052918186366595e-07,4.722150197869667e-08,3.187725412283055,0.0014339663996714488,1.0356938696394609e-07,1.9748897676338582e-07,7.285672306391065e-08,2.2820164066342126e-07,5.797673868953361e-08,2.430816250377983e-07,1.5052918186366595e-07
robustness,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,tightening,d_ecb_assets_ea_qavg_x_tightening,81,2005Q4,2025Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_tightening,1,7.5144848992199025,0.1080995552238384,4.9287295238462004e-08,7.664533891158483e-08,0.6430566546951794,0.5201873387622962,-2.6933266253446782e-08,1.255078567303708e-07,-7.678306845918306e-08,1.7535765893610707e-07,-1.009348086111106e-07,1.995093990880346e-07,4.9287295238462004e-08
robustness,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,80,2005Q4,2025Q3,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,2,7.457133325817728,0.10893142852368558,9.585798077108692e-07,3.597722123942155e-07,2.6644075742584543,0.0077124056658399226,6.008014949356279e-07,1.3163581204861104e-06,3.6680717927788856e-07,1.5503524361438498e-06,2.5343922877991213e-07,1.6637203866418262e-06,9.585798077108692e-07
robustness,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,qe,d_ecb_assets_ea_qavg_x_qe,80,2005Q4,2025Q3,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,2,7.457133325817728,0.10893142852368558,2.9539165411718443e-07,2.8008375565710965e-07,1.0546547172082887,0.2915832689820108,1.6860155344977395e-08,5.739231528893914e-07,-1.6530512722560208e-07,7.56088435459971e-07,-2.5356241962546696e-07,8.443457278598358e-07,2.9539165411718443e-07
robustness,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,covid,d_ecb_assets_ea_qavg_x_covid,80,2005Q4,2025Q3,target_factor_market_magnitude_weighted_quarterly_sum_x_covid,2,7.457133325817728,0.10893142852368558,-1.328647629197036e-07,1.0906533035533721e-07,-1.2182126298689724,0.22314318137924882,-2.413256404764447e-07,-2.4403885362962516e-08,-3.1226126712934046e-07,4.653174128993323e-08,-3.4662888237812757e-07,8.089935653872035e-08,-1.328647629197036e-07
robustness,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,tightening,d_ecb_assets_ea_qavg_x_tightening,80,2005Q4,2025Q3,target_factor_market_magnitude_weighted_quarterly_sum_x_tightening,2,7.457133325817728,0.10893142852368558,1.4786581925964346e-07,1.5345109593257847e-07,0.9636022366670551,0.33524538503873463,-4.734832777685296e-09,3.0046647129697224e-07,-1.0453877244473642e-07,4.0027041096402337e-07,-1.52892802156411e-07,4.4862444067569794e-07,1.4786581925964346e-07
robustness,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,79,2005Q4,2025Q2,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,3,7.504014227168403,0.11116397021835563,1.4297620590654682e-06,5.696555493786297e-07,2.509871203089354,0.012077520354156006,8.632636072717071e-07,1.9962605108592293e-06,4.92762062556996e-07,2.3667620555739402e-06,3.13257698689976e-07,2.54626641944096e-06,1.4297620590654682e-06
robustness,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,qe,d_ecb_assets_ea_qavg_x_qe,79,2005Q4,2025Q2,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,3,7.504014227168403,0.11116397021835563,3.4318780167199095e-07,5.534262176769366e-07,0.6201148241811835,0.5351821930714569,-2.071712632717956e-07,8.935468666157775e-07,-5.671173197239528e-07,1.2534929230679348e-06,-7.415076530750288e-07,1.4278832564190106e-06,3.4318780167199095e-07
robustness,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,covid,d_ecb_assets_ea_qavg_x_covid,79,2005Q4,2025Q2,target_factor_market_magnitude_weighted_quarterly_sum_x_covid,3,7.504014227168403,0.11116397021835563,2.1060344248672815e-08,1.2368322841674888e-07,0.1702764757862746,0.8647927106898432,-1.0193741727119568e-07,1.440581057685413e-07,-1.8238046260568388e-07,2.245011511030295e-07,-2.213543289397959e-07,2.6347501743714153e-07,2.1060344248672815e-08
robustness,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,tightening,d_ecb_assets_ea_qavg_x_tightening,79,2005Q4,2025Q2,target_factor_market_magnitude_weighted_quarterly_sum_x_tightening,3,7.504014227168403,0.11116397021835563,8.904372290172466e-08,2.3191497779791665e-07,0.38394985846629764,0.7010156114762278,-1.4158595500382846e-07,3.196734008072778e-07,-2.924224694735485e-07,4.7050991527699783e-07,-3.6550128105759805e-07,5.435887268610474e-07,8.904372290172466e-08
robustness,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,77,2005Q4,2024Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,5,7.3357624331366935,0.11227790355464153,1.4353945142340732e-06,7.253269547099128e-07,1.9789620458930066,0.04782027963704816,7.140874062182767e-07,2.15670162224987e-06,2.423378420538074e-07,2.628451186414339e-06,1.3779805986529628e-08,2.8570092224816167e-06,1.4353945142340732e-06
robustness,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,qe,d_ecb_assets_ea_qavg_x_qe,77,2005Q4,2024Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,5,7.3357624331366935,0.11227790355464153,-5.012099995649555e-07,1.0845271542298106e-06,-0.4621461045121508,0.6439765496497656,-1.5797265776438306e-06,5.773065785139195e-07,-2.2850984227272175e-06,1.2826784235973062e-06,-2.6268441621111e-06,1.6244241629811888e-06,-5.012099995649555e-07
robustness,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,covid,d_ecb_assets_ea_qavg_x_covid,77,2005Q4,2024Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_covid,5,7.3357624331366935,0.11227790355464153,8.026661848372996e-08,1.572269352424715e-07,0.5105144252792612,0.6096911110883132,-7.60889467210552e-08,2.3662218368851511e-07,-1.7834867620431342e-07,3.3888191317177334e-07,-2.2789251199112544e-07,3.8842574895858536e-07,8.026661848372996e-08
robustness,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,tightening,d_ecb_assets_ea_qavg_x_tightening,77,2005Q4,2024Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_tightening,5,7.3357624331366935,0.11227790355464153,-2.1920610309485473e-07,3.728071406707578e-07,-0.587987941165658,0.5565403869433992,-5.899471030517773e-07,1.515348968620678e-07,-8.324192805805581e-07,3.9400707439084863e-07,-9.498946719888974e-07,5.114824657991879e-07,-2.1920610309485473e-07
robustness,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,73,2005Q4,2023Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,9,7.1628798895846915,0.11711155365011588,8.361837416308972e-08,4.834345547504334e-07,0.1729673093108882,0.862677123672378,-3.971369298244758e-07,5.643736781506553e-07,-7.115607066118304e-07,8.787974549380098e-07,-8.638959420299162e-07,1.0311326903560956e-06,8.361837416308972e-08
robustness,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,qe,d_ecb_assets_ea_qavg_x_qe,73,2005Q4,2023Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,9,7.1628798895846915,0.11711155365011588,-8.250706180480251e-07,1.0034391700651038e-06,-0.8222427852746609,0.41093873250751517,-1.8229486110407196e-06,1.7280737494466961e-07,-2.4755811763547856e-06,8.254399402587354e-07,-2.79177525205239e-06,1.14163401595634e-06,-8.250706180480251e-07
robustness,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,covid,d_ecb_assets_ea_qavg_x_covid,73,2005Q4,2023Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_covid,9,7.1628798895846915,0.11711155365011588,-9.94873499431459e-08,1.7909532344986193e-07,-0.5554994291684985,0.5785531004647426,-2.775901061938617e-07,7.861540630756988e-08,-3.9407294228969825e-07,1.9509824240340645e-07,-4.5050773370442697e-07,2.5153303381813517e-07,-9.94873499431459e-08
robustness,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,tightening,d_ecb_assets_ea_qavg_x_tightening,73,2005Q4,2023Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_tightening,9,7.1628798895846915,0.11711155365011588,5.178702494166772e-08,2.929792466174175e-07,0.17676004542838156,0.8596968739309714,-2.395684964738775e-07,3.4314254635721297e-07,-4.301209514785011e-07,5.336950013618365e-07,-5.224417466461488e-07,6.260157965294843e-07,5.178702494166772e-08
robustness,ln_ecb_assets_ea_stock,12,lp_ln_ecb_assets_ea_stock_h12,pre_qe,d_ecb_assets_ea_qavg_x_pre_qe,69,2005Q4,2022Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_pre_qe,13,0.034234552518381256,0.0006842225692979672,-5.049466455945851e-07,3.9845669634259525e-07,-1.2672560160977422,0.20506376213450575,-9.011950483901938e-07,-1.0869824279897636e-07,-1.1603495877568042e-06,1.5045629656763388e-07,-1.285907419824884e-06,2.76014128635714e-07,-5.049466455945851e-07
robustness,ln_ecb_assets_ea_stock,12,lp_ln_ecb_assets_ea_stock_h12,qe,d_ecb_assets_ea_qavg_x_qe,69,2005Q4,2022Q4,target_factor_market_magnitude_weighted_quarterly_sum_x_qe,13,0.034234552518381256,0.0006842225692979672,-3.4739901030219474e-07,6.535236030204957e-07,-0.5315783679373852,0.5950180504098759,-9.97300709189568e-07,3.025026885851785e-07,-1.4223496790288508e-06,7.275516584244613e-07,-1.6282817352692176e-06,9.334837146648282e-07,-3.4739901030219474e-07
