specification,response,horizon,outcome,sample_window,nobs,sample_start,sample_end,endogenous_policy,instrument,hac_bandwidth,iv_r_squared,first_stage_f_stat,first_stage_partial_r_squared,first_stage_nobs,control_lags,controls,coefficient,std_error,t_stat,p_value,lower_68,upper_68,lower_90,upper_90,lower_95,upper_95,cumulative_response
robustness,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0,robustness,81,2005Q4,2025Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,1,0.578586895141583,2.995845289650574,0.044059240338711725,81,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",2.599855881482211e-07,8.000042144291397e-08,3.2498027317736,0.001154850874873969,1.8042853838421271e-07,3.3954263791222946e-07,1.283966047801978e-07,3.915745715162444e-07,1.031876433720839e-07,4.167835329243583e-07,2.599855881482211e-07
robustness,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1,robustness,80,2005Q4,2025Q3,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,2,0.49163192745024586,2.8714262940337125,0.042939510238768484,80,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",3.166467260858278e-07,1.1776965128762956e-07,2.688695454421271,0.007173182843956294,1.9952976795998092e-07,4.3376368421167466e-07,1.2293288802056027e-07,5.103605641510953e-07,8.58224510902327e-08,5.474710010814228e-07,3.166467260858278e-07
robustness,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2,robustness,79,2005Q4,2025Q2,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,3,0.5202304193037295,2.847262149064561,0.04324040295888004,79,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",5.2217784238829e-07,1.7570539251183026e-07,2.971894231152477,0.0029596862565609704,3.474462296824365e-07,6.969094550941435e-07,2.331681902402741e-07,8.111874945363059e-07,1.778016011756291e-07,8.665540836009509e-07,5.2217784238829e-07
robustness,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4,robustness,77,2005Q4,2024Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,5,0.47119515142363755,2.680160370779997,0.04208783952764358,77,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",5.968453390809637e-07,2.2922394433985767e-07,2.6037652427621354,0.00922058897719131,3.6889178061175855e-07,8.247988975501689e-07,2.198055028494266e-07,9.738851753125008e-07,1.4757466378062886e-07,1.0461160143812985e-06,5.968453390809637e-07
robustness,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8,robustness,73,2005Q4,2023Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,9,0.5506892865211502,2.5131000904114273,0.04222767905878811,73,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",5.094392634544139e-07,2.446869398137565e-07,2.082004310659873,0.0373420759832374,2.661084072381533e-07,7.527701196706745e-07,1.0696506303410011e-07,9.119134638747277e-07,2.98616739321315e-08,9.890168529766962e-07,5.094392634544139e-07
robustness,ln_ecb_assets_ea_stock,12,lp_ln_ecb_assets_ea_stock_h12,robustness,69,2005Q4,2022Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,13,0.6078103808051882,0.24834549284413593,0.004663910034115712,69,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",4.218738413171378e-07,2.268534528816877e-07,1.859675645039268,0.06293142980129063,1.962776367655911e-07,6.474700458686844e-07,4.873311655822898e-08,7.950145660760465e-07,-2.27507560995241e-08,8.664984387337996e-07,4.218738413171378e-07
robustness,ln_ecb_assets_ea_stock,16,lp_ln_ecb_assets_ea_stock_h16,robustness,65,2005Q4,2021Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,17,0.7312081590056541,0.14802316404451643,0.0030117826621520465,65,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",3.7374574326786076e-07,2.2689980156444186e-07,1.647184090470494,0.0995202129044636,1.4810344690337286e-07,5.993880396323487e-07,5.287817100193766e-10,7.469627048257021e-07,-7.096969589773016e-08,8.184611824334516e-07,3.7374574326786076e-07
robustness,ln_hh_loans_ea_stock,0,lp_ln_hh_loans_ea_stock_h0,robustness,81,2005Q4,2025Q4,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,1,0.8210258739797422,2.995845289650574,0.044059240338711725,81,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",1.5252130247653926e-09,4.156687666208125e-09,0.36692990843758655,0.7136713014309358,-2.608437792936029e-09,5.658863842466814e-09,-5.3119297591014896e-09,8.362355808632275e-09,-6.62174509598438e-09,9.672171145515165e-09,1.5252130247653926e-09
robustness,ln_hh_loans_ea_stock,1,lp_ln_hh_loans_ea_stock_h1,robustness,80,2005Q4,2025Q3,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,2,0.8723236508029422,2.8714262940337125,0.042939510238768484,80,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",-7.730603563427233e-09,6.454641210015823e-09,-1.1976813756017093,0.2310410825848629,-1.4149472398018009e-08,-1.311734728836456e-09,-1.8347543568392195e-08,2.8863364415377296e-09,-2.0381467868186277e-08,4.920260741331812e-09,-7.730603563427233e-09
robustness,ln_hh_loans_ea_stock,2,lp_ln_hh_loans_ea_stock_h2,robustness,79,2005Q4,2025Q2,d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,3,0.8904975161870736,2.847262149064561,0.04324040295888004,79,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_dfr_eop,L2_dfr_eop",-6.90596360574615e-09,8.57408686255255e-09,-0.8054459578556461,0.42056238021019376,-1.5432531877536714e-08,1.6206046660444143e-09,-2.1009081479412677e-08,7.197154267920375e-09,-2.3710865056667172e-08,9.898937845174873e-09,-6.90596360574615e-09
