date,quarter,regime,event_count,missing_quarter_flag,events_per_quarter_bin
2002-03-31,2002Q1,pre_gfc,3,False,3
2002-06-30,2002Q2,pre_gfc,3,False,3
2002-09-30,2002Q3,pre_gfc,3,False,3
2002-12-31,2002Q4,pre_gfc,3,False,3
2003-03-31,2003Q1,pre_gfc,3,False,3
2003-06-30,2003Q2,pre_gfc,3,False,3
2003-09-30,2003Q3,pre_gfc,3,False,3
2003-12-31,2003Q4,pre_gfc,3,False,3
2004-03-31,2004Q1,pre_gfc,3,False,3
2004-06-30,2004Q2,pre_gfc,3,False,3
2004-09-30,2004Q3,pre_gfc,3,False,3
2004-12-31,2004Q4,pre_gfc,3,False,3
2005-03-31,2005Q1,pre_gfc,3,False,3
2005-06-30,2005Q2,pre_gfc,3,False,3
2005-09-30,2005Q3,pre_gfc,3,False,3
2005-12-31,2005Q4,pre_gfc,3,False,3
2006-03-31,2006Q1,pre_gfc,3,False,3
2006-06-30,2006Q2,pre_gfc,3,False,3
2006-09-30,2006Q3,pre_gfc,3,False,3
2006-12-31,2006Q4,pre_gfc,3,False,3
2007-03-31,2007Q1,pre_gfc,3,False,3
2007-06-30,2007Q2,pre_gfc,3,False,3
2007-09-30,2007Q3,pre_gfc,3,False,3
2007-12-31,2007Q4,pre_gfc,3,False,3
2008-03-31,2008Q1,pre_gfc,3,False,3
2008-06-30,2008Q2,pre_gfc,3,False,3
2008-09-30,2008Q3,gfc,3,False,3
2008-12-31,2008Q4,gfc,4,False,4+
2009-03-31,2009Q1,gfc,3,False,3
2009-06-30,2009Q2,gfc,3,False,3
2009-09-30,2009Q3,gfc,3,False,3
2009-12-31,2009Q4,gfc,3,False,3
2010-03-31,2010Q1,euro_crisis,3,False,3
2010-06-30,2010Q2,euro_crisis,3,False,3
2010-09-30,2010Q3,euro_crisis,3,False,3
2010-12-31,2010Q4,euro_crisis,3,False,3
2011-03-31,2011Q1,euro_crisis,3,False,3
2011-06-30,2011Q2,euro_crisis,3,False,3
2011-09-30,2011Q3,euro_crisis,3,False,3
2011-12-31,2011Q4,euro_crisis,3,False,3
2012-03-31,2012Q1,euro_crisis,3,False,3
2012-06-30,2012Q2,euro_crisis,3,False,3
2012-09-30,2012Q3,euro_crisis,3,False,3
2012-12-31,2012Q4,euro_crisis,3,False,3
2013-03-31,2013Q1,euro_crisis,3,False,3
2013-06-30,2013Q2,euro_crisis,3,False,3
2013-09-30,2013Q3,euro_crisis,3,False,3
2013-12-31,2013Q4,euro_crisis,3,False,3
2014-03-31,2014Q1,euro_crisis,3,False,3
2014-06-30,2014Q2,euro_crisis,3,False,3
2014-09-30,2014Q3,euro_crisis,3,False,3
2014-12-31,2014Q4,euro_crisis,3,False,3
2015-03-31,2015Q1,qe_era,2,False,2
2015-06-30,2015Q2,qe_era,2,False,2
2015-09-30,2015Q3,qe_era,2,False,2
2015-12-31,2015Q4,qe_era,2,False,2
2016-03-31,2016Q1,qe_era,2,False,2
2016-06-30,2016Q2,qe_era,2,False,2
2016-09-30,2016Q3,qe_era,2,False,2
2016-12-31,2016Q4,qe_era,2,False,2
2017-03-31,2017Q1,qe_era,2,False,2
2017-06-30,2017Q2,qe_era,2,False,2
2017-09-30,2017Q3,qe_era,2,False,2
2017-12-31,2017Q4,qe_era,2,False,2
2018-03-31,2018Q1,qe_era,2,False,2
2018-06-30,2018Q2,qe_era,2,False,2
2018-09-30,2018Q3,qe_era,2,False,2
2018-12-31,2018Q4,qe_era,2,False,2
2019-03-31,2019Q1,qe_era,2,False,2
2019-06-30,2019Q2,qe_era,2,False,2
2019-09-30,2019Q3,qe_era,2,False,2
2019-12-31,2019Q4,qe_era,2,False,2
2020-03-31,2020Q1,covid,2,False,2
2020-06-30,2020Q2,covid,2,False,2
2020-09-30,2020Q3,covid,2,False,2
2020-12-31,2020Q4,covid,2,False,2
2021-03-31,2021Q1,covid,2,False,2
2021-06-30,2021Q2,covid,2,False,2
2021-09-30,2021Q3,covid,2,False,2
2021-12-31,2021Q4,covid,2,False,2
2022-03-31,2022Q1,covid,2,False,2
2022-06-30,2022Q2,covid,2,False,2
2022-09-30,2022Q3,tightening_regime,2,False,2
2022-12-31,2022Q4,tightening_regime,2,False,2
2023-03-31,2023Q1,tightening_regime,2,False,2
2023-06-30,2023Q2,tightening_regime,2,False,2
2023-09-30,2023Q3,tightening_regime,2,False,2
2023-12-31,2023Q4,tightening_regime,2,False,2
2024-03-31,2024Q1,tightening_regime,2,False,2
2024-06-30,2024Q2,tightening_regime,2,False,2
2024-09-30,2024Q3,tightening_regime,2,False,2
2024-12-31,2024Q4,tightening_regime,2,False,2
2025-03-31,2025Q1,tightening_regime,2,False,2
2025-06-30,2025Q2,tightening_regime,2,False,2
2025-09-30,2025Q3,tightening_regime,2,False,2
2025-12-31,2025Q4,tightening_regime,1,False,1
