factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,0.2777289936609794,0.008102316046443455,0.010699797135750191,positive,positive,stable,0.6016154777962083,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,0.0018095807677831483,8.616308803410233e-05,0.0026998669541521262,positive,positive,stable,0.9664707664794691,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,positive,unstable_or_unavailable,,2,0.08996487982009557,4,5.073227544719904,0.03100852934446824
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.027555439426344176,0.0008097977968295897,0.002337584820368591,positive,positive,stable,0.869141471044363,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.779142384312737,0.035774704557418394,0.005219599546824726,positive,positive,stable,0.38739649014562516,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.020334125825338802,0.0014503310436720272,0.014690900541779954,positive,positive,stable,0.8886397698977527,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.131288497106705,0.03220173655742442,-0.0035304538825045766,negative,negative,stable,0.2949967584962551,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.4780581378706025,0.022257977644062687,0.0039241502056702356,positive,negative,unstable_or_unavailable,0.49687652423332007,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.8614054763371621,0.057962584878578374,-0.004939751862879087,negative,negative,stable,0.36907152343538885,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
