response,regime,peak,peak_horizon,persistence,cumulative,min_F_stat,weak_iv_flag
ln_compensation_ea20_real,covid,1.2052613008363248e-07,1,"1,2",1.1086473247878994e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,pre_qe,-1.244416062083512e-07,12,"0,1,2,4,8,12",-5.712854152081416e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,qe,-1.4550654123902466e-07,0,"0,1,2,4,8,12",-3.483578288468093e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,tightening,-1.570313728438716e-07,1,"1,4",-1.380805167035034e-07,0.0021781474005609664,weak_iv_risk
ln_ecb_assets_ea_stock,covid,-2.065303375624265e-07,4,"1,2,4,8",-4.5344384583426465e-07,0.0021781474005609664,weak_iv_risk
ln_ecb_assets_ea_stock,pre_qe,1.3849674358540186e-06,4,"0,1,2,4,8",4.140290219280112e-06,0.0021781474005609664,weak_iv_risk
ln_ecb_assets_ea_stock,qe,1.4631508459037826e-06,4,"0,1,2,4,8",4.745965727946017e-06,0.0021781474005609664,weak_iv_risk
ln_ecb_assets_ea_stock,tightening,7.347841714692622e-07,1,1,7.15843089145436e-07,0.0021781474005609664,weak_iv_risk
ln_hh_loans_ea_stock,covid,3.322821822786656e-08,4,"0,1,2,4,8",1.098148786682084e-07,0.0021781474005609664,weak_iv_risk
ln_hh_loans_ea_stock,pre_qe,-1.9676041123666847e-07,12,"1,2,4,8,12",-3.103711181717352e-07,0.0021781474005609664,weak_iv_risk
ln_hh_loans_ea_stock,qe,-7.129808073877742e-08,12,"4,8,12",-2.65467865661504e-08,0.0021781474005609664,weak_iv_risk
ln_hh_loans_ea_stock,tightening,-1.4574777723148992e-07,0,"0,1,12",-2.4467831740552833e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,covid,6.357587887398464e-08,1,"0,1,2,4,12",9.638050645852154e-08,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,pre_qe,6.33294991988231e-08,4,"0,1,2,4,8,12",2.550981295569416e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,qe,1.0952962692828071e-07,12,"0,1,2,4,8,12",3.357428373986067e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,tightening,-1.3681432892367008e-07,1,"0,1,2,4,8,12",-1.9409795513188022e-07,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,covid,-7.201879235818174e-08,1,"0,1,2,4,12",-2.1728281396107004e-07,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,-3.494619736827148e-07,12,"8,12",-1.1150508934993204e-07,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,qe,-2.6860279507738285e-07,8,"8,12",-4.0524407123466136e-08,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,-6.624426445522222e-07,0,"0,1,2,4,12",-1.0110081777440224e-06,0.0021781474005609664,weak_iv_risk
