dimension,response,positive_horizon_count,negative_horizon_count,sign_flip_horizon,cumulative_response,cumulative_sign,persistence_score
baseline_lpiv,ln_compensation_ea20_real,2,4,1.0,-1.7467911230635645e-07,negative,-0.696969696969697
baseline_lpiv,ln_ecb_assets_ea_stock,5,1,12.0,1.887104180793453e-06,positive,0.21212121212121213
baseline_lpiv,ln_hh_loans_ea_stock,1,5,1.0,-1.748053705997621e-07,negative,-0.9393939393939394
baseline_lpiv,ln_house_price_de_real,6,0,,2.6018192040697564e-07,positive,1.0
baseline_lpiv,ln_nfc_loans_ea_stock,1,5,1.0,-4.4141404154131877e-07,negative,-0.9393939393939394
ols_lp,ln_compensation_ea20_real,2,4,1.0,-4.8309109600253377e-08,negative,-0.696969696969697
ols_lp,ln_ecb_assets_ea_stock,5,1,12.0,1.3030703099476948e-06,positive,0.21212121212121213
ols_lp,ln_hh_loans_ea_stock,4,2,8.0,-4.1213451890998505e-08,negative,-0.3333333333333333
ols_lp,ln_house_price_de_real,4,2,8.0,5.8051511144485274e-08,positive,-0.3333333333333333
ols_lp,ln_nfc_loans_ea_stock,1,5,1.0,-1.6532832813593554e-07,negative,-0.9393939393939394
dax_robustness,ln_compensation_ea20_real,1,5,1.0,-1.6778095997997876e-07,negative,-0.8787878787878788
dax_robustness,ln_ecb_assets_ea_stock,5,1,12.0,1.006081628987609e-06,positive,0.21212121212121213
dax_robustness,ln_hh_loans_ea_stock,1,5,1.0,-1.9298568786765442e-07,negative,-0.9393939393939394
dax_robustness,ln_house_price_de_real,5,1,12.0,1.6188101228540294e-07,positive,0.21212121212121213
dax_robustness,ln_nfc_loans_ea_stock,1,5,1.0,-4.5309535673999566e-07,negative,-0.9393939393939394
lag_1,ln_compensation_ea20_real,4,2,8.0,1.9830699776945306e-08,positive,-0.3333333333333333
lag_1,ln_ecb_assets_ea_stock,4,2,1.0,2.918843682403272e-06,positive,0.09090909090909091
lag_1,ln_hh_loans_ea_stock,1,5,1.0,-4.1186644247306e-07,negative,-0.9393939393939394
lag_1,ln_house_price_de_real,6,0,,4.4311139481122365e-07,positive,1.0
lag_1,ln_nfc_loans_ea_stock,0,6,,-7.630331256459654e-07,negative,-1.0
lag_2,ln_compensation_ea20_real,2,4,1.0,-1.7467911230635645e-07,negative,-0.696969696969697
lag_2,ln_ecb_assets_ea_stock,5,1,12.0,1.887104180793453e-06,positive,0.21212121212121213
lag_2,ln_hh_loans_ea_stock,1,5,1.0,-1.7480537059976211e-07,negative,-0.9393939393939394
lag_2,ln_house_price_de_real,6,0,,2.601819204069757e-07,positive,1.0
lag_2,ln_nfc_loans_ea_stock,1,5,1.0,-4.4141404154131877e-07,negative,-0.9393939393939394
lag_4,ln_compensation_ea20_real,4,2,8.0,-8.413994268602436e-09,negative,-0.3333333333333333
lag_4,ln_ecb_assets_ea_stock,4,2,8.0,1.170680900586334e-06,positive,-0.3333333333333333
lag_4,ln_hh_loans_ea_stock,0,6,,-1.3991931612948884e-07,negative,-1.0
lag_4,ln_house_price_de_real,2,4,4.0,-1.802343222859242e-08,negative,0.09090909090909091
lag_4,ln_nfc_loans_ea_stock,0,6,,-3.06190894814476e-07,negative,-1.0
