instrument,policy_target,sample,nobs,sample_start,sample_end,coefficient,std_error,t_stat,p_value,first_stage_f_stat,partial_r_squared,instrument_policy_correlation,weak_instrument_interpretation,stock_yogo_style_note
timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,69,2005Q2,2022Q2,0.002853505532014775,0.0214139844831451,0.13325430091073254,0.8943916960230843,0.017756708711208054,0.0002649552832451041,0.016277447073945742,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,83,2005Q2,2025Q4,0.003430427863914498,0.012450702358767947,0.2755208312805539,0.7836177761980707,0.07591172846952744,0.0009363043455343754,0.0305990905997936,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.0027431748775328378,0.002443612406433214,-1.1225900107197755,0.264928199057342,1.2602083321678257,0.015319780459090106,-0.12377310070887815,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-3168.4647104441506,8109.91860522715,-0.39069007528657007,0.6970520038805561,0.1526387349274258,0.0018808844334193087,-0.043369164546014825,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.00025599094198103137,0.00023624958799392878,-1.083561432444106,0.28177419576937207,1.174105377880323,0.01428802142087414,-0.11953251198261554,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,1.716698686375198e-05,0.0004954878404197624,0.03464663602886526,0.972446751953272,0.0012003893881166643,1.4819402457570567e-05,0.003849597700743655,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.0002647092230462443,0.0005532644572178749,-0.4784497171160267,0.6336190629257528,0.22891413180840595,0.002818136057278224,-0.05308611925238298,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,69,2005Q2,2022Q2,0.012021535536291332,0.05995545167629495,0.20050779704232266,0.8416908614009114,0.04020337667476526,0.0005996905535753965,0.0244885800644994,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,83,2005Q2,2025Q4,0.0191673090335027,0.03432046389299193,0.5584804766411263,0.5780569326550022,0.3119004427892996,0.0038358523302348766,0.061934258130980135,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.009056668597505414,0.00672301210906756,-1.347114723367874,0.18169995127330563,1.8147180779145036,0.021912989865003993,-0.14803036804995123,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-10610.204610277879,22377.619964017915,-0.4741435696619459,0.6366731974281141,0.22481212465177253,0.002767776480747832,-0.052609661477221445,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.0006880314869144011,0.0006524169791676608,-1.0545885666436465,0.2947490819563742,1.112157044895501,0.013544365230685878,-0.11638026134480829,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.0001379275352437462,0.001367726908612543,-0.10084435304681065,0.9199232170414706,0.01016958354142979,0.0001255346531640382,-0.011204224790856332,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_mean,d_ln_house_price_de_real,robustness_2005q1_2025q4,83,2005Q2,2025Q4,-0.0008047899034559687,0.0015268363005568539,-0.5270963908589631,0.599567336744934,0.2778306052565448,0.0034182827369727614,-0.058466081936219765,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
timing_factor_quarterly_abs_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,69,2005Q2,2022Q2,-0.03405978648636849,0.020867872698264813,-1.6321638040853392,0.10733665099924546,2.663958683366326,0.03824012780373906,-0.19555083176437552,weak_instrument_warning_below_rule_of_thumb_10,Formal Stock-Yogo critical values are not exact for LP-IV; F screens are used as cautionary evidence.
