response,horizon,cumulative_response,cumulative_HAC_se_independence_approx,CI_68_low,CI_68_high,CI_low,CI_high,min_F_stat_to_horizon,weak_iv_flag_to_horizon,ci_method
ln_compensation_ea20_real,0,-4.8755378922384294e-08,2.582057925418986e-08,-7.443285751075561e-08,-2.3077900334012975e-08,-9.122645235862642e-08,-6.284305486142179e-09,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,1,4.497229798564677e-09,3.061998093748635e-08,-2.5953051628450994e-08,3.494751122558035e-08,-4.5868156903644667e-08,5.486261650077402e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,2,5.5790111211387644e-09,3.195330075207848e-08,-2.6197200706337817e-08,3.735522294861535e-08,-4.6979491513988706e-08,5.813751375626624e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,4,-1.2920615359948874e-08,3.615498402032973e-08,-4.887522423628843e-08,2.303399351639068e-08,-7.239027195816072e-08,4.6549041238262975e-08,0.16606018789285695,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,8,-8.553328034059421e-08,4.0538923901926845e-08,-1.2584753279170565e-07,-4.5219027889482766e-08,-1.5221387635338828e-07,-1.8852684327800145e-08,0.04747973874010471,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,12,-1.7467911230635645e-07,4.949939150787542e-08,-2.2390417240544908e-07,-1.254540522072638e-07,-2.560983659599762e-07,-9.32598586527367e-08,0.015702461606945408,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,9.981843482503575e-08,2.71515552598632e-07,4.7004601140146353e-07,2.0659406744146863e-07,5.349674965586269e-07,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,1,6.645337163634204e-07,2.0069085181106679e-07,4.6495511669182466e-07,8.641123160350161e-07,3.344266408660069e-07,9.94640791860834e-07,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,2,1.1806404462478337e-06,3.175062516746012e-07,8.648938513016466e-07,1.4963870411940208e-06,6.583891366010993e-07,1.702891755894568e-06,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,4,1.7116116625835835e-06,4.248326154602258e-07,1.2891335190945443e-06,2.1340898060726226e-06,1.0128241941965512e-06,2.4103991309706157e-06,0.16606018789285695,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,8,2.08481040855423e-06,5.327984943690896e-07,1.5549647456666016e-06,2.6146560714418587e-06,1.2084348726569499e-06,2.9611859444515104e-06,0.04747973874010471,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,12,1.887104180793453e-06,6.111459398843752e-07,1.2793452830838023e-06,2.494863078503104e-06,8.818585649779726e-07,2.8923497966089337e-06,0.015702461606945408,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,0,1.0575137255283765e-08,5.565499282503615e-09,5.04048261979982e-09,1.610979189076771e-08,1.4207055746618816e-09,1.972956893590565e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,1,3.836318032405822e-09,9.158720347185676e-09,-5.271643616966541e-09,1.2944279681778185e-08,-1.1228436348896777e-08,1.8901072413708422e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,2,3.275347142066515e-10,1.2000486185469445e-08,-1.1606443375283179e-08,1.2261512803696483e-08,-1.9411508513143793e-08,2.0066577941557097e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,4,-8.0671308876327e-09,1.5438815314534244e-08,-2.3420382484590745e-08,7.286120709325347e-09,-3.3461722253578275e-08,1.7327460478312876e-08,0.16606018789285695,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,8,-6.10824775980987e-08,3.975861892625163e-08,-1.0062074961484213e-07,-2.1544205581355273e-08,-1.264795861415251e-07,4.31463094532771e-09,0.04747973874010471,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,12,-1.748053705997621e-07,7.023470840564182e-08,-2.446508300486909e-07,-1.0495991115083326e-07,-2.90331185458661e-07,-5.927955574086314e-08,0.015702461606945408,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,0,1.3833017289775451e-08,1.8511205105496635e-08,-4.575596555098308e-09,3.224163113464921e-08,-1.6615205567243287e-08,4.428124014679419e-08,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,1,6.0553771491119e-08,2.6314327027452687e-08,3.4385281537309196e-08,8.67222614449288e-08,1.7270555239226314e-08,1.0383698774301167e-07,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,2,1.213067475735187e-07,3.46331908157376e-08,8.686549794610082e-08,1.5574799720093659e-07,6.434021804735031e-08,1.782732770996871e-07,0.20642234843362534,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,4,1.7821609577814488e-07,4.1476364526837986e-08,1.3696959810754948e-07,2.1946259344874028e-07,1.0999354715341406e-07,2.464386444028757e-07,0.16606018789285695,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,8,1.9146259104414622e-07,6.499889660285767e-08,1.2682392591749875e-07,2.561012561707937e-07,8.45489202190921e-08,2.983762618692003e-07,0.04747973874010471,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_house_price_de_real,12,2.6018192040697564e-07,7.081429060371488e-08,1.89760090872205e-07,3.3060374994174627e-07,1.437027776674597e-07,3.7666106314649157e-07,0.015702461606945408,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
