response,horizon,ols_beta,ols_HAC_se,ols_t_stat,ols_p_value,ols_CI_low,ols_CI_high,nobs,sample_start,sample_end,hac_bandwidth
ln_ecb_assets_ea_stock,0,3.6933348313581683e-07,5.6556219885539225e-08,6.530377806071356,6.560399247289979e-11,2.763067797304227e-07,4.6236018654121097e-07,67,2005Q4,2022Q2,1
ln_ecb_assets_ea_stock,1,3.095861174163198e-07,1.0073888471463643e-07,3.0731541082004834,0.0021180907442341725,1.4388539751840394e-07,4.752868373142357e-07,66,2005Q4,2022Q1,2
ln_ecb_assets_ea_stock,2,4.770952745832264e-07,1.4551408263029683e-07,3.2786879864773484,0.0010429087585186844,2.3774590799626654e-07,7.164446411701863e-07,65,2005Q4,2021Q4,3
ln_ecb_assets_ea_stock,4,3.149019127947593e-07,1.4598311017967532e-07,2.157111959097046,0.030996942021496325,7.478106454206406e-08,5.550227610474546e-07,63,2005Q4,2021Q2,5
ln_ecb_assets_ea_stock,8,4.191433469803062e-09,1.1762082361018136e-07,0.035635131103097024,0.9715732955326019,-1.8927760485042301e-07,1.9766047179002914e-07,59,2005Q4,2020Q2,9
ln_ecb_assets_ea_stock,12,-1.720379114522304e-07,1.4062643178838164e-07,-1.2233682478064833,0.22119064052927637,-4.033478078245937e-07,5.927198492013284e-08,55,2005Q4,2019Q2,13
ln_hh_loans_ea_stock,0,5.195864364501483e-09,2.2563075037559075e-09,2.3028174820374945,0.021289114489543206,1.484568783430758e-09,8.907159945572209e-09,67,2005Q4,2022Q2,1
ln_hh_loans_ea_stock,1,1.2250815419433305e-09,3.818661842823874e-09,0.3208143565384127,0.7483510790766652,-5.056058240326709e-09,7.506221324213369e-09,66,2005Q4,2022Q1,2
ln_hh_loans_ea_stock,2,2.902374859995637e-09,5.684592067159654e-09,0.51056871376275,0.6096530879676139,-6.447947019411483e-09,1.2252696739402757e-08,65,2005Q4,2021Q4,3
ln_hh_loans_ea_stock,4,2.0014480411135174e-09,7.605014446090868e-09,0.2631747849134333,0.7924158646707228,-1.0507687553557382e-08,1.4510583635784419e-08,63,2005Q4,2021Q2,5
ln_hh_loans_ea_stock,8,-1.9290260609939005e-08,1.2009426259969255e-08,-1.6062599654938379,0.10821680272214118,-3.9044008951255684e-08,4.63487731377671e-10,59,2005Q4,2020Q2,9
ln_hh_loans_ea_stock,12,-3.324796008861347e-08,1.692521071020892e-08,-1.9644045003563246,0.04948320136465385,-6.10874543122185e-08,-5.408465865008436e-09,55,2005Q4,2019Q2,13
ln_nfc_loans_ea_stock,0,3.5217940499468215e-09,8.516536097582724e-09,0.413524232104931,0.6792225723280496,-1.0486661239225253e-08,1.7530249339118897e-08,67,2005Q4,2022Q2,1
ln_nfc_loans_ea_stock,1,-3.369589718489848e-09,1.3948530209718698e-08,-0.24157310252961792,0.8091109659345839,-2.6312880224587818e-08,1.957370078760812e-08,66,2005Q4,2022Q1,2
ln_nfc_loans_ea_stock,2,-1.401691097205031e-08,1.677529190691243e-08,-0.8355688264521048,0.4033975121607077,-4.1609810708304884e-08,1.3575988764204265e-08,65,2005Q4,2021Q4,3
ln_nfc_loans_ea_stock,4,-3.2626635200394977e-08,1.823622823662698e-08,-1.7891109267247076,0.07359695278305398,-6.26225613573257e-08,-2.630709043464247e-09,63,2005Q4,2021Q2,5
ln_nfc_loans_ea_stock,8,-5.2501659290265766e-08,1.5648438792390514e-08,-3.355073307108192,0.0007934395554610211,-7.824105059405741e-08,-2.6762267986474126e-08,59,2005Q4,2020Q2,9
ln_nfc_loans_ea_stock,12,-6.633532700468144e-08,2.5156842697089025e-08,-2.6368701272818034,0.008367486038824173,-1.0771465095763596e-07,-2.4956003051726925e-08,55,2005Q4,2019Q2,13
ln_house_price_de_real,0,1.625906066755385e-08,9.118898779953034e-09,1.7830070340618025,0.07458515830519545,1.2598069355447507e-09,3.1258314399562946e-08,67,2005Q4,2022Q2,1
ln_house_price_de_real,1,3.056861880461304e-08,1.1596013801283163e-08,2.6361316335472496,0.008385719400118969,1.1494873445393108e-08,4.9642364163832966e-08,66,2005Q4,2022Q1,2
ln_house_price_de_real,2,2.7710840397024914e-08,6.836231648033859e-09,4.0535256591246025,5.0451463328234376e-05,1.6466239976075985e-08,3.895544081797384e-08,65,2005Q4,2021Q4,3
ln_house_price_de_real,4,1.6168525192943972e-08,1.1473296404153694e-08,1.4092310198741538,0.1587668681771861,-2.703368010517508e-09,3.504041839640545e-08,63,2005Q4,2021Q2,5
ln_house_price_de_real,8,-2.366166804723868e-08,2.6594024416591054e-08,-0.8897362684407035,0.37360751462128033,-6.740494556410446e-08,2.0081609469627106e-08,59,2005Q4,2020Q2,9
ln_house_price_de_real,12,-8.993865870411804e-09,1.1651995470016565e-08,-0.7718734437852487,0.44018938730747403,-2.8159692880490666e-08,1.017196113966706e-08,55,2005Q4,2019Q2,13
ln_compensation_ea20_real,0,-1.37979147496706e-08,1.551870415610187e-08,-0.8891151355730521,0.3739412053562827,-3.9323911566421636e-08,1.1728082067080434e-08,67,2005Q4,2022Q2,1
ln_compensation_ea20_real,1,2.2364318551541642e-08,1.4067727662465348e-08,1.5897605560855967,0.11188878798663668,-7.750343170300322e-10,4.550367142011331e-08,66,2005Q4,2022Q1,2
ln_compensation_ea20_real,2,2.3036569840881558e-09,1.2692143568137004e-08,0.181502594240375,0.8559730970618347,-1.8573061397750787e-08,2.31803753659271e-08,65,2005Q4,2021Q4,3
ln_compensation_ea20_real,4,-9.952123357422976e-09,9.772157145910582e-09,-1.0184162216003356,0.3084801963919671,-2.602589148201374e-08,6.1216447671677864e-09,63,2005Q4,2021Q2,5
ln_compensation_ea20_real,8,-2.9133956101299338e-08,1.3196655908444967e-08,-2.2076771799934236,0.027266784702102947,-5.0840523435935606e-08,-7.427388766663069e-09,59,2005Q4,2020Q2,9
ln_compensation_ea20_real,12,-2.009309092749026e-08,8.194432801803713e-09,-2.452041698733252,0.01420481998362617,-3.357173344234721e-08,-6.614448412633314e-09,55,2005Q4,2019Q2,13
