factor,aggregation,target_equation,sample,F_stat,partial_R2,coef,sign,p_value,observations,t_stat,architecture,instrument,weak_instrument_interpretation
qe,crisis_weighted,d_dfr_eop,robustness_2005q1_2025q4,13.775607033294797,0.230455326461542,-0.032790458698976205,negative,0.0005545744741485245,48,-3.7115504891210622,weighted_event_quarterly,qe_factor_crisis_weighted_quarterly_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
fg,monthly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,13.386728025455419,0.14334722190723348,-0.0010294517961757087,negative,0.0004525490163999493,82,-3.6587877808716125,monthly_bridge_quarterly,fg_factor_monthly_abs_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
fg,quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,13.239145336680126,0.14048456497967765,-0.0010156805529997878,negative,0.00048103015028041547,83,-3.638563636475268,direct_quarterly,fg_factor_quarterly_abs_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
target,market_magnitude_weighted,d_dfr_eop,robustness_2005q1_2025q4,13.197109327308414,0.14010100120431698,0.0029765201886164296,positive,0.0004903839093186433,83,3.632782587398868,weighted_event_quarterly,target_factor_market_magnitude_weighted_quarterly_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
target,monthly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,11.325773110887797,0.12401508057463732,-0.0013101989204674293,negative,0.0011762727422583437,82,-3.3653785984474016,monthly_bridge_quarterly,target_factor_monthly_abs_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
target,quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,11.257516115794045,0.12202275315611724,-0.0012976663056896603,negative,0.001208866966428584,83,-3.355222215560997,direct_quarterly,target_factor_quarterly_abs_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
target,market_magnitude_weighted,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,11.074992166834086,0.12028230365490446,-1797.2857387804577,negative,0.001317890934618707,83,-3.3279110815696513,weighted_event_quarterly,target_factor_market_magnitude_weighted_quarterly_sum,passes_F10_but_below_stock_yogo_style_16_38_caution
qe,monthly_mean,d_dfr_eop,robustness_2005q1_2025q4,9.229590920052265,0.1701947361848801,-0.07137123686725351,negative,0.003955608859123787,47,-3.038024180294203,monthly_bridge_quarterly,qe_factor_monthly_mean,weak_instrument_warning_below_rule_of_thumb_10
qe,quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,9.17325336531722,0.1662626871861008,-0.07009538652585035,negative,0.004018459080566985,48,-3.0287379162478256,direct_quarterly,qe_factor_quarterly_mean,weak_instrument_warning_below_rule_of_thumb_10
qe,quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,8.857498210576,0.16146376520080458,-0.03384937702307898,negative,0.004641170505714918,48,-2.9761549372598197,direct_quarterly,qe_factor_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
