response,horizon,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end
ln_compensation_ea20_real,0,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2
ln_compensation_ea20_real,1,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1
ln_compensation_ea20_real,2,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4
ln_compensation_ea20_real,4,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2
ln_compensation_ea20_real,8,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2
ln_compensation_ea20_real,12,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2
ln_ecb_assets_ea_stock,0,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2
ln_ecb_assets_ea_stock,1,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1
ln_ecb_assets_ea_stock,2,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4
ln_ecb_assets_ea_stock,4,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2
ln_ecb_assets_ea_stock,8,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2
ln_ecb_assets_ea_stock,12,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2
ln_hh_loans_ea_stock,0,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2
ln_hh_loans_ea_stock,1,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1
ln_hh_loans_ea_stock,2,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4
ln_hh_loans_ea_stock,4,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2
ln_hh_loans_ea_stock,8,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2
ln_hh_loans_ea_stock,12,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2
ln_house_price_de_real,0,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2
ln_house_price_de_real,1,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1
ln_house_price_de_real,2,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4
ln_house_price_de_real,4,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2
ln_house_price_de_real,8,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2
ln_house_price_de_real,12,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2
ln_nfc_loans_ea_stock,0,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2
ln_nfc_loans_ea_stock,1,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1
ln_nfc_loans_ea_stock,2,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4
ln_nfc_loans_ea_stock,4,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2
ln_nfc_loans_ea_stock,8,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2
ln_nfc_loans_ea_stock,12,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2
