response,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,CI_95_low,CI_95_high,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end,hac_bandwidth,controls
ln_compensation_ea20_real,0,-3.869823689381118e-08,2.4138321641462217e-08,-1.6031867280838408,0.1088934347375196,-7.840224279429151e-08,1.0057690066691454e-09,-6.270278113761587e-08,-1.4693692650006486e-08,-8.600847795832087e-08,8.612004170698512e-09,0.20587222935487232,0.004183895539850924,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_compensation_ea20_real,1,4.7367497488730996e-08,1.770965241053126e-08,2.6746712126638545,0.007480257009336539,1.8237711489218783e-08,7.64972834882432e-08,2.9755994040173575e-08,6.497900093728841e-08,1.265721658536679e-08,8.20777783920952e-08,0.1924300432297819,0.003992951653551554,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_compensation_ea20_real,2,-9.734773688070494e-09,1.196254919283761e-08,-0.8137708385683411,0.41577624385174566,-2.9411416115494833e-08,9.941868739353846e-09,-2.1631025036172325e-08,2.161477660031338e-09,-3.318093926932089e-08,1.3711391893179906e-08,0.2493863726072985,0.005278087013461821,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_compensation_ea20_real,4,-2.7150514895999704e-08,2.3255362353413686e-08,-1.1674948118799895,0.2430106022707801,-6.540218200908291e-08,1.1101152217083503e-08,-5.027699331525126e-08,-4.024036476748145e-09,-7.273018755611914e-08,1.8429157764119737e-08,0.15989678912876154,0.0035406810134086296,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_compensation_ea20_real,8,-7.72463926137918e-08,2.2313669580097926e-08,-3.461841735018324,0.0005364925378702048,-1.139491129532126e-07,-4.0543672274371015e-08,-9.943639723105786e-08,-5.5056387996525753e-08,-1.209803813537107e-07,-3.3512403873872895e-08,0.23971356265563878,0.0058126873818228906,weak_iv_risk,59,2005Q4,2020Q2,9,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_compensation_ea20_real,12,-6.231853937703657e-08,3.0571521404180273e-08,-2.0384507055810213,0.04150487977640188,-1.1260421724012704e-07,-1.2032861513946106e-08,-9.272062983913935e-08,-3.191644891493379e-08,-1.2223762028182526e-07,-2.3994584722478814e-09,0.069563315665053,0.0018765615087690166,weak_iv_risk,55,2005Q4,2019Q2,13,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_ecb_assets_ea_stock,0,3.2634833428492526e-07,8.596589173465156e-08,3.7962536966667577,0.00014689917048108588,1.849470254710661e-07,4.6774964309878444e-07,2.4085887556224485e-07,4.1183779300760567e-07,1.5785828258613875e-07,4.948383859837118e-07,0.20587222935487232,0.004183895539850924,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_ecb_assets_ea_stock,1,2.7493417728022936e-07,1.7029316108621186e-07,1.6144757401093894,0.10642427482330537,-5.173146377457432e-09,5.550415009379162e-07,1.0558480078133759e-07,4.442835537791211e-07,-5.88342852622236e-08,6.087026398226824e-07,0.1924300432297819,0.003992951653551554,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_ecb_assets_ea_stock,2,5.08869028078913e-07,2.3859145981179295e-07,2.1328048727323345,0.03294073637185423,1.1642100004783905e-07,9.013170561099869e-07,2.7159987000255246e-07,7.461381861552735e-07,4.123835982896324e-08,9.764996963288627e-07,0.2493863726072985,0.005278087013461821,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
ln_ecb_assets_ea_stock,4,4.3947075328990236e-07,2.0608755202386725e-07,2.132446860444083,0.032970128574805156,1.0048689587389425e-07,7.784546107059104e-07,2.3452536254836744e-07,6.444161440314372e-07,3.554657366109797e-08,8.433949329187067e-07,0.15989678912876154,0.0035406810134086296,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate,L1_ln_dax_real_de,L2_ln_dax_real_de"
