regime,response,peak_response,peak_horizon,cumulative_response,sign_persistence,first_stage_strength,weak_iv_flag,AR_robustness_status
covid,ln_compensation_ea20_real,1.2052613008363248e-07,1,1.1086473247878995e-07,"1,2",0.0021781474005609,weak_iv_risk,not_feasible
pre_qe,ln_compensation_ea20_real,-1.244416062083512e-07,12,-5.712854152081416e-07,"0,1,2,4,8,12",0.0021781474005609,weak_iv_risk,directional_only
qe,ln_compensation_ea20_real,-1.4550654123902466e-07,0,-3.483578288468093e-07,"0,1,2,4,8,12",0.0021781474005609,weak_iv_risk,some_robust_signal
tightening,ln_compensation_ea20_real,-1.570313728438716e-07,1,-1.380805167035034e-07,"1,4",0.0021781474005609,weak_iv_risk,not_feasible
covid,ln_ecb_assets_ea_stock,-2.065303375624265e-07,4,-4.5344384583426465e-07,"1,2,4,8",0.0021781474005609,weak_iv_risk,not_feasible
pre_qe,ln_ecb_assets_ea_stock,1.3849674358540186e-06,4,4.140290219280112e-06,"0,1,2,4,8",0.0021781474005609,weak_iv_risk,directional_only
qe,ln_ecb_assets_ea_stock,1.4631508459037826e-06,4,4.745965727946017e-06,"0,1,2,4,8",0.0021781474005609,weak_iv_risk,some_robust_signal
tightening,ln_ecb_assets_ea_stock,7.347841714692622e-07,1,7.15843089145436e-07,1,0.0021781474005609,weak_iv_risk,not_feasible
covid,ln_hh_loans_ea_stock,3.322821822786656e-08,4,1.098148786682084e-07,"0,1,2,4,8",0.0021781474005609,weak_iv_risk,not_feasible
pre_qe,ln_hh_loans_ea_stock,-1.967604112366685e-07,12,-3.103711181717352e-07,"1,2,4,8,12",0.0021781474005609,weak_iv_risk,directional_only
qe,ln_hh_loans_ea_stock,-7.129808073877743e-08,12,-2.65467865661504e-08,"4,8,12",0.0021781474005609,weak_iv_risk,some_robust_signal
tightening,ln_hh_loans_ea_stock,-1.4574777723148992e-07,0,-2.4467831740552833e-07,"0,1,12",0.0021781474005609,weak_iv_risk,not_feasible
covid,ln_house_price_de_real,6.357587887398464e-08,1,9.638050645852154e-08,"0,1,2,4,12",0.0021781474005609,weak_iv_risk,not_feasible
pre_qe,ln_house_price_de_real,6.33294991988231e-08,4,2.550981295569416e-07,"0,1,2,4,8,12",0.0021781474005609,weak_iv_risk,directional_only
qe,ln_house_price_de_real,1.0952962692828073e-07,12,3.357428373986067e-07,"0,1,2,4,8,12",0.0021781474005609,weak_iv_risk,some_robust_signal
tightening,ln_house_price_de_real,-1.368143289236701e-07,1,-1.9409795513188027e-07,"0,1,2,4,8,12",0.0021781474005609,weak_iv_risk,not_feasible
covid,ln_nfc_loans_ea_stock,-7.201879235818174e-08,1,-2.1728281396107006e-07,"0,1,2,4,12",0.0021781474005609,weak_iv_risk,not_feasible
pre_qe,ln_nfc_loans_ea_stock,-3.494619736827148e-07,12,-1.1150508934993204e-07,"8,12",0.0021781474005609,weak_iv_risk,directional_only
qe,ln_nfc_loans_ea_stock,-2.6860279507738285e-07,8,-4.0524407123466136e-08,"8,12",0.0021781474005609,weak_iv_risk,some_robust_signal
tightening,ln_nfc_loans_ea_stock,-6.624426445522222e-07,0,-1.0110081777440224e-06,"0,1,2,4,12",0.0021781474005609,weak_iv_risk,not_feasible
