response,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,CI_95_low,CI_95_high,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end,hac_bandwidth,controls
ln_compensation_ea20_real,0,-4.8755378922384294e-08,2.582057925418986e-08,-1.8882372251378847,0.058994110479933574,-9.122645235862642e-08,-6.284305486142179e-09,-7.443285751075561e-08,-2.3077900334012975e-08,-9.936278432055849e-08,1.852026475789905e-09,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,1,5.325260872094897e-08,1.6458460425876038e-08,3.235576557162362,0.0012139732615882221,2.6180850395409508e-08,8.032436704648843e-08,3.688536300494079e-08,6.961985443695715e-08,2.099461904525419e-08,8.551059839664375e-08,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,2,1.0817813225740875e-09,9.134013156370628e-09,0.11843439505225432,0.9057234742387443,-1.39423333463046e-08,1.6105895991452775e-08,-8.001610066120284e-09,1.0165172711268459e-08,-1.682055549822736e-08,1.8984118143375534e-08,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,4,-1.849962648108764e-08,1.6916543398623692e-08,-1.093581947869607,0.2741383701195004,-4.632486424579579e-08,9.325611283620514e-09,-3.532241642050888e-08,-1.676836541666396e-09,-5.1655442285298865e-08,1.465618932312359e-08,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,8,-7.261266498064533e-08,1.8336343190939616e-08,-3.9600406812043536,7.49369965629543e-05,-1.0277326558328928e-07,-4.2452064378001386e-08,-9.084738601611471e-08,-5.4377943945175946e-08,-1.0855123724305321e-07,-3.667409271823744e-08,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,12,-8.914583196576224e-08,2.8403968182697877e-08,-3.1384992192768664,0.001698153874637896,-1.3586620205088704e-07,-4.2425461880637433e-08,-1.1739238203948515e-07,-6.089928189203932e-08,-1.4481658662187166e-07,-3.347507730965281e-08,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,9.981843482503575e-08,3.7145521531164216,0.00020356388556614356,2.0659406744146863e-07,5.349674965586269e-07,2.71515552598632e-07,4.7004601140146353e-07,1.7514024474981906e-07,5.664213192502765e-07,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,1,2.937529343633726e-07,1.7410657101250275e-07,1.6872018824739126,0.09156453956587512,7.373109557373508e-09,5.801327591693716e-07,1.206112823013705e-07,4.6689458642537463e-07,-4.7489674292898056e-08,6.349955430196432e-07,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,2,5.161067298844133e-07,2.460353670751496e-07,2.09769325450992,0.0359322511469287,1.1141456399251689e-07,9.207988957763098e-07,2.7143491954812544e-07,7.607785402207013e-07,3.3886271494028545e-08,9.98327188274798e-07,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,4,5.309712163357497e-07,2.8226323052484354e-07,1.8811207373643946,0.059955496672757486,6.668951785192156e-08,9.95252914819578e-07,2.5027232160006724e-07,8.116701110714323e-07,-2.2254549652870194e-08,1.0841969823243696e-06,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
