dimension,response,horizon,value,sign,control_lags,regime
baseline_lpiv,ln_compensation_ea20_real,0,-4.8755378922384294e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,1,5.325260872094897e-08,positive,,
baseline_lpiv,ln_compensation_ea20_real,2,1.0817813225740875e-09,positive,,
baseline_lpiv,ln_compensation_ea20_real,4,-1.849962648108764e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,8,-7.261266498064533e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,12,-8.914583196576224e-08,negative,,
baseline_lpiv,ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,1,2.937529343633726e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,2,5.161067298844133e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,4,5.309712163357497e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,8,3.731987459706466e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,12,-1.977062277607772e-07,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,0,1.0575137255283765e-08,positive,,
baseline_lpiv,ln_hh_loans_ea_stock,1,-6.738819222877943e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,2,-3.5087833181991706e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,4,-8.394665601839351e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,8,-5.3015346710466004e-08,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,12,-1.1372289300166339e-07,negative,,
baseline_lpiv,ln_house_price_de_real,0,1.3833017289775451e-08,positive,,
baseline_lpiv,ln_house_price_de_real,1,4.672075420134355e-08,positive,,
baseline_lpiv,ln_house_price_de_real,2,6.07529760823997e-08,positive,,
baseline_lpiv,ln_house_price_de_real,4,5.690934820462619e-08,positive,,
baseline_lpiv,ln_house_price_de_real,8,1.3246495266001344e-08,positive,,
baseline_lpiv,ln_house_price_de_real,12,6.871932936282943e-08,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,0,7.129894900191862e-09,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,1,-1.5822346512696376e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,2,-1.1292066153824959e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,4,-4.683826915168857e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,8,-1.3357231425341767e-07,negative,,
