response,regime,horizon,cumulative_response,F_stat,weak_iv_flag
ln_compensation_ea20_real,covid,0,-4.640163388664931e-09,1.4636764838310359,weak_iv_risk
ln_compensation_ea20_real,covid,1,1.1588596669496755e-07,1.4525411404335429,weak_iv_risk
ln_compensation_ea20_real,covid,2,1.4259425779161888e-07,1.4216360097862715,weak_iv_risk
ln_compensation_ea20_real,covid,4,1.415882442474874e-07,1.1900665335224,weak_iv_risk
ln_compensation_ea20_real,covid,8,1.108649726267725e-07,0.9534796233794917,weak_iv_risk
ln_compensation_ea20_real,covid,12,1.1086473247878994e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,pre_qe,0,-1.0261655023058354e-07,1.4636764838310359,weak_iv_risk
ln_compensation_ea20_real,pre_qe,1,-1.3643838364853234e-07,1.4525411404335429,weak_iv_risk
ln_compensation_ea20_real,pre_qe,2,-2.5650445621229607e-07,1.4216360097862715,weak_iv_risk
ln_compensation_ea20_real,pre_qe,4,-3.4646368756165566e-07,1.1900665335224,weak_iv_risk
ln_compensation_ea20_real,pre_qe,8,-4.4684380899979036e-07,0.9534796233794917,weak_iv_risk
ln_compensation_ea20_real,pre_qe,12,-5.712854152081416e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,qe,0,-1.4550654123902466e-07,1.4636764838310359,weak_iv_risk
ln_compensation_ea20_real,qe,1,-2.1212091211711527e-07,1.4525411404335429,weak_iv_risk
ln_compensation_ea20_real,qe,2,-2.7010815260535475e-07,1.4216360097862715,weak_iv_risk
ln_compensation_ea20_real,qe,4,-3.2555859863945874e-07,1.1900665335224,weak_iv_risk
ln_compensation_ea20_real,qe,8,-3.2639672645702694e-07,0.9534796233794917,weak_iv_risk
ln_compensation_ea20_real,qe,12,-3.483578288468093e-07,0.0021781474005609664,weak_iv_risk
ln_compensation_ea20_real,tightening,0,1.89507496848041e-08,1.4636764838310359,weak_iv_risk
ln_compensation_ea20_real,tightening,1,-1.380806231590675e-07,1.4525411404335429,weak_iv_risk
ln_compensation_ea20_real,tightening,2,-1.3808059725952446e-07,1.4216360097862715,weak_iv_risk
ln_compensation_ea20_real,tightening,4,-1.3808063917921588e-07,1.1900665335224,weak_iv_risk
ln_compensation_ea20_real,tightening,8,-1.3808052810437332e-07,0.9534796233794917,weak_iv_risk
ln_compensation_ea20_real,tightening,12,-1.380805167035034e-07,0.0021781474005609664,weak_iv_risk
ln_ecb_assets_ea_stock,covid,0,1.3254118730009087e-07,1.4636764838310359,weak_iv_risk
ln_ecb_assets_ea_stock,covid,1,-4.576306916215532e-08,1.4525411404335429,weak_iv_risk
ln_ecb_assets_ea_stock,covid,2,-1.5063199482221247e-07,1.4216360097862715,weak_iv_risk
