response,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,CI_95_low,CI_95_high,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end,hac_bandwidth,controls
ln_compensation_ea20_real,0,-4.875537545471965e-08,2.582058088464202e-08,-1.8882369716058232,0.05899414450097738,-9.12264515728169e-08,-6.284299336622392e-09,-7.443285566450697e-08,-2.307789524493233e-08,-9.936278404852135e-08,1.8520331390820584e-09,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,1,5.325260881790391e-08,1.645845864821754e-08,3.2355769125240164,0.0012139717504453102,2.6180853416352475e-08,8.032436421945534e-08,3.6885364869702235e-08,6.961985276610558e-08,2.099462262635576e-08,8.551059500945206e-08,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,2,1.0817762006350878e-09,9.134013080650573e-09,0.11843383527955686,0.9057239177513087,-1.3942338343695191e-08,1.6105890744965365e-08,-8.00161511275888e-09,1.0165167514029053e-08,-1.6820560471757777e-08,1.898411287302795e-08,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,4,-1.849960496190279e-08,1.6916542742277254e-08,-1.0935807182202306,0.27413890966813553,-4.632484164701712e-08,9.325631723211542e-09,-3.5322394248615145e-08,-1.6768156751904396e-09,-5.165541947969864e-08,1.4656209555893058e-08,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,8,-7.261267271452001e-08,1.83363467048363e-08,-3.960040344097991,7.493710234724132e-05,-1.0277327909700966e-07,-4.2452066332030354e-08,-9.084739724441165e-08,-5.437794818462836e-08,-1.0855125186403884e-07,-3.667409356500118e-08,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_compensation_ea20_real,12,-8.914587455662107e-08,2.8403979827851248e-08,-3.138499432013043,0.0016981526419803713,-1.3586626379631863e-07,-4.2425485316923515e-08,-1.1739243621095856e-07,-6.089931290228358e-08,-1.448166520368117e-07,-3.347509707643044e-08,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,0,3.707807936158248e-07,9.98184438279999e-08,3.7145519344574045,0.0002035640615740644,2.0659406424868741e-07,5.349675229829621e-07,2.715155552613403e-07,4.7004603197030923e-07,1.751402387201106e-07,5.66421348511539e-07,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,1,2.93752913537525e-07,1.7410652129967467e-07,1.6872022446069854,0.09156446995679678,7.373170501851514e-09,5.801326565731985e-07,1.2061131091283672e-07,4.668945161622133e-07,-4.748959768339304e-08,6.34995424758443e-07,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,2,5.161067643208291e-07,2.4603537936030253e-07,2.0976932897322254,0.0359322480334842,1.1141457822165423e-07,9.20798950420004e-07,2.71434941767474e-07,7.607785868741842e-07,3.388628185198693e-08,9.983272467896712e-07,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,4,5.309712497078276e-07,2.822632296592882e-07,1.8811208613631598,0.0599554798089033,6.668955264771126e-08,9.95252946767944e-07,2.5027235583290343e-07,8.116701435827518e-07,-2.2254514584335043e-08,1.0841970139999904e-06,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,3.215454126094044e-07,1.1606406485576108,0.24578806758418562,-1.5569646192848255e-07,9.0209381439189e-07,5.343530585234871e-08,6.929620466110588e-07,-2.5701875187680004e-07,1.0034161043402076e-06,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_ecb_assets_ea_stock,12,-1.9770654831203504e-07,2.993746928303823e-07,-0.6603983337497745,0.5089982411837564,-6.90134097631572e-07,2.947210010075019e-07,-4.954220716307072e-07,1.0000897500663703e-07,-7.844701641423256e-07,3.8905706751825554e-07,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,0,1.0575135283962145e-08,5.565498783826677e-09,1.9001235459243038,0.05741690840183856,1.420704423590832e-09,1.9729566144333457e-08,5.040481144391411e-09,1.6109789423532877e-08,-3.330418883396093e-10,2.14833124562639e-08,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,1,-6.7388204991927865e-09,7.273744905011565e-09,-0.9264581844972019,0.3542079184231519,-1.8703066187720845e-08,5.225425189335273e-09,-1.3972253460438314e-08,4.946124620527422e-10,-2.0995098545747165e-08,7.517457547361591e-09,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,7.754321839224727e-09,-0.45249399114435196,0.6509131490713882,-1.6263508439446405e-08,9.24594036414919e-09,-1.1220130519611191e-08,4.202562444313974e-09,-1.870697556706146e-08,1.1689407491764241e-08,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,4,-8.39466766371723e-09,9.713157063495141e-09,-0.8642573788152591,0.387446518026455,-2.4371389288756518e-08,7.582053961322059e-09,-1.805399327636447e-08,1.2646579489300115e-09,-2.743210568434853e-08,1.0642770356914072e-08,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,8,-5.301533986156462e-08,3.6638649168251076e-08,-1.4469785613030905,0.14790292811732525,-1.1328055483256491e-07,7.249875109435676e-09,-8.945093335708837e-08,-1.6579746366040866e-08,-1.248257726735351e-07,1.8795092950405874e-08,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_hh_loans_ea_stock,12,-1.137229114358912e-07,5.7897904552805104e-08,-1.9641973628280718,0.049507208534705714,-2.089564897324628e-07,-1.8489333139319613e-08,-1.712999390397541e-07,-5.6145883832028306e-08,-2.272007191397268e-07,-2.4510373205561267e-10,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
ln_house_price_de_real,0,1.3833020128862633e-08,1.8511205415801355e-08,0.7472781927564061,0.454895653126595,-1.6615203238561948e-08,4.428124349628721e-08,-4.575594024596102e-09,3.224163428232137e-08,-2.2448275796530807e-08,5.011431605425607e-08,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ln_house_price_de_real,L2_ln_house_price_de_real,L1_ln_compensation_ea20_real,L2_ln_compensation_ea20_real,L1_inflation_ea20_qoq,L2_inflation_ea20_qoq,L1_wx_shadow_rate,L2_wx_shadow_rate"
