response,horizon,cumulative_response,cumulative_HAC_se_independence_approx,CI_68_low,CI_68_high,CI_low,CI_high,min_F_stat_to_horizon,weak_iv_flag_to_horizon,ci_method
ln_compensation_ea20_real,0,-4.875537545471965e-08,2.582058088464202e-08,-7.443285566450697e-08,-2.307789524493233e-08,-9.12264515728169e-08,-6.284299336622392e-09,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,1,4.497233363184258e-09,3.06199813568759e-08,-2.595304848089666e-08,3.4947515207265174e-08,-4.586815402885951e-08,5.4862620755228027e-08,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,2,5.5790095638193454e-09,3.1953301132323145e-08,-2.6197202641794543e-08,3.7355221769433235e-08,-4.697949369675494e-08,5.8137512824393633e-08,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,4,-1.2920595398083446e-08,3.615498404928727e-08,-4.887520430322005e-08,2.3034013507053163e-08,-7.23902520439262e-08,4.654906124775932e-08,0.16606018788504126,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,8,-8.553326811260346e-08,4.0538925517139425e-08,-1.2584752216997579e-07,-4.5219014055231135e-08,-1.522138667821858e-07,-1.8852669443021122e-08,0.04747973873658527,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_compensation_ea20_real,12,-1.7467914266922452e-07,4.949939951297549e-08,-2.2390421072905202e-07,-1.2545407460939702e-07,-2.5609840949006216e-07,-9.325987584838688e-08,0.015702461598562825,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,0,3.707807936158248e-07,9.98184438279999e-08,2.715155552613403e-07,4.7004603197030923e-07,2.0659406424868741e-07,5.349675229829621e-07,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,1,6.645337071533497e-07,2.0069081316123475e-07,4.6495514591738414e-07,8.641122683893153e-07,3.3442669522925263e-07,9.94640719077447e-07,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,2,1.180640471474179e-06,3.1750623676439117e-07,8.648938913555677e-07,1.49638705159279e-06,6.583891863525574e-07,1.7028917565958004e-06,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,4,1.7116117211820065e-06,4.248326037417299e-07,1.2891335893465178e-06,2.134089853017495e-06,1.0128242720701848e-06,2.410399170293828e-06,0.16606018788504126,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
