response,horizon,baseline_beta,baseline_HAC_se,baseline_F_stat,baseline_partial_R2,dax_augmented_beta,dax_augmented_HAC_se,dax_augmented_F_stat,dax_augmented_partial_R2,beta_change,abs_beta_change,baseline_weak_iv_flag,dax_augmented_weak_iv_flag
ln_compensation_ea20_real,0,-4.875537545471965e-08,2.582058088464202e-08,0.20642234843224008,0.004031180835631256,-3.8698239217747925e-08,2.413831981124925e-08,0.2058722293528426,0.004183895539809848,1.0057136236971727e-08,1.0057136236971727e-08,weak_iv_risk,weak_iv_risk
ln_compensation_ea20_real,1,5.325260881790391e-08,1.645845864821754e-08,0.2198270046179789,0.004377295138785816,4.736749516656929e-08,1.7709653729574183e-08,0.19243004322987878,0.003992951653553555,-5.885113651334616e-09,5.885113651334616e-09,weak_iv_risk,weak_iv_risk
ln_compensation_ea20_real,2,1.0817762006350878e-09,9.134013080650573e-09,0.24337593841762192,0.004942308153729772,-9.734779417970972e-09,1.1962550971008676e-08,0.2493863726091467,0.00527808701350073,-1.0816555618606059e-08,1.0816555618606059e-08,weak_iv_risk,weak_iv_risk
ln_compensation_ea20_real,4,-1.849960496190279e-08,1.6916542742277254e-08,0.16606018788504126,0.0035207559678197393,-2.7150519568915683e-08,2.3255360891936928e-08,0.15989678912483188,0.0035406810133219208,-8.650914607012892e-09,8.650914607012892e-09,weak_iv_risk,weak_iv_risk
ln_compensation_ea20_real,8,-7.261267271452001e-08,1.83363467048363e-08,0.04747973873658527,0.0011029621019569304,-7.724639705551574e-08,2.231367125173147e-08,0.23971356265107024,0.0058126873817127556,-4.633724340995736e-09,4.633724340995736e-09,weak_iv_risk,weak_iv_risk
ln_compensation_ea20_real,12,-8.914587455662107e-08,2.8403979827851248e-08,0.015702461598562825,0.00040246517704039977,-6.231855222693764e-08,3.057150835409214e-08,0.0695633156588277,0.0018765615086013961,2.682732232968343e-08,2.682732232968343e-08,weak_iv_risk,weak_iv_risk
ln_ecb_assets_ea_stock,0,3.707807936158248e-07,9.98184438279999e-08,0.20642234843224008,0.004031180835631256,3.263483484355077e-07,8.59658904957705e-08,0.2058722293528426,0.004183895539809848,-4.443244518031707e-08,4.443244518031707e-08,weak_iv_risk,weak_iv_risk
ln_ecb_assets_ea_stock,1,2.93752913537525e-07,1.7410652129967467e-07,0.2198270046179789,0.004377295138785816,2.749341588232827e-07,1.7029316390783889e-07,0.19243004322987878,0.003992951653553555,-1.8818754714242307e-08,1.8818754714242307e-08,weak_iv_risk,weak_iv_risk
ln_ecb_assets_ea_stock,2,5.161067643208291e-07,2.4603537936030253e-07,0.24337593841762192,0.004942308153729772,5.08869091551114e-07,2.385914938768201e-07,0.2493863726091467,0.00527808701350073,-7.237672769715121e-09,7.237672769715121e-09,weak_iv_risk,weak_iv_risk
ln_ecb_assets_ea_stock,4,5.309712497078276e-07,2.822632296592882e-07,0.16606018788504126,0.0035207559678197393,4.394707568057478e-07,2.0608753228392458e-07,0.15989678912483188,0.0035406810133219208,-9.15004929020798e-08,9.15004929020798e-08,weak_iv_risk,weak_iv_risk
ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,3.215454126094044e-07,0.04747973873658527,0.0011029621019569304,2.4611533177696277e-07,2.0552608271143816e-07,0.23971356265107024,0.0058126873817127556,-1.2708334445474097e-07,1.2708334445474097e-07,weak_iv_risk,weak_iv_risk
