regime,response,peak_response,peak_horizon,cumulative_response,sign_persistence,first_stage_strength,weak_iv_flag,AR_robustness_status
covid,ln_compensation_ea20_real,1.205261129043276e-07,1,1.1086493855510645e-07,"1,2",0.0021781473996655,weak_iv_risk,not_feasible
pre_qe,ln_compensation_ea20_real,-1.2444163152773962e-07,12,-5.71285377311577e-07,"0,1,2,4,8,12",0.0021781473996655,weak_iv_risk,directional_only
qe,ln_compensation_ea20_real,-1.455064894790355e-07,0,-3.4835781378564957e-07,"0,1,2,4,8,12",0.0021781473996655,weak_iv_risk,some_robust_signal
tightening,ln_compensation_ea20_real,-1.570314174129306e-07,1,-1.380807715258019e-07,"1,12",0.0021781473996655,weak_iv_risk,not_feasible
covid,ln_ecb_assets_ea_stock,-2.0653028468516914e-07,4,-4.534454914209064e-07,"1,2,4,8,12",0.0021781473996655,weak_iv_risk,not_feasible
pre_qe,ln_ecb_assets_ea_stock,1.3849672952351424e-06,4,4.140292450897799e-06,"0,1,2,4,8",0.0021781473996655,weak_iv_risk,directional_only
qe,ln_ecb_assets_ea_stock,1.4631505470027851e-06,4,4.745968314813073e-06,"0,1,2,4,8",0.0021781473996655,weak_iv_risk,some_robust_signal
tightening,ln_ecb_assets_ea_stock,7.347840497321503e-07,1,7.158473842464883e-07,"1,2,4,12",0.0021781473996655,weak_iv_risk,not_feasible
covid,ln_hh_loans_ea_stock,3.3228217113737696e-08,4,1.0981510093718265e-07,"0,1,2,4,8",0.0021781473996655,weak_iv_risk,not_feasible
pre_qe,ln_hh_loans_ea_stock,-1.9676031730738162e-07,12,-3.103709859063721e-07,"1,2,4,8,12",0.0021781473996655,weak_iv_risk,directional_only
qe,ln_hh_loans_ea_stock,-7.129807736067165e-08,12,-2.6546870769162824e-08,"4,8,12",0.0021781473996655,weak_iv_risk,some_robust_signal
tightening,ln_hh_loans_ea_stock,-1.4574779877539066e-07,0,-2.44678124750717e-07,"0,1,2,4,12",0.0021781473996655,weak_iv_risk,not_feasible
covid,ln_house_price_de_real,6.357587402879355e-08,1,9.638031192529598e-08,"0,1,2,4",0.0021781473996655,weak_iv_risk,not_feasible
pre_qe,ln_house_price_de_real,6.332948847210725e-08,4,2.550983443422193e-07,"0,1,2,4,8,12",0.0021781473996655,weak_iv_risk,directional_only
qe,ln_house_price_de_real,1.0952977057330173e-07,12,3.357431595202449e-07,"0,1,2,4,8,12",0.0021781473996655,weak_iv_risk,some_robust_signal
tightening,ln_house_price_de_real,-1.3681435326726685e-07,1,-1.9409762256998626e-07,"0,1,8",0.0021781473996655,weak_iv_risk,not_feasible
covid,ln_nfc_loans_ea_stock,-7.201877938225098e-08,1,-2.172823399656962e-07,"0,1,2,4,12",0.0021781473996655,weak_iv_risk,not_feasible
pre_qe,ln_nfc_loans_ea_stock,-3.494619567169466e-07,12,-1.1150506453519624e-07,"8,12",0.0021781473996655,weak_iv_risk,directional_only
qe,ln_nfc_loans_ea_stock,-2.686028592857663e-07,8,-4.0524513317052354e-08,"8,12",0.0021781473996655,weak_iv_risk,some_robust_signal
tightening,ln_nfc_loans_ea_stock,-6.624425234358293e-07,0,-1.0110075296112385e-06,"0,1,12",0.0021781473996655,weak_iv_risk,not_feasible
