dimension,response,horizon,value,sign,control_lags,regime
baseline_lpiv,ln_compensation_ea20_real,0,-4.875537545471965e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,1,5.325260881790391e-08,positive,,
baseline_lpiv,ln_compensation_ea20_real,2,1.0817762006350878e-09,positive,,
baseline_lpiv,ln_compensation_ea20_real,4,-1.849960496190279e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,8,-7.261267271452001e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,12,-8.914587455662107e-08,negative,,
baseline_lpiv,ln_ecb_assets_ea_stock,0,3.707807936158248e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,1,2.93752913537525e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,2,5.161067643208291e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,4,5.309712497078276e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,12,-1.9770654831203504e-07,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,0,1.0575135283962145e-08,positive,,
baseline_lpiv,ln_hh_loans_ea_stock,1,-6.7388204991927865e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,4,-8.39466766371723e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,8,-5.301533986156462e-08,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,12,-1.137229114358912e-07,negative,,
baseline_lpiv,ln_house_price_de_real,0,1.3833020128862633e-08,positive,,
baseline_lpiv,ln_house_price_de_real,1,4.672075330650515e-08,positive,,
baseline_lpiv,ln_house_price_de_real,2,6.075297384166653e-08,positive,,
baseline_lpiv,ln_house_price_de_real,4,5.690934957571591e-08,positive,,
baseline_lpiv,ln_house_price_de_real,8,1.3246480827893509e-08,positive,,
baseline_lpiv,ln_house_price_de_real,12,6.871923788783967e-08,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,0,7.129894912061861e-09,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,1,-1.582234667563684e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,2,-1.1292064845916677e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,4,-4.6838280137808894e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,8,-1.335722844986595e-07,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,12,-2.410189646797626e-07,negative,,
ols_lp,ln_ecb_assets_ea_stock,0,3.6933349576286885e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,1,3.095861303666132e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,2,4.77095278493084e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,4,3.149019249323663e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,8,4.191491386261396e-09,positive,,
ols_lp,ln_ecb_assets_ea_stock,12,-1.720378997404922e-07,negative,,
ols_lp,ln_hh_loans_ea_stock,0,5.195864123727144e-09,positive,,
ols_lp,ln_hh_loans_ea_stock,1,1.2250818397279552e-09,positive,,
