event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_flag,monthly_identification_window
ECB_20020103,2002-01-03,2002Q1,pre_gfc,0.3529564837399894,1.9505901534617556,2.25,0.749999999999984,0.0225673215647149,0.3529564837399894,0.749999999999984,0.0225673215647149,positive,positive,positive,possible_information_shock,True,False
ECB_20020207,2002-02-07,2002Q1,pre_gfc,0.6991584517083124,0.8067794073117406,1.49999999999997,2.49999999999999,0.730119987800393,0.6991584517083124,2.49999999999999,0.730119987800393,positive,positive,positive,possible_information_shock,True,False
ECB_20020307,2002-03-07,2002Q1,pre_gfc,-0.6352997063342241,0.5192887315459848,0.249999999999995,1.2,0.203278025648324,-0.6352997063342241,1.2,0.203278025648324,negative,positive,positive,mixed_sign_factor_yield_conflict,True,False
ECB_20020404,2002-04-04,2002Q2,pre_gfc,-0.3052268791494066,-0.9362846336878814,-0.749999999999984,-0.6999999999999669,-0.1484616645381459,-0.3052268791494066,-0.6999999999999669,-0.1484616645381459,negative,negative,negative,possible_information_shock,True,False
ECB_20020502,2002-05-02,2002Q2,pre_gfc,0.5947928918697734,2.177452475041129,1.49999999999997,4.25,-0.253706095368855,0.5947928918697734,4.25,-0.253706095368855,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20020606,2002-06-06,2002Q2,pre_gfc,-1.959037298016685,1.000284180218159,-1.2,1.00000000000002,-0.2822306836282709,-1.959037298016685,1.00000000000002,-0.2822306836282709,negative,positive,negative,mixed_sign_factor_yield_conflict,True,False
ECB_20020704,2002-07-04,2002Q3,pre_gfc,-0.5191853999094379,-0.0406441128600204,0.0,-0.4500000000000168,-0.23717285198952,-0.5191853999094379,-0.4500000000000168,-0.23717285198952,negative,negative,negative,possible_information_shock,True,False
ECB_20020801,2002-08-01,2002Q3,pre_gfc,0.803864732420765,,1.25000000000002,-0.3000000000000109,-0.526377316919646,0.803864732420765,-0.3000000000000109,-0.526377316919646,positive,negative,negative,mixed_sign_factor_yield_conflict,True,False
ECB_20020912,2002-09-12,2002Q3,pre_gfc,-0.7787499348467716,-2.13584370027192,-0.7500000000000279,-2.25,-0.8809930088933268,-0.7787499348467716,-2.25,-0.8809930088933268,negative,negative,negative,possible_information_shock,True,False
ECB_20021010,2002-10-10,2002Q4,pre_gfc,2.7133185008849847,1.0274860909647283,2.74999999999999,2.49999999999999,-0.184623307066101,2.7133185008849847,2.49999999999999,-0.184623307066101,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20021107,2002-11-07,2002Q4,pre_gfc,8.087307338197048,-2.1168145124255657,6.9,0.499999999999989,-1.6045496113783,8.087307338197048,0.499999999999989,-1.6045496113783,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20021205,2002-12-05,2002Q4,pre_gfc,-5.418413772037328,-0.6486196736914874,-5.39999999999998,-2.85000000000002,-0.891277315403283,-5.418413772037328,-2.85000000000002,-0.891277315403283,negative,negative,negative,possible_information_shock,True,False
ECB_20030109,2003-01-09,2003Q1,pre_gfc,0.1041920204868622,1.741935398727004,1.50000000000001,2.0,1.23744907061862,0.1041920204868622,2.0,1.23744907061862,positive,positive,positive,possible_information_shock,True,False
ECB_20030206,2003-02-06,2003Q1,pre_gfc,1.9877341306588776,0.8245594126737406,2.30000000000001,1.39999999999998,-1.40471361424188,1.9877341306588776,1.39999999999998,-1.40471361424188,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20030306,2003-03-06,2003Q1,pre_gfc,8.102896939467037,0.7054779238174429,8.5,1.50000000000001,-1.38558258236667,8.102896939467037,1.50000000000001,-1.38558258236667,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20030403,2003-04-03,2003Q2,pre_gfc,2.3811998543232624,1.0965061897535608,2.99999999999998,1.30000000000003,-0.236794942893681,2.3811998543232624,1.30000000000003,-0.236794942893681,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20030508,2003-05-08,2003Q2,pre_gfc,0.4973218427161748,2.0309080994704543,0.950000000000006,4.0,-1.12156216574055,0.4973218427161748,4.0,-1.12156216574055,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20030605,2003-06-05,2003Q2,pre_gfc,-5.526040547613002,2.245383555669993,-2.49999999999999,-4.50000000000004,-0.937799933318395,-5.526040547613002,-4.50000000000004,-0.937799933318395,negative,negative,negative,possible_information_shock,True,False
ECB_20030710,2003-07-10,2003Q3,pre_gfc,-0.1260494276836514,1.089729912258814,0.5000000000000339,0.999999999999979,0.2565399626734959,-0.1260494276836514,0.999999999999979,0.2565399626734959,negative,positive,positive,mixed_sign_factor_yield_conflict,True,False
ECB_20030731,2003-07-31,2003Q3,pre_gfc,-0.2199768794335837,,0.0,0.249999999999995,-0.0839478119953441,-0.2199768794335837,0.249999999999995,-0.0839478119953441,negative,positive,negative,mixed_sign_factor_yield_conflict,True,False
ECB_20030904,2003-09-04,2003Q3,pre_gfc,0.023555870075862,1.190716717913575,0.249999999999995,-0.499999999999989,-0.151109047456011,0.023555870075862,-0.499999999999989,-0.151109047456011,positive,negative,negative,mixed_sign_factor_yield_conflict,True,False
ECB_20031002,2003-10-02,2003Q4,pre_gfc,0.2639256977496369,0.1507829779237285,0.550000000000006,1.24999999999997,-0.77918704616744,0.2639256977496369,1.24999999999997,-0.77918704616744,positive,positive,negative,possible_pure_monetary_shock,False,False
ECB_20031106,2003-11-06,2003Q4,pre_gfc,-0.48174485456499,0.4878454505589425,0.0500000000000167,0.5000000000000339,0.101156847360606,-0.48174485456499,0.5000000000000339,0.101156847360606,negative,positive,positive,mixed_sign_factor_yield_conflict,True,False
ECB_20031204,2003-12-04,2003Q4,pre_gfc,-0.4113889932478777,0.5734067528556273,0.2000000000000219,-1.00000000000002,-0.46528059302382,-0.4113889932478777,-1.00000000000002,-0.46528059302382,negative,negative,negative,possible_information_shock,True,False
ECB_20040108,2004-01-08,2004Q1,pre_gfc,0.3052337933757583,-0.0887660343827003,0.499999999999989,-0.5499999999999619,0.3220191627052669,0.3052337933757583,-0.5499999999999619,0.3220191627052669,positive,negative,positive,mixed_sign_factor_yield_conflict,True,False
ECB_20040205,2004-02-05,2004Q1,pre_gfc,-0.2179234856693351,-0.5079226164734298,-0.100000000000033,-0.4,-0.0822140681755456,-0.2179234856693351,-0.4,-0.0822140681755456,negative,negative,negative,possible_information_shock,True,False
ECB_20040304,2004-03-04,2004Q1,pre_gfc,2.084373875561005,1.3483786259613628,3.0,2.8999999999999706,0.246645374901266,2.084373875561005,2.8999999999999706,0.246645374901266,positive,positive,positive,possible_information_shock,True,False
