response,horizon,regime,nobs,AR_p_value,AR_CI_lower,AR_CI_upper,AR_reject,weak_iv_robust_status
ln_ecb_assets_ea_stock,0,pre_qe,34,0.5775730967386847,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,0,qe,23,0.4004704511147543,0.0,0.0,False,directional_only
ln_ecb_assets_ea_stock,0,covid,8,,,,False,not_feasible
ln_ecb_assets_ea_stock,0,tightening,2,,,,False,not_feasible
ln_ecb_assets_ea_stock,1,pre_qe,34,0.5499806086054194,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,1,qe,23,0.8645475100025529,0.0,0.0,False,directional_only
ln_ecb_assets_ea_stock,1,covid,8,,,,False,not_feasible
ln_ecb_assets_ea_stock,1,tightening,1,,,,False,not_feasible
ln_ecb_assets_ea_stock,2,pre_qe,34,0.4537474043316003,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,2,qe,23,0.9656776317493538,-1.3225723505036328e-06,0.0,False,directional_only
ln_ecb_assets_ea_stock,2,covid,8,,,,False,not_feasible
ln_ecb_assets_ea_stock,2,tightening,0,,,,False,not_feasible
ln_ecb_assets_ea_stock,4,pre_qe,34,0.8422996818378579,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,4,qe,23,0.42091372148159806,0.0,0.0,False,directional_only
ln_ecb_assets_ea_stock,4,covid,6,,,,False,not_feasible
ln_ecb_assets_ea_stock,4,tightening,0,,,,False,not_feasible
ln_ecb_assets_ea_stock,8,pre_qe,34,0.9400243889861074,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,8,qe,23,0.7278234115228933,0.0,0.0,False,directional_only
ln_ecb_assets_ea_stock,8,covid,2,,,,False,not_feasible
ln_ecb_assets_ea_stock,8,tightening,0,,,,False,not_feasible
ln_ecb_assets_ea_stock,12,pre_qe,34,0.3419934530248576,-inf,inf,False,directional_only
ln_ecb_assets_ea_stock,12,qe,21,0.002296524979148715,-1.3622678485502562e-06,-6.811339242751281e-07,True,robust_signal
ln_ecb_assets_ea_stock,12,covid,0,,,,False,not_feasible
ln_ecb_assets_ea_stock,12,tightening,0,,,,False,not_feasible
ln_hh_loans_ea_stock,0,pre_qe,34,0.33171110440086343,-inf,inf,False,directional_only
ln_hh_loans_ea_stock,0,qe,23,0.083493110981884,-6.692462586903549e-08,-3.346231293451817e-08,True,robust_signal
ln_hh_loans_ea_stock,0,covid,8,,,,False,not_feasible
ln_hh_loans_ea_stock,0,tightening,2,,,,False,not_feasible
ln_hh_loans_ea_stock,1,pre_qe,34,0.36215373496417086,-inf,inf,False,directional_only
ln_hh_loans_ea_stock,1,qe,23,0.6235539931430015,-3.391773080904897e-08,3.391773080904982e-08,False,directional_only
ln_hh_loans_ea_stock,1,covid,8,,,,False,not_feasible
ln_hh_loans_ea_stock,1,tightening,1,,,,False,not_feasible
