response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_compensation_ea20_real,covid,0,-4.640177890068584e-09,3.466035515577495e-08,-0.1338756590696809,0.8935008982442063,-6.165138877947114e-08,5.237103299933398e-08,-3.9108441309578796e-08,2.9828085529441634e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_compensation_ea20_real,covid,1,1.205261129043276e-07,1.6941027174538436e-08,7.114451305849545,1.1235892841490342e-12,9.266060291200461e-08,1.4839162289665058e-07,1.0367897488093718e-07,1.37373250927718e-07,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_compensation_ea20_real,covid,2,2.6708308629248166e-08,2.2592318097986495e-08,1.1821854009584125,0.23713214405837962,-1.045274773546629e-08,6.386936499396262e-08,4.241199796723116e-09,4.917541746177321e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_compensation_ea20_real,covid,4,-1.0060390240554125e-09,1.810876345507259e-08,-0.055555368347008964,0.9556960204569127,-3.0792304272737826e-08,2.8780226224627e-08,-1.901444159713304e-08,1.7002363549022215e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_compensation_ea20_real,covid,8,-3.0723256559756825e-08,9.333335318607248e-09,-3.291776788358382,0.000995565948807735,-4.6075227010122226e-08,-1.5371286109391424e-08,-4.000486544398582e-08,-2.144164767552783e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_compensation_ea20_real,covid,12,-9.504588510049168e-15,5.637122873818159e-14,-0.16860708419526577,0.8661057079642336,-1.0222700855575818e-13,8.321783153565985e-14,-6.556340131495404e-14,4.6554224294855706e-14,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_compensation_ea20_real,pre_qe,0,-1.026165439625274e-07,6.858233369363339e-08,-1.4962533124190476,0.13458765649549717,-2.154244442832964e-07,1.0191356358241583e-08,-1.7081878635308302e-07,-3.441430157197181e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_compensation_ea20_real,pre_qe,1,-3.3821824872635736e-08,4.1575293088759104e-08,-0.8135077917654004,0.41592698078492146,-1.0220709650125159e-07,3.456344675598012e-08,-7.51667028315082e-08,7.52305308623673e-09,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_compensation_ea20_real,pre_qe,2,-1.2006608041805235e-07,6.45207225550721e-08,-1.8608917517247137,0.06275946481755235,-2.261932249262923e-07,-1.3938935909812401e-08,-1.8422922159333312e-07,-5.590293924277158e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_compensation_ea20_real,pre_qe,4,-8.995923462333875e-08,4.884596448232719e-08,-1.8416922580346762,0.06552017729949047,-1.703036964640374e-07,-9.614772782640117e-09,-1.3853448906577263e-07,-4.1383980180904865e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_compensation_ea20_real,pre_qe,8,-1.0038006190728311e-07,4.9926865537641287e-08,-2.0105420363632427,0.044373851810025094,-1.8250244776919081e-07,-1.8257676045375416e-08,-1.5003022692514384e-07,-5.072989688942238e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_compensation_ea20_real,pre_qe,12,-1.2444163152773962e-07,3.8499577355043986e-08,-3.2322856529082395,0.0012280422838067343,-1.8776780097628245e-07,-6.111546207919678e-08,-1.627278397287068e-07,-8.615542332677244e-08,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_compensation_ea20_real,qe,0,-1.455064894790355e-07,9.626152878160172e-08,-1.5115746791136135,0.1306420972484891,-3.0384261423134657e-07,1.2829635273275556e-08,-2.4123452562572187e-07,-4.977845333234911e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
