response,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end,hac_bandwidth
ln_compensation_ea20_real,0,-4.875537545471965e-08,2.582058088464202e-08,-1.8882369716058232,0.05899414450097738,-9.12264515728169e-08,-6.284299336622392e-09,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1
ln_compensation_ea20_real,1,5.325260881790391e-08,1.645845864821754e-08,3.2355769125240164,0.0012139717504453102,2.6180853416352475e-08,8.032436421945534e-08,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2
ln_compensation_ea20_real,2,1.0817762006350878e-09,9.134013080650573e-09,0.11843383527955686,0.9057239177513087,-1.3942338343695191e-08,1.6105890744965365e-08,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3
ln_compensation_ea20_real,4,-1.849960496190279e-08,1.6916542742277254e-08,-1.0935807182202306,0.27413890966813553,-4.632484164701712e-08,9.325631723211542e-09,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5
ln_compensation_ea20_real,8,-7.261267271452001e-08,1.83363467048363e-08,-3.960040344097991,7.493710234724132e-05,-1.0277327909700966e-07,-4.2452066332030354e-08,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9
ln_compensation_ea20_real,12,-8.914587455662107e-08,2.8403979827851248e-08,-3.138499432013043,0.0016981526419803713,-1.3586626379631863e-07,-4.2425485316923515e-08,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13
ln_ecb_assets_ea_stock,0,3.707807936158248e-07,9.98184438279999e-08,3.7145519344574045,0.0002035640615740644,2.0659406424868741e-07,5.349675229829621e-07,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1
ln_ecb_assets_ea_stock,1,2.93752913537525e-07,1.7410652129967467e-07,1.6872022446069854,0.09156446995679678,7.373170501851514e-09,5.801326565731985e-07,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2
ln_ecb_assets_ea_stock,2,5.161067643208291e-07,2.4603537936030253e-07,2.0976932897322254,0.0359322480334842,1.1141457822165423e-07,9.20798950420004e-07,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3
ln_ecb_assets_ea_stock,4,5.309712497078276e-07,2.822632296592882e-07,1.8811208613631598,0.0599554798089033,6.668955264771126e-08,9.95252946767944e-07,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5
ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,3.215454126094044e-07,1.1606406485576108,0.24578806758418562,-1.5569646192848255e-07,9.0209381439189e-07,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9
ln_ecb_assets_ea_stock,12,-1.9770654831203504e-07,2.993746928303823e-07,-0.6603983337497745,0.5089982411837564,-6.90134097631572e-07,2.947210010075019e-07,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13
ln_hh_loans_ea_stock,0,1.0575135283962145e-08,5.565498783826677e-09,1.9001235459243038,0.05741690840183856,1.420704423590832e-09,1.9729566144333457e-08,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1
ln_hh_loans_ea_stock,1,-6.7388204991927865e-09,7.273744905011565e-09,-0.9264581844972019,0.3542079184231519,-1.8703066187720845e-08,5.225425189335273e-09,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2
ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,7.754321839224727e-09,-0.45249399114435196,0.6509131490713882,-1.6263508439446405e-08,9.24594036414919e-09,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3
ln_hh_loans_ea_stock,4,-8.39466766371723e-09,9.713157063495141e-09,-0.8642573788152591,0.387446518026455,-2.4371389288756518e-08,7.582053961322059e-09,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5
ln_hh_loans_ea_stock,8,-5.301533986156462e-08,3.6638649168251076e-08,-1.4469785613030905,0.14790292811732525,-1.1328055483256491e-07,7.249875109435676e-09,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9
ln_hh_loans_ea_stock,12,-1.137229114358912e-07,5.7897904552805104e-08,-1.9641973628280718,0.049507208534705714,-2.089564897324628e-07,-1.8489333139319613e-08,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13
ln_house_price_de_real,0,1.3833020128862633e-08,1.8511205415801355e-08,0.7472781927564061,0.454895653126595,-1.6615203238561948e-08,4.428124349628721e-08,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1
ln_house_price_de_real,1,4.672075330650515e-08,1.870238006887764e-08,2.498118054196347,0.012485460680106357,1.5958075617586853e-08,7.748343099542344e-08,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2
ln_house_price_de_real,2,6.075297384166653e-08,2.251697274838535e-08,2.6980968765449616,0.006973714314837179,2.371584954851744e-08,9.77900981348156e-08,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3
ln_house_price_de_real,4,5.690934957571591e-08,2.282172657002474e-08,2.4936478579348003,0.012643791197332431,1.9370949853715953e-08,9.444774929771587e-08,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5
ln_house_price_de_real,8,1.3246480827893509e-08,5.004564579261094e-08,0.2646879787062175,0.7912498389073919,-6.907128116721125e-08,9.556424282299825e-08,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9
ln_house_price_de_real,12,6.871923788783967e-08,2.8103530917915196e-08,2.445217225143518,0.014476492052110764,2.2493043127364042e-08,1.1494543264831529e-07,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13
ln_nfc_loans_ea_stock,0,7.129894912061861e-09,1.8936394400489597e-08,0.3765180826545057,0.7065317748540316,-2.4017702098966987e-08,3.827749192309071e-08,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2,1
ln_nfc_loans_ea_stock,1,-1.582234667563684e-08,2.1753617465566492e-08,-0.727343243057474,0.4670157139700855,-5.160386326318876e-08,1.995916991191508e-08,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1,2
ln_nfc_loans_ea_stock,2,-1.1292064845916677e-08,2.1106189795409166e-08,-0.5350120014732753,0.5926415583898654,-4.600865768202158e-08,2.3424527990188223e-08,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4,3
ln_nfc_loans_ea_stock,4,-4.6838280137808894e-08,2.5943360544822694e-08,-1.8054052811271604,0.07101128536263548,-8.951131082527021e-08,-4.16524945034758e-09,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2,5
ln_nfc_loans_ea_stock,8,-1.335722844986595e-07,6.799587183339911e-08,-1.9644175579648895,0.04948168831947126,-2.4541554090155344e-07,-2.1729028095765563e-08,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2,9
ln_nfc_loans_ea_stock,12,-2.410189646797626e-07,7.674942305921141e-08,-3.1403358497407714,0.0016875424993484003,-3.6726053156513936e-07,-1.147773977943858e-07,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2,13
