response,horizon,ols_beta,ols_HAC_se,ols_p_value,lpiv_beta,lpiv_HAC_se,lpiv_p_value,F_stat,weak_iv_flag,sign_agreement,persistence_agreement,turning_point_difference,cumulative_direction_match,IV_vs_OLS_ratio,iv_cumulative,ols_cumulative,iv_cumulative_sign,ols_cumulative_sign,nobs
ln_compensation_ea20_real,0,-1.3797917569826745e-08,1.5518704440336113e-08,0.3739411164516787,-4.875537545471965e-08,2.582058088464202e-08,0.05899414450097738,0.20642234843224008,weak_iv_risk,True,True,0.0,True,3.533531433854758,-4.875537545471965e-08,-1.3797917569826745e-08,negative,negative,67
ln_compensation_ea20_real,1,2.236431642381808e-08,1.4067727563607901e-08,0.11188881957317792,5.325260881790391e-08,1.645845864821754e-08,0.0012139717504453102,0.2198270046179789,weak_iv_risk,True,True,0.0,True,2.381141806828922,4.497233363184258e-09,8.566398853991334e-09,positive,positive,66
ln_compensation_ea20_real,2,2.303657323184892e-09,1.2692143452407313e-08,0.8559730747940472,1.0817762006350878e-09,9.134013080650573e-09,0.9057239177513087,0.24337593841762192,weak_iv_risk,True,True,0.0,True,0.4695907632388189,5.5790095638193454e-09,1.0870056177176226e-08,positive,positive,65
ln_compensation_ea20_real,4,-9.952123255900239e-09,9.77215698238415e-09,0.3084801932315397,-1.849960496190279e-08,1.6916542742277254e-08,0.27413890966813553,0.16606018788504126,weak_iv_risk,True,False,0.0,False,1.8588601131859046,-1.2920595398083446e-08,9.179329212759874e-10,negative,positive,63
ln_compensation_ea20_real,8,-2.9133957487006018e-08,1.3196656668063672e-08,0.027266786241871576,-7.261267271452001e-08,1.83363467048363e-08,7.493710234724132e-05,0.04747973873658527,weak_iv_risk,True,True,0.0,True,2.492372440198207,-8.553326811260346e-08,-2.821602456573003e-08,negative,negative,59
ln_compensation_ea20_real,12,-2.0093089508812994e-08,8.194431147606956e-09,0.014204807277563876,-8.914587455662107e-08,2.8403979827851248e-08,0.0016981526419803713,0.015702461598562825,weak_iv_risk,True,True,0.0,True,4.436643479715798,-1.7467914266922452e-07,-4.8309114074543025e-08,negative,negative,55
ln_ecb_assets_ea_stock,0,3.6933349576286885e-07,5.655622023245431e-08,6.560391222022002e-11,3.707807936158248e-07,9.98184438279999e-08,0.0002035640615740644,0.20642234843224008,weak_iv_risk,True,True,0.0,True,1.0039186747737745,3.707807936158248e-07,3.6933349576286885e-07,positive,positive,67
ln_ecb_assets_ea_stock,1,3.095861303666132e-07,1.0073888611415406e-07,0.0021180901347978656,2.93752913537525e-07,1.7410652129967467e-07,0.09156446995679678,0.2198270046179789,weak_iv_risk,True,True,0.0,True,0.9488568276287492,6.645337071533497e-07,6.789196261294821e-07,positive,positive,66
ln_ecb_assets_ea_stock,2,4.77095278493084e-07,1.455140834311808e-07,0.0010429087259113893,5.161067643208291e-07,2.4603537936030253e-07,0.0359322480334842,0.24337593841762192,weak_iv_risk,True,True,0.0,True,1.081768752671298,1.180640471474179e-06,1.1560149046225661e-06,positive,positive,65
ln_ecb_assets_ea_stock,4,3.149019249323663e-07,1.4598311078279574e-07,0.03099693623899112,5.309712497078276e-07,2.822632296592882e-07,0.0599554798089033,0.16606018788504126,weak_iv_risk,True,True,0.0,True,1.6861479961479056,1.7116117211820065e-06,1.4709168295549325e-06,positive,positive,63
ln_ecb_assets_ea_stock,8,4.191491386261396e-09,1.1762082389085495e-07,0.9715729029716634,3.7319867623170374e-07,3.215454126094044e-07,0.24578806758418562,0.04747973873658527,weak_iv_risk,True,True,0.0,True,89.03720462242883,2.0848103974137102e-06,1.475108320941194e-06,positive,positive,59
ln_ecb_assets_ea_stock,12,-1.720378997404922e-07,1.4062641772460472e-07,0.22119062578143456,-1.9770654831203504e-07,2.993746928303823e-07,0.5089982411837564,0.015702461598562825,weak_iv_risk,True,True,0.0,True,1.1492034523222052,1.8871038491016753e-06,1.3030704212007017e-06,positive,positive,55
ln_hh_loans_ea_stock,0,5.195864123727144e-09,2.256307493206772e-09,0.021289119890091777,1.0575135283962145e-08,5.565498783826677e-09,0.05741690840183856,0.20642234843224008,weak_iv_risk,True,True,7.0,True,2.0352986591143365,1.0575135283962145e-08,5.195864123727144e-09,positive,positive,67
ln_hh_loans_ea_stock,1,1.2250818397279552e-09,3.818661912183996e-09,0.7483510243935665,-6.7388204991927865e-09,7.273744905011565e-09,0.3542079184231519,0.2198270046179789,weak_iv_risk,False,True,7.0,True,-5.500710467383327,3.836314784769358e-09,6.4209459634550995e-09,positive,positive,66
ln_hh_loans_ea_stock,2,2.9023743415189415e-09,5.684592016475941e-09,0.6096531486591905,-3.5087840376486086e-09,7.754321839224727e-09,0.6509131490713882,0.24337593841762192,weak_iv_risk,False,True,7.0,True,-1.2089357280537099,3.2753074712074955e-10,9.32332030497404e-09,positive,positive,65
ln_hh_loans_ea_stock,4,2.0014469275175505e-09,7.605014195198495e-09,0.792415970835926,-8.39466766371723e-09,9.713157063495141e-09,0.387446518026455,0.16606018788504126,weak_iv_risk,False,False,7.0,False,-4.194299408243299,-8.06713691659648e-09,1.132476723249159e-08,negative,positive,63
ln_hh_loans_ea_stock,8,-1.9290264451277202e-08,1.2009426901029558e-08,0.10821675130352931,-5.301533986156462e-08,3.6638649168251076e-08,0.14790292811732525,0.04747973873658527,weak_iv_risk,True,True,7.0,True,2.7482951307105843,-6.108247677816109e-08,-7.965497218785611e-09,negative,negative,59
ln_hh_loans_ea_stock,12,-3.3247960432762885e-08,1.6925209833411646e-08,0.04948318721641942,-1.137229114358912e-07,5.7897904552805104e-08,0.049507208534705714,0.015702461598562825,weak_iv_risk,True,True,7.0,True,3.4204477494453305,-1.7480538821405228e-07,-4.121345765154849e-08,negative,negative,55
ln_house_price_de_real,0,1.6259059055004436e-08,9.118898870263543e-09,0.07458518996521092,1.3833020128862633e-08,1.8511205415801355e-08,0.454895653126595,0.20642234843224008,weak_iv_risk,True,True,,True,0.8507884793373032,1.3833020128862633e-08,1.6259059055004436e-08,positive,positive,67
ln_house_price_de_real,1,3.0568617542399964e-08,1.1596013948250328e-08,0.008385722915906302,4.672075330650515e-08,1.870238006887764e-08,0.012485460680106357,0.2198270046179789,weak_iv_risk,True,True,,True,1.5283894746532614,6.055377343536779e-08,4.68276765974044e-08,positive,positive,66
ln_house_price_de_real,2,2.7710840631226695e-08,6.8362316560793045e-09,5.0451456965712444e-05,6.075297384166653e-08,2.251697274838535e-08,0.006973714314837179,0.24337593841762192,weak_iv_risk,True,True,,True,2.192390142549679,1.2130674727703433e-07,7.453851722863109e-08,positive,positive,65
ln_house_price_de_real,4,1.6168527065394572e-08,1.147329651663717e-08,0.15876682401947262,5.690934957571591e-08,2.282172657002474e-08,0.012643791197332431,0.16606018788504126,weak_iv_risk,True,True,,True,3.5197609123912557,1.7821609685275025e-07,9.070704429402567e-08,positive,positive,63
ln_house_price_de_real,8,-2.366166339934328e-08,2.6594020694147808e-08,0.37360754160056725,1.3246480827893509e-08,5.004564579261094e-08,0.7912498389073919,0.04747973873658527,weak_iv_risk,False,True,,True,-0.559828808496243,1.9146257768064375e-07,6.704538089468239e-08,positive,positive,59
ln_house_price_de_real,12,-8.993862317200604e-09,1.1651990838922796e-08,0.44018938621923615,6.871923788783967e-08,2.8103530917915196e-08,0.014476492052110764,0.015702461598562825,weak_iv_risk,False,True,,True,-7.640681551952972,2.601818155684834e-07,5.805151857748179e-08,positive,positive,55
ln_nfc_loans_ea_stock,0,3.5217945325651055e-09,8.516536220337649e-09,0.6792225351844927,7.129894912061861e-09,1.8936394400489597e-08,0.7065317748540316,0.20642234843224008,weak_iv_risk,True,True,0.0,True,2.0245062129927236,7.129894912061861e-09,3.5217945325651055e-09,positive,positive,67
ln_nfc_loans_ea_stock,1,-3.369589276110514e-09,1.3948530316777263e-08,0.8091109919487322,-1.582234667563684e-08,2.1753617465566492e-08,0.4670157139700855,0.2198270046179789,weak_iv_risk,True,False,0.0,False,4.695630647869473,-8.69245176357498e-09,1.5220525645459162e-10,negative,positive,66
ln_nfc_loans_ea_stock,2,-1.4016911244892801e-08,1.677529156012133e-08,0.4033974932864082,-1.1292064845916677e-08,2.1106189795409166e-08,0.5926415583898654,0.24337593841762192,weak_iv_risk,True,True,0.0,True,0.8056029355276864,-1.9984516609491657e-08,-1.386470598843821e-08,negative,negative,65
ln_nfc_loans_ea_stock,4,-3.2626635617667984e-08,1.82362280592282e-08,0.07359694629640492,-4.6838280137808894e-08,2.5943360544822694e-08,0.07101128536263548,0.16606018788504126,weak_iv_risk,True,True,0.0,True,1.4355841247831578,-6.682279674730055e-08,-4.649134160610619e-08,negative,negative,63
ln_nfc_loans_ea_stock,8,-5.250166780222177e-08,1.56484412334136e-08,0.0007934394964139664,-1.335722844986595e-07,6.799587183339911e-08,0.04948168831947126,0.04747973873658527,weak_iv_risk,True,True,0.0,True,2.5441531686543293,-2.0039508124596004e-07,-9.899300940832797e-08,negative,negative,59
