regime,information_effect_screen,event_count,share_within_regime
covid,mixed_sign_factor_yield_conflict,6,0.3
covid,possible_information_shock,6,0.3
covid,possible_pure_monetary_shock,8,0.4
euro_crisis,ambiguous_zero_response,1,0.016666666666666666
euro_crisis,mixed_sign_factor_yield_conflict,20,0.3333333333333333
euro_crisis,possible_information_shock,17,0.2833333333333333
euro_crisis,possible_pure_monetary_shock,22,0.36666666666666664
gfc,mixed_sign_factor_yield_conflict,2,0.10526315789473684
gfc,possible_information_shock,9,0.47368421052631576
gfc,possible_pure_monetary_shock,8,0.42105263157894735
pre_gfc,mixed_sign_factor_yield_conflict,29,0.3717948717948718
pre_gfc,possible_information_shock,24,0.3076923076923077
pre_gfc,possible_pure_monetary_shock,25,0.32051282051282054
qe_era,ambiguous_zero_response,7,0.175
qe_era,mixed_sign_factor_yield_conflict,13,0.325
qe_era,possible_information_shock,8,0.2
qe_era,possible_pure_monetary_shock,12,0.3
tightening_regime,ambiguous_zero_response,1,0.037037037037037035
tightening_regime,mixed_sign_factor_yield_conflict,11,0.4074074074074074
tightening_regime,possible_information_shock,4,0.14814814814814814
tightening_regime,possible_pure_monetary_shock,11,0.4074074074074074
