response,response_label,channel,horizon_months,cumulative_response,ci_90_low,ci_90_high,ci_95_low,ci_95_high,cumulative_direction,ci_90_excludes_zero
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,0.38452611341780896,0.27659893404111,0.4924532927945079,0.2559229471145712,0.5131292797210467,positive,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,0.4831688822626374,0.3266000820584771,0.6397376824667976,0.2966056498420452,0.6697321146832296,positive,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,0.3569638354441788,0.13062842915917094,0.5832992417291867,0.0872685644023235,0.6266591064860341,positive,True
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,6,-0.0005323435699128676,-0.03454769774014039,0.03348301060031466,-0.04106413801206185,0.03999945087223612,negative,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,12,0.02624108925795008,-0.02846636183619429,0.08094854035209445,-0.03894685942854587,0.09142903794444604,positive,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,24,0.05999755922699097,-0.03088778111903697,0.1508828995730189,-0.04829900338631884,0.16829412184030076,positive,False
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,6,0.06814438185824158,0.022342422635435802,0.11394634108104736,0.013567981242918033,0.12272078247356513,positive,True
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,12,0.11814831507045881,0.055499420416549636,0.18079720972436797,0.04349755272847411,0.1927990774124435,positive,True
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,24,0.14007707210426268,0.06661410255906898,0.2135400416494564,0.05254054475209942,0.22761359945642595,positive,True
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,6,-0.033974898314077684,-0.09521427321443705,0.027264476586281686,-0.10694611427747334,0.03899631764931798,negative,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,12,-0.024633454818241515,-0.12361279495687427,0.07434588532039124,-0.14257461305054386,0.09330770341406082,negative,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,24,0.012818260217914816,-0.1304668196535426,0.15610334008937224,-0.15791644314319278,0.18355296357902243,positive,False
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,6,0.035115978873093756,0.005820091481056219,0.06441186626513129,0.00020777595296325724,0.07002418179322425,positive,True
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,12,0.060299407138175644,0.02507576008713002,0.09552305418922127,0.018327842925406526,0.10227097135094476,positive,True
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,24,0.07072030870698401,0.031477681557299124,0.10996293585666889,0.02395983433294096,0.11748078308102705,positive,True
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,-0.26007056217696706,-0.4122654837608345,-0.10787564059309959,-0.441421996764574,-0.07871912758936012,negative,True
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,-0.30187110035998205,-0.4839280013620015,-0.11981419935796261,-0.5188052781215997,-0.08493692259836441,negative,True
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,-0.04142012307708076,-0.4440435109281131,0.3612032647739516,-0.5211754803875501,0.43833523423338855,negative,False
ecb_wage_tracker_ex_oneoffs_real_yoy_ma3,"real wage tracker excl. one-offs, 3m avg",compensation_proxy,6,-0.0349530150690848,-0.18746272706812242,0.11755669692995283,-0.2166795455717948,0.1467735154336252,negative,False
