instrument,period,aggregation,factor,n_quarters,mean,variance,std_dev
timing_factor_quarterly_sum,all_periods,quarterly_sum,timing,96,7.401486830834377e-17,9.671760819824902,3.109945468947149
timing_factor_quarterly_sum,covid,quarterly_sum,timing,10,-0.2945059438730422,2.288463547775177,1.5127668517571295
timing_factor_quarterly_sum,euro_crisis,quarterly_sum,timing,20,0.16897348810296992,13.97719899942731,3.7386092333148846
timing_factor_quarterly_sum,gfc,quarterly_sum,timing,6,-2.7860452559123217,40.3046341999033,6.348593088228548
timing_factor_quarterly_sum,pre_gfc,quarterly_sum,timing,26,0.35112532077678593,13.024578839362588,3.608958137657264
timing_factor_quarterly_sum,qe_era,quarterly_sum,timing,20,0.17214678237429076,1.6955425081076383,1.3021299889441293
timing_factor_quarterly_sum,tightening_regime,quarterly_sum,timing,14,0.2649762303187654,1.5776561785867784,1.2560478408829732
timing_factor_quarterly_mean,all_periods,quarterly_mean,timing,96,-0.003997330600134685,1.2676200017062587,1.1258863182871788
timing_factor_quarterly_mean,covid,quarterly_mean,timing,10,-0.1472529719365211,0.5721158869437942,0.7563834258785648
timing_factor_quarterly_mean,euro_crisis,quarterly_mean,timing,20,0.0563244960343233,1.553022111047479,1.2462030777716282
timing_factor_quarterly_mean,gfc,quarterly_mean,timing,6,-1.075634161652488,4.9022662105591746,2.214106187733365
timing_factor_quarterly_mean,pre_gfc,quarterly_mean,timing,26,0.09687981923613227,1.5962917058113084,1.2634443817641157
timing_factor_quarterly_mean,qe_era,quarterly_mean,timing,20,0.08607339118714538,0.4238856270269096,0.6510649944720647
timing_factor_quarterly_mean,tightening_regime,quarterly_mean,timing,14,0.15541127907845695,0.41107429841740944,0.6411507610674805
timing_factor_quarterly_abs_sum,all_periods,quarterly_abs_sum,timing,96,2.926779714952804,9.360090510728066,3.059426500298392
timing_factor_quarterly_abs_sum,covid,quarterly_abs_sum,timing,10,1.41716711589993,1.0111003650183823,1.0055348651431149
timing_factor_quarterly_abs_sum,euro_crisis,quarterly_abs_sum,timing,20,4.031040209335971,14.961108277135276,3.8679591876253396
timing_factor_quarterly_abs_sum,gfc,quarterly_abs_sum,timing,6,8.196579310081423,12.180362343809993,3.4900375848706835
timing_factor_quarterly_abs_sum,pre_gfc,quarterly_abs_sum,timing,26,3.474161984694074,7.968460001656089,2.8228460818216936
timing_factor_quarterly_abs_sum,qe_era,quarterly_abs_sum,timing,20,1.1698170205619078,0.8904276498101071,0.9436247399311376
timing_factor_quarterly_abs_sum,tightening_regime,quarterly_abs_sum,timing,14,1.662453529712705,1.0081837181751607,1.0040835215136044
timing_factor_quarterly_signed_cumulative,all_periods,quarterly_signed_cumulative,timing,96,7.401486830834377e-17,9.671760819824902,3.109945468947149
