response,response_label,channel,response_role,shock,horizon_months,sample_name,controls,nobs,sample_start,sample_end,raw_coefficient_per_unit_shock,raw_std_error_hac,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_ci_68_low,bootstrap_ci_68_high,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_replications,bootstrap_method,ci_method,horizon_consistent_bandwidth,coefficient_10bp_equiv,std_error_10bp_equiv,shock_scale_raw_units,shock_normalization,optional_10bp_scaling_note,r_squared,hac_bandwidth,interpretation_layer,direction_sign
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0014653835154052701,0.0011402444857479695,-0.0035577335256806544,0.0027683442537540224,-1.2851485218488192,0.1987403884930429,-0.008111254612118224,0.0009957875607569159,-0.00898358855984695,0.0018681215084856415,-0.006310735292264762,-0.000804731759096546,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,-0.014653835154052702,0.011402444857479696,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.05766329392843439,1,reduced_form_dynamic_transmission,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0007837645969543173,0.0017771074378069617,-0.0019066879132378168,0.004323223178692589,-0.4410338847726176,0.6591884662682532,-0.009017757238830994,0.00520438141235536,-0.010380049640604062,0.006566673814128427,-0.006205951284163788,0.002392575457688155,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,-0.007837645969543172,0.017771074378069615,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.06560978875686208,2,reduced_form_dynamic_transmission,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.001226280238125704,0.002486420555618871,-0.0029953844082719373,0.006073477442718238,-0.4931909991471585,0.6218776371136471,-0.012985365808134983,0.006994596991591108,-0.014899181456916112,0.008908412640372237,-0.009035201929679701,0.0030444331131358254,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,-0.01226280238125704,0.024864205556188707,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.1489349150552064,4,reduced_form_dynamic_transmission,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0013781437714471172,0.0029289068341203325,-0.0033789382908588246,0.007181105235323442,-0.4705317886497502,0.6379751283131653,-0.015190805282700793,0.008432928700983144,-0.017453645921284802,0.010695769339567151,-0.010520245002285052,0.0037623684205674015,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,-0.013781437714471172,0.029289068341203324,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.19397348731573194,7,reduced_form_dynamic_transmission,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.003959954026003086,0.004767256623174934,-0.009825398595967627,0.011828469781311511,-0.8306567778945799,0.40616754990307724,-0.02928150001704375,0.009630702825108499,-0.03300877335955856,0.013357976167623306,-0.021588313616301202,0.0019375164243659489,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,-0.03959954026003086,0.047672566231749335,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.22786436086080064,13,reduced_form_dynamic_transmission,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.004163270512360316,0.005836514598884363,-0.010601283414378108,0.014862004578186651,-0.713314503343505,0.47565116481312625,-0.0350471055485778,0.013844538719821591,-0.03973027712569334,0.018527710296937127,-0.02538092102745526,0.004178354198699047,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,-0.04163270512360316,0.05836514598884363,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.29900654777317615,25,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,0,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0005714022517862875,0.0019096971194511028,-0.0013872797983995819,0.00463646096352322,-0.2992109303440346,0.7647791099090706,-0.009013579430469668,0.0062390198336705035,-0.01047457630263097,0.007700016705831806,-0.005998044953769535,0.0032234853569703716,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,-0.005714022517862875,0.01909697119451103,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.02179291039121045,1,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,1,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0008438821707608432,0.002268730039417682,-0.0020529377589128014,0.005519208396713767,-0.3719623560754031,0.7099208771037142,-0.011131227708148462,0.0070253521903228585,-0.01287038743964284,0.008764511921817236,-0.00754155805810227,0.0034356825402766665,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,-0.008438821707608433,0.022687300394176817,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.036223846483605326,2,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,3,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.002552073423896853,0.002123222329343396,-0.006233845009514206,0.0051863080418964504,-1.2019812473835836,0.22937079369055183,-0.014764562602715171,0.002296872583686758,-0.016398821984361697,0.0039311319653332856,-0.01139140992653227,-0.0010762800924961433,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,-0.025520734238968532,0.02123222329343396,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.057616121299403855,4,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,6,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0036053834238786416,0.0033076840886747364,-0.00883969318482582,0.008109792790016184,-1.0900023482360983,0.2757121096637929,-0.02217911526930884,0.004499728899657199,-0.02473459497534014,0.0070552086056885,-0.01690454055605503,-0.0007748458135966099,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,-0.036053834238786414,0.033076840886747366,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.062285731695057134,7,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.008488501162816263,0.004070754665964349,-0.021061584770767104,0.010100316043281158,-2.0852401727347436,0.03704750501956307,-0.03767512624791426,-0.00444804329361995,-0.040857840448070275,-0.0012653290934639336,-0.031105923682917994,-0.011017245858616215,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,-0.08488501162816263,0.04070754665964349,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.09069319881667959,13,reduced_form_dynamic_transmission,negative
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.01068328647711164,0.005110546183770613,-0.02720374460525846,0.013013410571225403,-2.0904392784939874,0.036578357625991556,-0.04860890018234719,-0.005798589028169727,-0.05270956064089306,-0.0016979285696238564,-0.0401450333352587,-0.014262455875258222,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,-0.1068328647711164,0.05110546183770613,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.21326088186776504,25,reduced_form_dynamic_transmission,negative
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,0.0024991657602118963,0.0026860228077028214,0.006067603270997644,0.006521264428898899,0.9304335588830194,0.3521466498263598,-0.004658922177186331,0.01679412871918162,-0.006713840143306362,0.01884904668530165,-0.0004175195488162137,0.0125527260908115,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.024991657602118963,0.026860228077028214,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.34292680953187793,1,reduced_form_dynamic_transmission,positive
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,0.008491087357982851,0.0034872664629732836,0.020656525822454284,0.008483578922841172,2.434883438973933,0.014896587479818988,0.006702280261689919,0.03461077138321865,0.004029016673682481,0.037284034971226086,0.012219963884802775,0.029093087760105794,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.08491087357982852,0.03487266462973283,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.42884693516203,2,reduced_form_dynamic_transmission,positive
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,3,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,0.00595916357308733,0.006376305362095593,0.014556204282024891,0.015575139409564578,0.9345793895806822,0.35000510474365676,-0.011062620266072217,0.040175028830122,-0.01597050801491213,0.04508291657896191,-0.0009326158859075031,0.030045024449957283,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,0.0595916357308733,0.06376305362095593,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.4027554157518679,4,reduced_form_dynamic_transmission,positive
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,6,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,0.01095685031968004,0.008341722409774394,0.026864048482764764,0.02045226764149942,1.313499752382239,0.18901460429596104,-0.006776938126737787,0.06050503509226732,-0.013221659496748053,0.06694975646227758,0.006525129697159925,0.0472029672683696,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,0.1095685031968004,0.08341722409774394,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.3535002556285506,7,reduced_form_dynamic_transmission,positive
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,12,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,0.020153205460893393,0.010473447325537906,0.05000393321221723,0.02598661347367896,1.9242189161302097,0.054327149039558036,0.007259757787850402,0.09274810863658406,-0.0009288932763568403,0.1009367597007913,0.024161340585392405,0.07584652583904206,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,0.20153205460893392,0.10473447325537906,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.39751808973843716,13,reduced_form_dynamic_transmission,positive
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,24,full,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,0.008611725954588593,0.00915991842775749,0.021928757033803873,0.02332466531226872,0.9401531271820392,0.3471390208770049,-0.016436903302510523,0.06029441737011827,-0.02378674692969351,0.06764426099730125,-0.0012666402592108293,0.04512415432681857,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,0.08611725954588592,0.09159918427757491,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.535768598557955,25,reduced_form_dynamic_transmission,positive
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,full,"L1_ecb_mir_nfc_lending_spread_dfr,L2_ecb_mir_nfc_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,0.0001592632288637501,0.0027499406573110005,0.0003866674647148667,0.006676447474190317,0.05791515116529238,0.9538162144947865,-0.010595111378358071,0.011368446307787803,-0.012698929129371567,0.013472264058801298,-0.006252778357829538,0.0070261132872592716,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.001592632288637501,0.027499406573110004,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.08273324669176929,1,reduced_form_dynamic_transmission,positive
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,full,"L1_ecb_mir_nfc_lending_spread_dfr,L2_ecb_mir_nfc_lending_spread_dfr,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,0.006810902057458918,0.0037939159040402165,0.016569088067600504,0.00922957432140283,1.7952169288217097,0.07261914429770217,0.001387789269822885,0.03175038686537812,-0.0015205451949847522,0.03465872133018576,0.007390665125011152,0.025747511010189857,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.06810902057458917,0.03793915904040217,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.18217321828781785,2,reduced_form_dynamic_transmission,positive
