response,response_label,channel,response_role,shock,horizon_months,sample_name,controls,nobs,sample_start,sample_end,raw_coefficient_per_unit_shock,raw_std_error_hac,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_ci_68_low,bootstrap_ci_68_high,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_replications,bootstrap_method,ci_method,horizon_consistent_bandwidth,coefficient_10bp_equiv,std_error_10bp_equiv,shock_scale_raw_units,shock_normalization,optional_10bp_scaling_note,r_squared,hac_bandwidth,interpretation_layer,bootstrap_feasible
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0014653835154052701,0.0011402444857479695,-0.0035577335256806544,0.0027683442537540224,-1.2851485218488192,0.1987403884930429,-0.008111254612118224,0.0009957875607569159,-0.00898358855984695,0.0018681215084856415,-0.006310735292264762,-0.000804731759096546,-0.007564601743801033,0.0004235574169358503,-0.005488130458043302,-0.0014956706757498208,-0.008088839851491664,0.001694844592591131,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,1,-0.014653835154052702,0.011402444857479696,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.05766329392843439,1,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0007837645969543173,0.0017771074378069617,-0.0019066879132378168,0.004323223178692589,-0.4410338847726176,0.6591884662682532,-0.009017757238830994,0.00520438141235536,-0.010380049640604062,0.006566673814128427,-0.006205951284163788,0.002392575457688155,-0.006579345906429369,0.0036928019237233664,-0.004554283634668522,0.0014979127166004184,-0.007473163220746506,0.0044809531990053116,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,2,-0.007837645969543172,0.017771074378069615,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.06560978875686208,2,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.001226280238125704,0.002486420555618871,-0.0029953844082719373,0.006073477442718238,-0.4931909991471585,0.6218776371136471,-0.012985365808134983,0.006994596991591108,-0.014899181456916112,0.008908412640372237,-0.009035201929679701,0.0030444331131358254,-0.010485928485941317,0.004634856459705052,-0.006853406345003285,0.001128102296920157,-0.012850698164896588,0.005550485599062599,399,fixed_design_circular_block_residual_percentile_b4,HAC_Newey_West_horizon_bandwidth,4,-0.01226280238125704,0.024864205556188707,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.1489349150552064,4,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0013781437714471172,0.0029289068341203325,-0.0033789382908588246,0.007181105235323442,-0.4705317886497502,0.6379751283131653,-0.015190805282700793,0.008432928700983144,-0.017453645921284802,0.010695769339567151,-0.010520245002285052,0.0037623684205674015,-0.012891729758330405,0.005652136852676161,-0.00884323039959473,0.002331989411378757,-0.016058003910908964,0.00750963415064646,399,fixed_design_circular_block_residual_percentile_b7,HAC_Newey_West_horizon_bandwidth,7,-0.013781437714471172,0.029289068341203324,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.19397348731573194,7,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.003959954026003086,0.004767256623174934,-0.009825398595967627,0.011828469781311511,-0.8306567778945799,0.40616754990307724,-0.02928150001704375,0.009630702825108499,-0.03300877335955856,0.013357976167623306,-0.021588313616301202,0.0019375164243659489,-0.02753150950974965,0.008470856840910061,-0.019755173605673332,0.001002545036329967,-0.032283422131690574,0.012021275636863855,399,fixed_design_circular_block_residual_percentile_b13,HAC_Newey_West_horizon_bandwidth,13,-0.03959954026003086,0.047672566231749335,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.22786436086080064,13,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.004163270512360316,0.005836514598884363,-0.010601283414378108,0.014862004578186651,-0.713314503343505,0.47565116481312625,-0.0350471055485778,0.013844538719821591,-0.03973027712569334,0.018527710296937127,-0.02538092102745526,0.004178354198699047,-0.02593073775889041,0.005911081265774827,-0.02047921610373272,0.0005575351526507853,-0.030336983688914854,0.007573498642092538,399,fixed_design_circular_block_residual_percentile_b25,HAC_Newey_West_horizon_bandwidth,25,-0.04163270512360316,0.05836514598884363,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.29900654777317615,25,reduced_form_dynamic_transmission,True
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,timing_factor_monthly_easing,0,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",244,2005-04,2025-10,0.0029235597265852634,0.0022191528787225165,0.005673925109278894,0.004306841117495812,1.317421505573896,0.18769737622965968,-0.0014101981235378246,0.012758048342095613,-0.0027673283681491365,0.014115178586706925,0.0013909530082532812,0.009956897210304506,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.029235597265852634,0.022191528787225166,1.9407590882044592,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.07609737736700484,1,reduced_form_dynamic_transmission,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,timing_factor_monthly_easing,1,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-09,0.004634241711419241,0.0025565740909266475,0.00901009645648251,0.0049706037345079905,1.8126764750790105,0.06988173492306798,0.00083418087563851,0.01718601203732651,-0.0007321078445734434,0.018752300757538462,0.004067040388389201,0.01395315252457582,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.04634241711419241,0.025565740909266475,1.9442439599731536,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.09489807709644382,2,reduced_form_dynamic_transmission,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,timing_factor_monthly_easing,3,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",241,2005-04,2025-07,0.003755607213916358,0.0037727191037212277,0.007323869314451771,0.007357239482713717,0.9954643085439381,0.31951049488346833,-0.004777712733040459,0.019425451361944002,-0.007096055097303212,0.021743793726206755,7.404512205069942e-06,0.014640334116698472,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,0.03755607213916358,0.037727191037212275,1.9501158926613147,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.15714140404394905,4,reduced_form_dynamic_transmission,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,timing_factor_monthly_easing,6,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",238,2005-04,2025-04,0.000593749763891614,0.005206726190572943,0.0011633194693534115,0.010201411970904828,0.11403514265194697,0.9092099353327617,-0.015616510011015562,0.017943148949722383,-0.01883108058507582,0.02115771952378264,-0.008981555084983238,0.011308194023690061,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,0.00593749763891614,0.052067261905729426,1.9592756748712907,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.1945667583565054,7,reduced_form_dynamic_transmission,False
