factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,0.2777289936609793,0.008102316046443452,0.010699797135750191,positive,positive,stable,0.6016154777962084,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,0.0018095807677831449,8.616308803410217e-05,0.002699866954152124,positive,positive,stable,0.9664707664794692,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,positive,unstable_or_unavailable,,2,0.08996487982009557,4,5.073227544719904,0.03100852934446824
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.027555439426344176,0.0008097977968295897,0.002337584820368591,positive,positive,stable,0.8691414710443629,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.7791423843127367,0.03577470455741838,0.005219599546824728,positive,positive,stable,0.3873964901456254,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.020334125825338764,0.0014503310436720243,0.014690900541779942,positive,positive,stable,0.8886397698977528,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.1312884971067045,0.03220173655742441,-0.0035304538825045766,negative,negative,stable,0.2949967584962552,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.4780581378706017,0.02225797764406265,0.003924150205670234,positive,negative,unstable_or_unavailable,0.4968765242333204,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.8614054763371631,0.05796258487857843,-0.00493975186287909,negative,negative,stable,0.3690715234353884,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.8258766499925843,0.02371445400478555,-5172.978809133173,negative,negative,stable,0.36986466765879644,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
