"variable","role","source","transformation","final_status"
"date","date_index","constructed","quarter-end date","metadata"
"quarter","date_label","constructed","YYYYQ label","metadata"
"baseline_sample","sample_flag","constructed","2005Q1-2022Q2","metadata"
"robustness_sample","sample_flag","constructed","2005Q1-2025Q4","metadata"
"wx_shadow_rate","policy_baseline","Wu-Xia","quarterly average of monthly level","baseline policy/shock variable"
"dfr_eop","policy_robustness","ECB policy-rate mirror","end-of-quarter daily level","robustness policy variable"
"dfr_qavg","policy_robustness","ECB policy-rate mirror","quarterly average daily level","robustness policy variable"
"ecb_assets_ea_stock","liquidity_core","ECB balance-sheet mirror","end-of-quarter weekly stock","core liquidity/QE variable"
"ecb_assets_ea_qavg","liquidity_robustness","ECB balance-sheet mirror","quarterly average weekly stock","robustness liquidity variable"
"ecb_assets_ea_trillions","liquidity_scaled","constructed","stock divided by 1,000,000","scaled descriptive variable"
"ln_ecb_assets_ea_stock","liquidity_core_log","constructed","natural log","core liquidity/QE variable"
"hh_loans_ea_stock","credit_household","ECB Data Portal BSI","end-of-quarter monthly stock","core endogenous candidate"
"ln_hh_loans_ea_stock","credit_household_log","constructed","natural log","core endogenous candidate"
"nfc_loans_ea_stock","credit_productive","ECB Data Portal BSI","end-of-quarter monthly stock","core endogenous candidate"
"ln_nfc_loans_ea_stock","credit_productive_log","constructed","natural log","core endogenous candidate"
"house_price_de","asset_housing_nominal","BIS residential-property-price mirror","quarterly index level","diagnostic nominal variable"
"house_price_de_real","asset_housing_real","constructed","nominal HPI / German HICP * 100","core endogenous candidate"
"ln_house_price_de","asset_housing_nominal_log","constructed","natural log","diagnostic nominal variable"
"ln_house_price_de_real","asset_housing_real_log","constructed","natural log","core endogenous candidate"
"compensation_ea20_nominal","income_nominal","ECB Data Portal MNA","quarterly nominal index","diagnostic nominal variable"
"compensation_ea20_real","income_real","constructed","nominal compensation / EA20 HICP * 100","core endogenous candidate"
"ln_compensation_ea20_nominal","income_nominal_log","constructed","natural log","diagnostic nominal variable"
"ln_compensation_ea20_real","income_real_log","constructed","natural log","core endogenous candidate"
"dax_close","asset_equity_nominal","CSV market data","quarter-end monthly close","expanded endogenous candidate"
"dax_real_de","asset_equity_real","constructed","DAX close / German HICP * 100","expanded endogenous candidate"
"ln_dax_close","asset_equity_nominal_log","constructed","natural log","expanded endogenous candidate"
"ln_dax_real_de","asset_equity_real_log","constructed","natural log","expanded endogenous candidate"
"hicp_de","deflator_germany","Eurostat HICP","quarterly average monthly index","deflator"
"hicp_ea20","deflator_ea20","Eurostat HICP","quarterly average monthly index","deflator"
"hicp_ea","deflator_ea","Eurostat HICP","quarterly average monthly index","deflator"
"ln_hicp_de","deflator_germany_log","constructed","natural log","deflator"
"ln_hicp_ea20","deflator_ea20_log","constructed","natural log","deflator"
"credit_standards_enterprise","auxiliary_credit_supply","ECB Bank Lending Survey","quarterly net-tightening survey balance","exogenous/auxiliary"
"credit_standards_household","auxiliary_credit_supply","ECB Bank Lending Survey","quarterly net-tightening survey balance","exogenous/auxiliary"
"retail_de_mom_pct_qavg","auxiliary_demand_growth","Eurostat STS","quarterly average monthly percent change","stationary robustness variable"
"retail_de_chained_index_qavg","diagnostic_constructed_index","constructed","chain index from monthly percent changes","diagnostic only"
"dummy_gfc_2008q4","break_dummy","constructed","1 in 2008Q4","deterministic control"
"dummy_euro_crisis_2012q3","break_dummy","constructed","1 in 2012Q3","deterministic control"
"dummy_qe_launch_2015q1","break_dummy","constructed","1 in 2015Q1","deterministic control"
"dummy_covid_2020q2","break_dummy","constructed","1 in 2020Q2","deterministic control"
"dummy_2022_tightening_q3","break_dummy","constructed","1 in 2022Q3","deterministic control"
"regime_qe_2015_2022q2","regime_dummy","constructed","1 from 2015Q1 through 2022Q2","deterministic control"
"regime_post_covid","regime_dummy","constructed","1 from 2020Q2 onward","deterministic control"
"regime_post_2022_tightening","regime_dummy","constructed","1 from 2022Q3 onward","deterministic control"
