response,response_label,horizon_months,window_start,window_end,coefficient,direction_sign,nobs
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2012-01,0.1524471400797953,positive,75
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-02,2012-02,0.1586651103148066,positive,76
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-03,2012-03,0.21515944490538108,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-04,2012-04,0.3861801667377662,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-05,2012-05,0.21795426695388753,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-06,2012-06,0.26719205811424174,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-07,2012-07,0.2723721145407666,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-08,2012-08,0.2802977192573985,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-09,2012-09,0.27397905016230445,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-10,2012-10,0.28434523228633424,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-11,2012-11,0.27776521342298705,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-12,2012-12,0.2699063589672575,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-01,2013-01,0.2269651425660466,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-02,2013-02,0.22566899399856685,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-03,2013-03,0.22683833959966995,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-04,2013-04,0.2285733469731309,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-05,2013-05,0.22521315079606666,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-06,2013-06,0.2277817924625271,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-07,2013-07,0.22952432231376946,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-08,2013-08,0.23137002398468678,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-09,2013-09,0.22976436442071385,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-10,2013-10,0.22923394119508167,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-11,2013-11,0.2307116856495997,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2006-12,2013-12,0.23427797965689162,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-01,2014-01,0.24101072580946306,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-02,2014-02,0.24032224856847148,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-03,2014-03,0.23809133545892439,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-04,2014-04,0.24437765610384063,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-05,2014-05,0.24405875474468694,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-06,2014-06,0.24504234848603293,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-07,2014-07,0.24913520128140001,positive,77
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2007-08,2014-08,0.2529114181443853,positive,77
