event_quarter,regime,ambiguous_zero_response,potential_information_shock,potential_pure_monetary_shock,not_classified_missing_market_response,classified_event_count,information_share
2002Q1,pre_gfc,0,3,0,0,3,1.0
2002Q2,pre_gfc,0,1,2,0,3,0.3333333333333333
2002Q3,pre_gfc,0,3,0,0,3,1.0
2002Q4,pre_gfc,0,1,2,0,3,0.3333333333333333
2003Q1,pre_gfc,0,1,2,0,3,0.3333333333333333
2003Q2,pre_gfc,0,1,2,0,3,0.3333333333333333
2003Q3,pre_gfc,0,2,1,0,3,0.6666666666666666
2003Q4,pre_gfc,0,2,1,0,3,0.6666666666666666
2004Q1,pre_gfc,0,2,1,0,3,0.6666666666666666
2004Q2,pre_gfc,0,0,3,0,3,0.0
2004Q3,pre_gfc,0,3,0,0,3,1.0
2004Q4,pre_gfc,0,2,1,0,3,0.6666666666666666
2005Q1,pre_gfc,0,1,2,0,3,0.3333333333333333
2005Q2,pre_gfc,0,2,1,0,3,0.6666666666666666
2005Q3,pre_gfc,0,1,2,0,3,0.3333333333333333
2005Q4,pre_gfc,0,0,3,0,3,0.0
2006Q1,pre_gfc,0,0,3,0,3,0.0
2006Q2,pre_gfc,0,0,3,0,3,0.0
2006Q3,pre_gfc,0,0,3,0,3,0.0
2006Q4,pre_gfc,0,2,1,0,3,0.6666666666666666
2007Q1,pre_gfc,0,1,2,0,3,0.3333333333333333
2007Q2,pre_gfc,0,3,0,0,3,1.0
2007Q3,pre_gfc,0,1,2,0,3,0.3333333333333333
2007Q4,pre_gfc,0,1,2,0,3,0.3333333333333333
2008Q1,pre_gfc,0,2,1,0,3,0.6666666666666666
2008Q2,pre_gfc,0,2,1,0,3,0.6666666666666666
2008Q3,gfc,0,2,1,0,3,0.6666666666666666
2008Q4,gfc,0,1,3,0,4,0.25
2009Q1,gfc,0,3,0,0,3,1.0
2009Q2,gfc,0,2,1,0,3,0.6666666666666666
2009Q3,gfc,0,2,1,0,3,0.6666666666666666
2009Q4,gfc,0,1,2,0,3,0.3333333333333333
2010Q1,euro_crisis,0,2,1,0,3,0.6666666666666666
2010Q2,euro_crisis,0,0,3,0,3,0.0
2010Q3,euro_crisis,0,3,0,0,3,1.0
2010Q4,euro_crisis,0,2,1,0,3,0.6666666666666666
2011Q1,euro_crisis,0,0,3,0,3,0.0
2011Q2,euro_crisis,0,1,2,0,3,0.3333333333333333
2011Q3,euro_crisis,0,3,0,0,3,1.0
2011Q4,euro_crisis,0,1,2,0,3,0.3333333333333333
2012Q1,euro_crisis,0,2,1,0,3,0.6666666666666666
2012Q2,euro_crisis,0,0,3,0,3,0.0
2012Q3,euro_crisis,1,1,1,0,2,0.5
2012Q4,euro_crisis,0,1,2,0,3,0.3333333333333333
2013Q1,euro_crisis,0,2,1,0,3,0.6666666666666666
2013Q2,euro_crisis,0,1,2,0,3,0.3333333333333333
2013Q3,euro_crisis,0,1,2,0,3,0.3333333333333333
2013Q4,euro_crisis,0,0,3,0,3,0.0
2014Q1,euro_crisis,0,2,1,0,3,0.6666666666666666
2014Q2,euro_crisis,0,1,2,0,3,0.3333333333333333
2014Q3,euro_crisis,0,1,2,0,3,0.3333333333333333
2014Q4,euro_crisis,0,1,2,0,3,0.3333333333333333
2015Q1,qe_era,1,0,1,0,1,0.0
2015Q2,qe_era,0,1,1,0,2,0.5
2015Q3,qe_era,0,1,1,0,2,0.5
2015Q4,qe_era,0,0,2,0,2,0.0
2016Q1,qe_era,0,1,1,0,2,0.5
2016Q2,qe_era,1,0,1,0,1,0.0
2016Q3,qe_era,0,1,1,0,2,0.5
2016Q4,qe_era,0,0,2,0,2,0.0
2017Q1,qe_era,1,1,0,0,1,1.0
2017Q2,qe_era,0,1,1,0,2,0.5
2017Q3,qe_era,0,0,2,0,2,0.0
2017Q4,qe_era,1,1,0,0,1,1.0
2018Q1,qe_era,0,1,1,0,2,0.5
2018Q2,qe_era,1,0,1,0,1,0.0
2018Q3,qe_era,1,1,0,0,1,1.0
2018Q4,qe_era,1,1,0,0,1,1.0
2019Q1,qe_era,0,2,0,0,2,1.0
2019Q2,qe_era,0,0,2,0,2,0.0
2019Q3,qe_era,0,1,1,0,2,0.5
2019Q4,qe_era,0,1,1,0,2,0.5
2020Q1,covid,0,0,2,0,2,0.0
2020Q2,covid,0,1,1,0,2,0.5
2020Q3,covid,0,1,1,0,2,0.5
2020Q4,covid,0,0,2,0,2,0.0
2021Q1,covid,0,2,0,0,2,1.0
2021Q2,covid,0,1,1,0,2,0.5
2021Q3,covid,0,1,1,0,2,0.5
2021Q4,covid,0,2,0,0,2,1.0
2022Q1,covid,0,0,2,0,2,0.0
2022Q2,covid,0,1,1,0,2,0.5
2022Q3,tightening_regime,0,1,1,0,2,0.5
2022Q4,tightening_regime,0,0,2,0,2,0.0
2023Q1,tightening_regime,0,1,1,0,2,0.5
2023Q2,tightening_regime,0,1,1,0,2,0.5
2023Q3,tightening_regime,0,1,1,0,2,0.5
2023Q4,tightening_regime,0,0,2,0,2,0.0
2024Q1,tightening_regime,0,0,2,0,2,0.0
2024Q2,tightening_regime,1,0,1,0,1,0.0
2024Q3,tightening_regime,0,0,2,0,2,0.0
2024Q4,tightening_regime,0,1,1,0,2,0.5
2025Q1,tightening_regime,0,1,1,0,2,0.5
2025Q2,tightening_regime,0,0,2,0,2,0.0
2025Q3,tightening_regime,0,0,2,0,2,0.0
2025Q4,tightening_regime,0,0,1,0,1,0.0
