response,response_label,horizon_months,window_start,window_end,coefficient,direction_sign,nobs
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2010-01,0.10340027935482436,positive,51
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2010-07,0.20208204385867606,positive,57
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2011-01,0.1858032544871671,positive,63
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2011-07,0.1646743860603313,positive,69
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2012-01,0.1524471400797953,positive,75
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2012-07,0.2443861567092872,positive,81
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2013-01,0.20532663146873698,positive,87
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2013-07,0.19884249619697464,positive,93
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2014-01,0.19385661219992065,positive,99
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2014-07,0.18466339959425934,positive,105
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2015-01,0.18742382710749195,positive,111
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2015-07,0.1681532628870506,positive,117
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2016-01,0.1554748038639487,positive,123
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2016-07,0.16451615406297176,positive,129
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2017-01,0.16638566930663298,positive,135
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2017-07,0.16280539089607043,positive,141
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2018-01,0.1568707944886565,positive,147
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2018-07,0.15433728090414034,positive,153
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2019-01,0.1484789258438849,positive,159
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2019-07,0.14566878424835653,positive,165
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2020-01,0.14128630064150835,positive,171
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2020-07,0.1393277232109274,positive,177
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2021-01,0.14330711615933595,positive,183
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2021-07,0.13962796028444763,positive,189
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2022-01,0.1349545991323432,positive,195
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2022-07,0.13485809185734587,positive,201
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2023-01,0.14202157069713645,positive,207
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2023-07,0.1583066490300193,positive,213
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2024-01,0.1656742673702226,positive,219
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2024-07,0.1544844881125219,positive,225
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2025-01,0.1577081502856783,positive,231
ecb_house_purchase_growth_yoy,house-purchase lending growth,6,2005-01,2025-07,0.15557841859814076,positive,237
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2010-01,,,45
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2010-07,-0.07028836220691269,negative,51
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2011-01,-0.07326907033915195,negative,57
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2011-07,-0.06592721380284872,negative,63
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2012-01,-0.10189740493438254,negative,69
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2012-07,-0.12486853480583135,negative,75
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2013-01,0.09360397638053047,positive,81
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2013-07,0.03922693607659486,positive,87
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2014-01,0.05059625411034588,positive,93
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2014-07,0.05737360790437648,positive,99
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2015-01,0.051822116722028126,positive,105
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2015-07,0.039575515286519654,positive,111
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2016-01,0.06652025015377935,positive,117
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2016-07,0.05735629687506692,positive,123
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2017-01,0.06648960347032054,positive,129
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2017-07,0.0700560856193656,positive,135
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2018-01,0.06869948790412615,positive,141
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2018-07,0.06622543083401197,positive,147
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2019-01,0.06633517647591704,positive,153
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2019-07,0.06347455298950565,positive,159
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2020-01,0.06261028562612231,positive,165
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2020-07,0.06013110964225124,positive,171
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2021-01,0.0582592582763788,positive,177
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2021-07,0.059544424013403346,positive,183
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2022-01,0.05714047527349899,positive,189
ecb_house_purchase_growth_yoy,house-purchase lending growth,12,2005-01,2022-07,0.0533520269048142,positive,195
