event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20050113,2005-01-13,2005Q1,pre_gfc,-0.4271083817944274,0.1685850825603645,-1.40000000000002,-2.59999999999998,0.0242332812877777,-0.4271083817944274,-2.59999999999998,0.0242332812877777,-2.59999999999998,0.0242332812877777,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20050303,2005-03-03,2005Q1,pre_gfc,-0.3126857730243842,-0.6774697127774012,0.0,-0.649999999999995,0.169307953804854,-0.3126857730243842,-0.649999999999995,0.169307953804854,-0.649999999999995,0.169307953804854,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20050602,2005-06-02,2005Q2,pre_gfc,0.3072475456705274,-0.7892763018394585,0.499999999999989,2.0,-0.143928175912933,0.3072475456705274,2.0,-0.143928175912933,2.0,-0.143928175912933,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20050901,2005-09-01,2005Q3,pre_gfc,-0.6174176468819867,0.7980955895832714,0.0,-0.3000000000000109,0.117994472816285,-0.6174176468819867,-0.3000000000000109,0.117994472816285,-0.3000000000000109,0.117994472816285,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20051006,2005-10-06,2005Q4,pre_gfc,-0.3768852991483269,0.1441304599065473,0.0,-0.099999999999989,0.1968452051327669,-0.3768852991483269,-0.099999999999989,0.1968452051327669,-0.099999999999989,0.1968452051327669,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20051103,2005-11-03,2005Q4,pre_gfc,-1.15955575384659,-0.7934371588672974,-1.50000000000001,-0.649999999999995,0.658218208543993,-1.15955575384659,-0.649999999999995,0.658218208543993,-0.649999999999995,0.658218208543993,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20051201,2005-12-01,2005Q4,pre_gfc,-1.1964370054335298,-0.6277855536831437,-1.29999999999999,-2.4,0.468173717201736,-1.1964370054335298,-2.4,0.468173717201736,-2.4,0.468173717201736,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20060112,2006-01-12,2006Q1,pre_gfc,-0.5439032102488222,-0.7266392847713875,-1.00000000000002,-1.85,0.115551209822584,-0.5439032102488222,-1.85,0.115551209822584,-1.85,0.115551209822584,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20060202,2006-02-02,2006Q1,pre_gfc,-1.4784787738058771,0.2035009666361903,-1.2,-0.550000000000006,0.0344480510655387,-1.4784787738058771,-0.550000000000006,0.0344480510655387,-0.550000000000006,0.0344480510655387,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20060406,2006-04-06,2006Q2,pre_gfc,-0.8917508152683341,-8.056905596549884,-1.29999999999999,-8.9,0.317085567836806,-0.8917508152683341,-8.9,0.317085567836806,-8.9,0.317085567836806,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
