target,target_label,target_family,instrument,controls,observations,sample_start,sample_end,coefficient,std_error_hac,t_stat_hac,p_value_hac,first_stage_f_stat,partial_r_squared,full_r_squared,sign,relevance_class,interpretation,top5_abs_shock_share,jackknife_without_top5_f_stat,jackknife_f_ratio,rolling_windows,rolling_median_f,rolling_min_f,rolling_max_f,rolling_sign_stability,regime_count,regime_estimated_count,regime_max_f,regime_median_f,regime_sign_stability,final_screen,rank
d_dfr_eop,"deposit facility rate, end of month",policy-rate bridge,target_factor_monthly_easing,"L1_d_dfr_eop,L2_d_dfr_eop,inflation_ea20_mom,L1_inflation_ea20_mom",246,2005-04,2025-10,-0.01383913940384625,0.0040994312740102274,-3.375868133607775,0.0007358317760356563,17.07209368475478,0.06640975082145686,0.3405495679558065,negative,strong_F16,"Observed policy-rate implementation; conventional short-rate channel, but discrete and often unchanged.",0.28803141563810597,5.340382270335617,0.31281355227710167,127,8.992876811826005,0.012225642067180341,36.988834025900616,1.0,4,2,8.558162113172612,5.883527922097377,1.0,fragile_candidate,1
d_ln_ecb_assets_ea_mavg,"ECB assets, log monthly average",liquidity stock,timing_factor_monthly_easing,"L1_d_ln_ecb_assets_ea_mavg,L2_d_ln_ecb_assets_ea_mavg,inflation_ea20_mom,L1_inflation_ea20_mom",244,2005-04,2025-10,0.0030305238501795303,0.0016490614271791,1.8377264789726921,0.06610272002378706,10.9906420553386,0.04414078362389182,0.17762728827521823,positive,usable_F10,"Monthly-average balance-sheet response candidate; secondary, not a preferred causal treatment.",0.19120183633612997,9.073515499122921,0.825567373902014,185,2.665319600554146,4.210790650404681e-05,8.333941014972874,0.4540540540540541,4,4,9.338164599215405,2.1440518994014655,0.75,fragile_candidate,2
d_dfr_mavg,"deposit facility rate, monthly average",policy-rate bridge,fg_factor_monthly_easing,"L1_d_dfr_mavg,L2_d_dfr_mavg,inflation_ea20_mom,L1_inflation_ea20_mom",244,2005-04,2025-10,0.004398008430543338,0.0017675922364070356,2.4881351818353306,0.012841491136071243,9.42736179080328,0.03810153300173,0.6648140445562407,positive,borderline,Monthly-average policy-rate implementation; smoother than end-of-month DFR but still mechanically administered.,0.1717500890975518,1.3119099792143312,0.13915982098980703,185,2.9537121081664144,0.0005351567156334436,27.270314416521913,0.9891891891891892,4,3,25.076625876291267,2.3834892214803762,1.0,fragile_candidate,3
d_ln_ecb_assets_ea_stock,"ECB assets, log end-of-month stock",liquidity stock,timing_factor_monthly_easing,"L1_d_ln_ecb_assets_ea_stock,L2_d_ln_ecb_assets_ea_stock,inflation_ea20_mom,L1_inflation_ea20_mom",244,2005-04,2025-10,0.002957623479023181,0.0022775887269488545,1.2985766236142762,0.19408926464980722,7.048782013068304,0.02876481145983577,0.09636663068384488,positive,borderline,Balance-sheet/liquidity response candidate; retained as secondary because it is a persistent implementation stock.,0.19120183633612997,6.503678891731952,0.922667047962933,185,1.946622352461233,0.0008363305150286122,11.536744681544072,0.7297297297297297,4,4,5.794956201114574,3.5750212224614466,0.75,fragile_candidate,4
d_dfr_eop,"deposit facility rate, end of month",policy-rate bridge,qe_factor_monthly_easing,"L1_d_dfr_eop,L2_d_dfr_eop,inflation_ea20_mom,L1_inflation_ea20_mom",142,2014-01,2025-10,0.01049395525411993,0.004760762462223957,2.2042593675673015,0.027506108754330388,5.732805417323443,0.04044797815469435,0.3635622760611563,positive,borderline,"Observed policy-rate implementation; conventional short-rate channel, but discrete and often unchanged.",0.18845495987663957,2.078880614643372,0.362628846316917,40,4.253523376099779,2.3628399650161316,14.72202754901925,1.0,4,1,6.916222458862994,6.916222458862994,1.0,fragile_candidate,5
d_ln_ecb_assets_ea_mavg,"ECB assets, log monthly average",liquidity stock,target_factor_monthly_easing,"L1_d_ln_ecb_assets_ea_mavg,L2_d_ln_ecb_assets_ea_mavg,inflation_ea20_mom,L1_inflation_ea20_mom",246,2005-04,2025-10,-0.001566477754920226,0.0007997710673106148,-1.9586576946172998,0.05015288800261265,4.42419381419273,0.018100474200831076,0.15387770592453898,negative,weak,"Monthly-average balance-sheet response candidate; secondary, not a preferred causal treatment.",0.28803141563810597,6.917534609970369,1.5635695226052369,187,1.5733306397304623,0.05352152926991882,6.569479832267553,1.0,4,4,2.694537254642258,0.7312825693351341,0.75,reject_weak_relevance,6
d_ln_hh_loans_ea_stock,household credit,credit response,target_factor_monthly_easing,"L1_d_ln_hh_loans_ea_stock,L2_d_ln_hh_loans_ea_stock,inflation_ea20_mom,L1_inflation_ea20_mom",246,2005-04,2025-10,8.555218077921738e-05,3.8466030734972693e-05,2.2240969277195197,0.026141923565320878,3.0181440655082374,0.012419418628654588,0.53014550099213,positive,weak,Transmission response candidate; should not be confused with the policy innovation.,0.28803141563810597,3.172843759599129,1.051256563879379,187,0.6564459158903788,1.6852679377667737e-05,10.204854137968365,0.9679144385026738,4,4,5.18683757161605,1.476978939465702,1.0,reject_weak_relevance,7
d_ln_nfc_loans_ea_stock,NFC credit,credit response,qe_factor_monthly_easing,"L1_d_ln_nfc_loans_ea_stock,L2_d_ln_nfc_loans_ea_stock,inflation_ea20_mom,L1_inflation_ea20_mom",142,2014-01,2025-10,0.00032131691505870045,0.00024334946852065713,1.3203929189244352,0.18670386655851925,2.499258236220441,0.01804528246611817,0.08535427212552782,positive,weak,Transmission response candidate for productive credit; not a policy variable.,0.18845495987663957,1.1549502196283394,0.4621172005718539,83,2.003137915667086,0.10401808964987806,6.3357618104450655,1.0,4,3,4.020902241426588,0.5571578796706838,1.0,reject_weak_relevance,8
d_dfr_mavg,"deposit facility rate, monthly average",policy-rate bridge,target_factor_monthly_easing,"L1_d_dfr_mavg,L2_d_dfr_mavg,inflation_ea20_mom,L1_inflation_ea20_mom",246,2005-04,2025-10,-0.003204679799729932,0.0026847252179924915,-1.1936714335801701,0.23260651906430027,2.4580169879567704,0.010137907661262706,0.653403888843981,negative,weak,Monthly-average policy-rate implementation; smoother than end-of-month DFR but still mechanically administered.,0.28803141563810597,0.6832470411240458,0.27796676933953807,187,0.6640084482384254,0.00020825536169972612,62.836454031841285,0.5614973262032086,4,3,0.913874056803034,0.2793676833588518,0.6666666666666666,reject_weak_relevance,9
d_ln_hh_loans_ea_stock,household credit,credit response,fg_factor_monthly_easing,"L1_d_ln_hh_loans_ea_stock,L2_d_ln_hh_loans_ea_stock,inflation_ea20_mom,L1_inflation_ea20_mom",244,2005-04,2025-10,-5.39877268839275e-05,3.518518028381933e-05,-1.5343882409707286,0.12493416874679554,2.3816442830077467,0.009907762675105812,0.5330464234967384,negative,weak,Transmission response candidate; should not be confused with the policy innovation.,0.1717500890975518,0.3476672703870884,0.14597783257037195,185,0.36433162834940797,3.622873034988001e-08,2.9203887723181587,0.7513513513513513,4,4,1.1997140887038984,0.7864625397965668,0.75,reject_weak_relevance,10
