response,response_label,channel,h0,h1,h3,h6,h12,h24
ecb_ces_real_income_expectations_12m_median,real household income expectations,household_income_pressure,not_estimated,not_estimated,not_estimated,not_estimated,not_estimated,not_estimated
ecb_ces_unemployment_expectations_12m_median,CES expected unemployment,labor_tightness,not_estimated,not_estimated,not_estimated,not_estimated,not_estimated,not_estimated
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,positive_p05,positive_p05,positive_p05,positive_p05,positive_not_significant,negative_not_significant
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,negative_not_significant,positive_not_significant,negative_not_significant,positive_not_significant,positive_not_significant,positive_not_significant
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,positive_not_significant,positive_p05,positive_not_significant,positive_not_significant,positive_p10,positive_not_significant
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,negative_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,positive_not_significant,positive_not_significant
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,positive_not_significant,positive_p10,positive_not_significant,positive_not_significant,positive_p05,positive_not_significant
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,negative_p10,negative_not_significant,negative_p05,negative_not_significant,negative_not_significant,positive_not_significant
ecb_wage_tracker_ex_oneoffs_real_yoy_ma3,"real wage tracker excl. one-offs, 3m avg",compensation_proxy,negative_not_significant,positive_not_significant,negative_not_significant,negative_not_significant,positive_not_significant,positive_not_significant
ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m,"real wage tracker excl. one-offs, 3m momentum",compensation_proxy,negative_not_significant,positive_not_significant,positive_not_significant,negative_not_significant,positive_not_significant,negative_not_significant
ecb_wage_tracker_headline_real_yoy,real wage tracker headline,compensation_proxy,negative_p10,positive_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,positive_not_significant
ecb_wage_tracker_unsmoothed_oneoffs_real_yoy,real wage tracker unsmoothed one-offs,compensation_proxy,positive_not_significant,positive_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,positive_not_significant
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,positive_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,negative_p05
eurostat_ecfin_services_employment_expectations_ea20,services employment expectations,labor_tightness,positive_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,negative_p10
eurostat_labor_tightness_unemployment_inv,inverse unemployment labor tightness,labor_tightness,negative_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,negative_not_significant
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,positive_p05,positive_not_significant,positive_p10,positive_p05,positive_not_significant,negative_not_significant
ln_dax_real_de,real DAX,financial_market,negative_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,negative_p05,negative_p05
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,negative_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,negative_not_significant,negative_not_significant
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,negative_not_significant,positive_not_significant,positive_not_significant,positive_not_significant,negative_not_significant,negative_not_significant
ln_hh_loans_ea_stock,household credit,financial_credit,positive_not_significant,positive_not_significant,negative_not_significant,positive_not_significant,positive_not_significant,negative_not_significant
ln_nfc_loans_ea_stock,NFC credit,financial_credit,negative_not_significant,negative_not_significant,negative_not_significant,positive_not_significant,positive_not_significant,negative_not_significant
ln_retail_de_chained_index,retail volume,real_activity,negative_not_significant,positive_not_significant,positive_not_significant,negative_not_significant,negative_not_significant,negative_p10
