response,response_label,channel,response_role,status,earliest_estimated_horizon,earliest_p10_horizon,peak_abs_horizon,peak_response,cumulative_response,direction,p10_horizon_share,estimated_horizons,frequency_integrity,interpretation_layer,nobs,coefficient_1sd,std_error_hac_1sd,p_value,timing_note,supply_timing_rank
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,estimated,0.0,1.0,12.0,0.05000393321222228,0.14007707210426584,positive,0.3333333333333333,6.0,monthly_observed,ordered_timing_evidence,,,,,,2.0
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,estimated,0.0,1.0,12.0,0.02518342826508123,0.07072030870698286,positive,0.3333333333333333,6.0,monthly_observed,ordered_timing_evidence,,,,,,2.0
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,estimated,0.0,,24.0,0.03375646996902997,0.05999755922695935,positive,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,3.0
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,monthly,estimated,0.0,,24.0,0.03745171503614906,0.012818260217909536,positive,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,3.0
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,estimated,0.0,,24.0,-0.001403810558349975,-0.0010983625139415626,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,3.0
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,estimated,0.0,,24.0,-0.0009453449857178159,-0.0018728056318151193,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,3.0
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,estimated,0.0,0.0,6.0,0.14871608146173332,0.35696383544406507,positive,0.6666666666666666,6.0,monthly_observed,ordered_timing_evidence,,,,,,1.0
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,estimated,0.0,,24.0,-0.030824076379971185,-0.005523102840868519,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,3.0
bls_credit_standards_mortgage_q_observed,BLS mortgage credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-0.12411185995759985,0.9011256735583227,0.8904539658237847,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
bls_credit_standards_nfc_q_observed,BLS enterprise credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-1.4785334053307502,0.5633131252698906,0.008672288046858607,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
bls_credit_standards_consumer_q_observed,BLS consumer-credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-0.7696271092794903,0.6629326789579502,0.24566504597390385,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
bls_loan_demand_mortgage_q_observed,BLS mortgage loan demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,3.6077213773775196,1.663940462816959,0.030145042134530568,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
bls_loan_demand_nfc_q_observed,BLS enterprise loan demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,3.0994836144663145,0.6237337667067065,6.721537052991087e-07,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
bls_loan_demand_consumer_q_observed,BLS consumer-credit demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,2.7758301732700126,0.918225893723462,0.0025025225447322373,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,4.0
