sample_name,response,response_label,channel,response_role,shock,horizon_months,cumulative_response,cumulative_se_independence_approx,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,significant_90,significant_95,shock_normalization,ci_method,interpretation_layer
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,0,0.01585325506479996,0.024527939647649488,-0.024491615426283114,0.056198125555883036,-0.0322206232595651,0.06392713338916503,-0.008538747876698127,0.04024525800629805,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,1,0.03959119657907948,0.04055274438354809,-0.027112132103035542,0.10629452526119451,-0.03989072188693373,0.11907311504509269,-0.0007367997589299569,0.07991919291708892,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,3,0.05395430142521862,0.05903463781650318,-0.04314903670302317,0.1510576395534604,-0.061751462535493906,0.16966006538593115,-0.004753159533835566,0.1126617623842728,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,6,-0.008025124184329886,0.08681970461170695,-0.1508308302057515,0.13478058183709174,-0.17818861837168154,0.16213837000302178,-0.09436366385338402,0.07831341548472423,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,12,-0.11189644516885516,0.10741147097468814,-0.2885725927777637,0.0647797024400534,-0.3224190598057133,0.09862616946800298,-0.21871262922678936,-0.0050802611109209556,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,fg_factor_monthly_easing,24,0.019303698782365097,0.1267477206089467,-0.18917774916909275,0.22778514673382294,-0.22911726873371563,0.2677246662984458,-0.10674157115606925,0.14534896872079944,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,qe_factor_monthly_easing,0,0.003853869056408499,0.012791550289223103,-0.017186358831152274,0.024894096943969272,-0.021217108816901694,0.02892484692971869,-0.008866788967183412,0.01657452708000041,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,qe_factor_monthly_easing,1,-0.0010375763350818404,0.025878633224156487,-0.04360414005438251,0.04152898738421883,-0.051758765423550214,0.04968361275338653,-0.026772787151538083,0.024697634481374405,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,qe_factor_monthly_easing,3,0.012501121096459835,0.04754336538499666,-0.06570075589453099,0.09070299808745065,-0.0806821627619619,0.10568440495488156,-0.03477875340497178,0.059780995597891455,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,qe_factor_monthly_easing,6,0.04122766775382305,0.08225450305962721,-0.09406894993689574,0.17652428544454185,-0.11998819580928596,0.20244353131693207,-0.04057097124332399,0.1230263067509701,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
