event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20050203,2005-02-03,2005Q1,pre_gfc,-0.7228922477269442,-0.3063074577106637,-0.249999999999995,-0.0500000000000167,-0.328877728129484,-0.7228922477269442,-0.0500000000000167,-0.328877728129484,-0.0500000000000167,-0.328877728129484,negative,negative,negative,possible_information_shock,possible_information_shock,True,True
ECB_20050407,2005-04-07,2005Q2,pre_gfc,-0.7120665169521546,0.1458348779740232,-0.800000000000001,-1.09999999999997,-0.3131275661363729,-0.7120665169521546,-1.09999999999997,-0.3131275661363729,-1.09999999999997,-0.3131275661363729,negative,negative,negative,possible_information_shock,possible_information_shock,True,True
ECB_20050504,2005-05-04,2005Q2,pre_gfc,-0.6012341183950993,0.0697101935301506,-0.099999999999989,0.249999999999995,0.2556634877063149,-0.6012341183950993,0.249999999999995,0.2556634877063149,0.249999999999995,0.2556634877063149,negative,positive,positive,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20050707,2005-07-07,2005Q3,pre_gfc,-0.2337313221153058,0.3696259173109873,0.499999999999989,2.09999999999999,0.933380773970072,-0.2337313221153058,2.09999999999999,0.933380773970072,2.09999999999999,0.933380773970072,negative,positive,positive,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20050804,2005-08-04,2005Q3,pre_gfc,-0.3145649125319258,,0.0,0.3000000000000109,-0.0524284318734303,-0.3145649125319258,0.3000000000000109,-0.0524284318734303,0.3000000000000109,-0.0524284318734303,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20060302,2006-03-02,2006Q1,pre_gfc,-0.191244349660254,-0.6303603917683749,-0.3000000000000109,0.950000000000006,-0.543618066514107,-0.191244349660254,0.950000000000006,-0.543618066514107,0.950000000000006,-0.543618066514107,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20060504,2006-05-04,2006Q2,pre_gfc,-2.580849168411538,0.9549467122228668,-2.09999999999999,0.350000000000028,-0.0396690769093766,-2.580849168411538,0.350000000000028,-0.0396690769093766,0.350000000000028,-0.0396690769093766,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20060706,2006-07-06,2006Q3,pre_gfc,-1.9530356437373704,2.450086664029772,-1.05,2.4,-0.12308403961736,-1.9530356437373704,2.4,-0.12308403961736,2.4,-0.12308403961736,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20060831,2006-08-31,2006Q3,pre_gfc,-0.5670362504734736,0.2943417406631602,-0.100000000000033,1.40000000000002,-0.016254919115255,-0.5670362504734736,1.40000000000002,-0.016254919115255,1.40000000000002,-0.016254919115255,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20061102,2006-11-02,2006Q4,pre_gfc,-1.3318624735416935,-0.0823919004540863,-1.2,-0.299999999999967,-0.900673254099615,-1.3318624735416935,-0.299999999999967,-0.900673254099615,-0.299999999999967,-0.900673254099615,negative,negative,negative,possible_information_shock,possible_information_shock,True,True
ECB_20061207,2006-12-07,2006Q4,pre_gfc,-0.0232724858842574,0.3186664140701954,0.3000000000000109,2.25,0.697180658989183,-0.0232724858842574,2.25,0.697180658989183,2.25,0.697180658989183,negative,positive,positive,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20070208,2007-02-08,2007Q1,pre_gfc,-1.051643514945904,-2.529699647518554,-0.550000000000006,1.00000000000002,-0.254627685623987,-1.051643514945904,1.00000000000002,-0.254627685623987,1.00000000000002,-0.254627685623987,negative,positive,negative,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20070308,2007-03-08,2007Q1,pre_gfc,-0.3572086178286358,1.00587661424302,0.599999999999978,1.29999999999999,0.0854472550656737,-0.3572086178286358,1.29999999999999,0.0854472550656737,1.29999999999999,0.0854472550656737,negative,positive,positive,mixed_sign_factor_yield_conflict,mixed_sign_factor_yield_conflict,True,True
ECB_20070412,2007-04-12,2007Q2,pre_gfc,-0.2423072636576391,-0.4629079721773659,0.0,-0.3499999999999839,-0.3214999202239,-0.2423072636576391,-0.3499999999999839,-0.3214999202239,-0.3499999999999839,-0.3214999202239,negative,negative,negative,possible_information_shock,possible_information_shock,True,True
ECB_20070510,2007-05-10,2007Q2,pre_gfc,-0.228966714104588,0.3841079986330331,0.2000000000000219,-0.4500000000000168,-0.11738420423022,-0.228966714104588,-0.4500000000000168,-0.11738420423022,-0.4500000000000168,-0.11738420423022,negative,negative,negative,possible_information_shock,possible_information_shock,True,True
