sample_name,response,response_label,channel,response_role,shock,horizon_months,cumulative_response,cumulative_se_independence_approx,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,significant_90,significant_95,shock_normalization,ci_method,interpretation_layer
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,0,0.04821020399933862,0.021500435483768943,0.01284513471282514,0.0835752732858521,0.0060701247992244745,0.09035028319945276,0.026828926440061893,0.06959148155861535,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,1,0.10182046406650117,0.033508015623946195,0.04670468303550667,0.15693624509749565,0.03614596025016119,0.16749496788284113,0.0684981537785523,0.13514277435445005,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,3,0.2358100319560024,0.048794233620881096,0.15555065981037866,0.3160694041016261,0.140175091405842,0.3314449725061628,0.1872862216765388,0.284333842235466,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,6,0.3845261134177357,0.06561506605102586,0.2765989340410454,0.49245329279442596,0.2559229471145082,0.5131292797209632,0.3192746937259644,0.44977753310950697,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,12,0.48316888226252847,0.09518707174834055,0.3266000820583805,0.6397376824666765,0.2966056498419509,0.669732114683106,0.3885093483827388,0.5778284161423181,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,24,0.35696383544406507,0.137602156554491,0.13062842915906622,0.5832992417290639,0.08726856440222053,0.6266591064859096,0.22012428611178889,0.4938033847763412,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,0.006067603270996193,0.006521264428899529,-0.004658922177188819,0.016794128719181206,-0.006713840143309048,0.018849046685301435,-0.0004175195488182919,0.012552726090810679,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,0.02672412909345002,0.01070037387625919,0.009123580313348312,0.04432467787355173,0.005751781674868756,0.04769647651203129,0.01608305793891237,0.03736520024798767,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,3,0.041280333375473,0.018896639085274784,0.010198128038865825,0.07236253871208018,0.004243601339482518,0.0783170654114635,0.02248842167095196,0.06007224507999405,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,6,0.06814438185823794,0.027845614024450172,0.0223424226354303,0.1139463410810456,0.013567981242912176,0.12272078247356372,0.040453091478807414,0.09583567223766848,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,12,0.11814831507046022,0.03808782351656375,0.05549942041655276,0.1807972097243677,0.043497552728477565,0.1927990774124429,0.08027157872011159,0.15602505142080886,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,24,0.14007707210426584,0.04466231422752976,0.06661410255906718,0.2135400416494645,0.05254054475209667,0.227613599456435,0.09566228163830776,0.18449186257022393,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,0.0003866674647152634,0.006676447474190238,-0.010595111378357546,0.011368446307788072,-0.012698929129371015,0.013472264058801541,-0.006252778357829063,0.007026113287259589,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,0.016955755532316107,0.011391224386777922,-0.0017811412156936192,0.03569265228032584,-0.005370634005582985,0.0392821450702152,0.005627662641473618,0.0282838484231586,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,3,0.01994383444646118,0.014368486143100987,-0.003690222099820447,0.04357789099274281,-0.008217880906379583,0.04810554979930194,0.005654980131664305,0.034232688761258054,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,6,0.03511597887309306,0.017810634886907123,0.005820091481055459,0.06441186626513067,0.00020777595296248008,0.07002418179322364,0.017404052604837624,0.0528279051413485,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,12,0.06029940713817429,0.021414456869531945,0.0250757600871288,0.09552305418921977,0.018327842925405326,0.10227097135094326,0.039003631689613,0.08159518258673558,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,24,0.07072030870698286,0.0238578232778171,0.03147768155729814,0.10996293585666758,0.02395983433294,0.11748078308102572,0.04699470827213249,0.09444590914183322,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,canonical_proxy,target_factor_monthly_easing,0,-0.06903201476616504,0.03686135998878264,-0.12966355643807803,-0.008400473094252028,-0.1412789527653448,0.003214923233014713,-0.1056890847928425,-0.032374944739487564,True,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,canonical_proxy,target_factor_monthly_easing,1,-0.08922382073499152,0.055595722933387604,-0.18067064724496326,0.002223005774980219,-0.19818943537889877,0.019741793908915714,-0.14451142567884406,-0.033936215791138966,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,canonical_proxy,target_factor_monthly_easing,3,-0.17059933550428769,0.06879601979914508,-0.2837587181907368,-0.057439952817838605,-0.3054370565903165,-0.03576161441825884,-0.23901407972700178,-0.1021845912815736,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,canonical_proxy,target_factor_monthly_easing,6,-0.2600705621769731,0.0925279423591914,-0.4122654837608458,-0.10787564059310037,-0.4414219967645863,-0.0787191275893599,-0.3520857038732486,-0.1680554204806976,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
