k_ar_diff,aic,bic,hqic,fpe
0,-48.05663555775462,-47.35212739402059,-47.77264219935236,1.3469022311596496e-21
1,-49.82929099859979,-48.59640171206525,-49.33230262139585,2.2896932495435294e-22
2,-50.39596461797991,-48.63469420864485,-49.685981221974274,1.3012853361474303e-22
3,-50.37379314027127,-48.084141608135695,-49.45081472546395,1.3343801081568256e-22
4,-50.27921454919064,-47.46118189425455,-49.14324111558163,1.4736477249172436e-22
5,-50.2314499888023,-46.88503621106569,-48.882481536391595,1.5564150337591157e-22
6,-50.216132009155935,-46.34133710861881,-48.65416853794354,1.5955480591502494e-22
7,-50.1183464598483,-45.715170436510654,-48.34338796983422,1.781798998629178e-22
8,-50.02903175938964,-45.09747461325148,-48.04107825057387,1.9801336999008128e-22
9,-50.1736146663512,-44.71367639741253,-47.97266613873374,1.7488249939260148e-22
10,-50.2518622729544,-44.26354288121521,-47.83791872653525,1.658253576624889e-22
11,-50.24385924172728,-43.72715872718757,-47.616920676506446,1.723154655959929e-22
12,-50.26947700916803,-43.224395371827804,-47.4295434251455,1.7417940836018105e-22
