,shadow_rate,credit,equity,housing_price,real_income,cpi
2005-01-31,2.391755505002147,6487.308725,1513.06,160.13,11226.5,191.6
2005-02-28,2.7888515426967566,6543.80735,1498.17,161.925,11229.0,192.4
2005-03-31,3.073383421545385,6622.4261400000005,1478.66,164.578,11268.8,193.1
2005-04-30,2.922924068856347,6659.187475,1422.42,167.001,11304.2,193.7
2005-05-31,2.9731874833394296,6707.3421,1542.63,169.546,11352.7,193.6
2005-06-30,3.1313759500636285,6748.49356,1493.52,172.017,11375.5,193.7
2005-07-31,3.5702876927449876,6832.706325,1605.14,174.099,11387.1,194.9
2005-08-31,3.598210288992776,6895.7186,1581.71,175.925,11405.3,196.1
2005-09-30,3.7551886093424254,6935.088575,1601.66,177.613,11365.2,198.8
2005-10-31,4.1048199570163675,6974.607175,1579.18,178.754,11428.7,199.1
2005-11-30,4.142646586214941,6988.73204,1672.56,179.676,11500.1,198.1
2005-12-31,4.195795625796878,7071.107325,1645.2,180.109,11535.2,198.1
2006-01-31,4.491318622217235,7111.22005,1710.75,180.828,11651.8,199.3
2006-02-28,4.7407321424065465,7161.803875,1670.57,181.499,11702.8,199.4
2006-03-31,4.875983370029503,7215.60092,1703.66,182.748,11747.5,199.7
2006-04-30,4.961152957388548,7307.2601,1700.71,183.648,11744.4,200.7
2006-05-31,5.020782214812542,7390.80778,1579.58,184.38,11736.8,201.3
2006-06-30,5.345050081571853,7432.91855,1575.23,184.547,11751.9,201.8
2006-07-31,5.2184262399835015,7467.9893,1509.43,184.607,11746.9,202.9
2006-08-31,5.104677872892126,7522.22226,1579.73,184.404,11737.0,203.8
2006-09-30,5.0117324406352415,7528.9097,1654.13,184.198,11800.1,202.8
2006-10-31,5.087923871696655,7694.87345,1732.54,184.054,11853.7,201.9
2006-11-30,5.020675128284845,7748.861800000001,1791.25,183.631,11901.9,202.0
2006-12-31,5.154975875652249,7836.629,1756.9,183.228,11958.6,203.1
2007-01-31,5.264485152177839,7883.87204,1792.28,182.717,11956.6,203.437
2007-02-28,5.064083257283433,7935.746300000001,1761.65,182.469,11996.0,204.226
2007-03-31,5.038114599189092,7889.25495,1772.36,182.191,12035.1,205.288
2007-04-30,5.041697004576991,7948.163675,1867.75,182.129,12052.8,205.904
2007-05-31,5.215793544385416,7989.19932,1928.19,181.883,12059.9,206.755
2007-06-30,5.196554766855778,8053.649025000001,1934.1,181.539,12053.3,207.234
2007-07-31,4.968777479784293,8124.066525,1932.06,180.993,12066.4,207.603
2007-08-31,4.465048692465419,8215.56626,1988.73,180.234,12070.9,207.667
2007-09-30,4.244153295959896,8344.69545,2091.11,179.122,12089.6,208.547
2007-10-31,4.064164778813774,8431.64764,2238.98,177.529,12080.4,209.19
2007-11-30,3.490714181148559,8517.1153,2089.1,175.161,12070.1,210.834
2007-12-31,3.474522218213331,8566.7852,2084.93,173.337,12120.5,211.445
2008-01-31,2.222757469394247,8596.09616,1841.42,171.076,12137.1,212.174
2008-02-29,1.7373226668997945,8641.445225,1745.27,169.189,12141.8,212.687
2008-03-31,1.3323007834129243,8689.755275,1781.93,167.9,12145.9,213.448
2008-04-30,1.6918242116779398,8697.34452,1917.7,167.317,12100.8,213.942
2008-05-31,1.8893173814456308,8700.6815,2032.57,167.014,12696.2,215.208
2008-06-30,2.0219647851861526,8694.308,1837.09,166.533,12376.6,217.463
2008-07-31,1.8902888487572627,8695.30276,1849.15,165.711,12188.7,219.016
2008-08-31,1.710376366569545,8685.501575,1872.54,164.277,12120.6,218.69
2008-09-30,1.4793906015933027,8729.817775,1594.63,161.911,12149.0,218.877
2008-10-31,0.786333975692699,9186.52632,1334.78,159.162,12240.5,216.995
2008-11-30,0.08496627960430658,9114.006575,1185.75,156.071,12345.9,213.153
2008-12-31,-0.016712523570112242,9035.32444,1211.65,152.543,12288.8,211.398
2009-01-31,0.14160843417537414,9035.31865,1180.25,149.361,12361.5,211.933
2009-02-28,0.065410617391988,9067.806175,1116.99,147.616,12241.9,212.705
2009-03-31,-0.23381870344553884,9044.260025,1237.01,146.513,12242.7,212.495
2009-04-30,-0.09654186378074969,8995.91392,1394.33,146.941,12320.0,212.709
2009-05-31,-0.065085713750547,9041.767375,1435.57,148.168,12500.1,213.022
2009-06-30,-0.09432573823419874,9035.4743,1477.25,149.795,12273.2,214.79
2009-07-31,-0.08733544507762009,8974.040539999998,1603.36,150.747,12218.7,214.726
2009-08-31,-0.2020135137956118,8927.2927,1625.19,150.667,12194.8,215.445
2009-09-30,-0.20235832412097005,8842.832980000001,1718.99,149.626,12230.6,215.861
2009-10-31,-0.134176961551484,8756.394475000001,1667.13,148.582,12193.2,216.509
2009-11-30,-0.5065465144829772,8823.73975,1767.43,147.937,12224.4,217.234
2009-12-31,-0.12090704246845857,8784.73008,1860.31,146.665,12280.2,217.347
2010-01-31,-0.5335710290013347,8717.648575,1741.04,145.003,12285.8,217.488
2010-02-28,-0.6543429309538538,8659.100625,1818.68,143.056,12292.0,217.281
2010-03-31,-0.5031377764515634,8690.31106,1958.34,143.596,12340.3,217.353
2010-04-30,-0.5648817422945442,9020.725925,2000.63,145.398,12447.1,217.403
2010-05-31,-0.9250480991335491,8975.4158,1852.39,147.031,12540.3,217.29
2010-06-30,-1.1740798997477078,8930.46342,1739.14,147.697,12544.3,217.199
2010-07-31,-1.380995991036202,8961.014075,1864.0,147.559,12554.2,217.605
2010-08-31,-1.8024180402875103,8988.006375,1767.43,146.425,12591.4,217.923
2010-09-30,-1.8248523904748208,8987.332740000002,1998.04,144.606,12589.9,218.275
2010-10-31,-2.246190579894524,9000.126725,2124.45,143.124,12592.5,219.035
2010-11-30,-2.2557298573478493,9014.450575,2117.33,141.811,12605.1,219.59
2010-12-31,-1.461859023553179,8989.076420000001,2217.86,140.62,12680.6,220.472
2011-01-31,-1.5716683084315646,8953.1525,2281.91,139.028,12740.1,221.187
2011-02-28,-1.2153351841655309,8916.384975,2350.99,137.724,12776.6,221.898
2011-03-31,-1.205507027517503,8910.40154,2338.99,137.778,12742.7,223.046
2011-04-30,-1.2752789193242686,8928.28945,2404.08,139.153,12721.3,224.093
2011-05-31,-1.6922217178615633,8923.15545,2372.54,140.688,12705.3,224.806
2011-06-30,-2.047096097457457,8929.22442,2325.07,141.941,12756.9,224.806
2011-07-31,-2.416294943878603,8944.852975,2362.81,142.339,12805.6,225.395
2011-08-31,-3.562638968431581,8983.79702,2241.01,141.782,12799.7,226.106
2011-09-30,-3.7103406958598653,9006.466425,2139.18,140.161,12781.7,226.597
2011-10-31,-2.890730952750374,9036.5816,2360.08,138.398,12791.9,226.75
2011-11-30,-3.0724653370667614,9087.44656,2295.2,136.653,12782.7,227.169
2011-12-31,-2.921362611866216,9099.488025,2277.83,135.155,12898.5,227.223
2012-01-31,-3.0039758082123273,9160.170625,2467.95,134.156,12967.5,227.842
2012-02-29,-3.0078325873002716,9267.03482,2623.1,133.986,13029.6,228.329
2012-03-31,-2.521052844675409,9294.291475,2755.27,135.855,13066.4,228.807
2012-04-30,-2.9646026180962273,9333.0311,2723.68,138.461,13116.5,229.187
2012-05-31,-3.2522116392122857,9361.64404,2524.87,141.037,13112.5,228.713
2012-06-30,-3.209895202113783,9383.235825,2615.72,143.158,13097.2,228.524
2012-07-31,-3.4123548933437173,9424.0988,2642.53,144.272,12999.8,228.59
2012-08-31,-3.168455635224961,9464.41464,2772.24,144.695,12961.6,229.918
2012-09-30,-3.4701451623841804,9498.1522,2799.19,144.347,13053.1,231.015
2012-10-31,-3.615885390736019,9514.21988,2647.92,143.957,13142.0,231.638
2012-11-30,-3.8702316526922553,9573.08625,2677.88,143.95,13315.7,231.249
2012-12-31,-3.7874223967888825,9613.746325,2660.93,143.857,13642.7,231.221
2013-01-31,-3.6008941905785306,9653.05546,2731.53,144.301,12845.5,231.679
2013-02-28,-3.6547705024082546,9665.32435,2738.58,145.152,12813.9,232.937
2013-03-31,-3.7961864991135283,9662.428325,2818.69,147.952,12852.1,232.282
2013-04-30,-4.136890611403853,9722.706125,2887.44,150.961,12893.4,231.797
2013-05-31,-3.5909784634447077,9726.5932,2981.76,153.851,12954.2,231.893
2013-06-30,-2.5668054290260587,9736.575325,2909.6,156.417,12955.7,232.445
2013-07-31,-2.4166132565792218,9724.79176,3090.19,158.276,12941.8,232.9
2013-08-31,-2.1742622916047756,9716.28015,3073.81,159.383,12969.6,233.456
2013-09-30,-2.3465331117839425,9722.370525,3218.2,159.663,13027.5,233.544
2013-10-31,-2.7705588227149205,9755.17322,3377.73,159.55,12974.6,233.669
2013-11-30,-2.9542385463337246,9790.0165,3487.82,159.361,12998.9,234.1
2013-12-31,-2.5152368986602323,9817.713425,3592.0,159.278,13019.1,234.719
2014-01-31,-2.4284990035359484,9853.21426,3521.92,159.364,13079.5,235.288
2014-02-28,-2.448250577743199,9931.567575,3696.1,159.865,13148.0,235.547
2014-03-31,-1.8795053228946992,10008.0973,3595.74,161.178,13219.9,236.028
2014-04-30,-1.49242991181429,10052.98952,3582.02,162.954,13270.2,236.468
2014-05-31,-1.5430894704050373,10111.696875,3736.82,164.667,13312.9,236.918
2014-06-30,-1.1995905210594238,10166.9157,3849.48,166.197,13360.4,237.231
2014-07-31,-0.89230303036847,10246.48836,3892.5,167.122,13386.8,237.498
2014-08-31,-0.7864737149656562,10297.19575,4082.56,167.437,13445.9,237.46
2014-09-30,-0.48477149039410294,10346.903725,4049.44,167.228,13486.3,237.477
2014-10-31,-0.711112729640307,10380.9153,4158.21,166.896,13550.7,237.43
2014-11-30,-0.5712394688166256,10433.336575,4337.78,166.644,13624.4,236.983
2014-12-31,-0.16614813776495602,10529.94912,4236.28,166.445,13719.1,236.252
2015-01-31,-0.3143537261412147,10618.13145,4148.43,166.23,13797.7,234.747
2015-02-28,-0.004293030126263642,10695.407525,4440.67,166.609,13848.0,235.342
2015-03-31,-0.11076913326459811,10785.1831,4333.69,168.068,13811.3,235.976
