equation,lag,d_variable,coefficient
shadow_rate,1,D.shadow_rate,0.15212750844266446
shadow_rate,1,D.ln_credit,-5.8658881113662344
shadow_rate,1,D.ln_real_equity,0.37939385986061186
shadow_rate,1,D.ln_real_housing,1.2273253310853838
shadow_rate,1,D.ln_real_income,3.1049194705874665
shadow_rate,1,D.ln_cpi,4.950019421306392
shadow_rate,2,D.shadow_rate,0.11954673220185313
shadow_rate,2,D.ln_credit,-1.749790812361527
shadow_rate,2,D.ln_real_equity,-0.18193615141640668
shadow_rate,2,D.ln_real_housing,0.6905864036044368
shadow_rate,2,D.ln_real_income,1.1313450715976876
shadow_rate,2,D.ln_cpi,-15.400564534350652
ln_credit,1,D.shadow_rate,-0.0011989281395019418
ln_credit,1,D.ln_credit,0.12392646336611987
ln_credit,1,D.ln_real_equity,-0.02013417846387497
ln_credit,1,D.ln_real_housing,0.19590819684505806
ln_credit,1,D.ln_real_income,0.027654317850437315
ln_credit,1,D.ln_cpi,0.07548194231435273
ln_credit,2,D.shadow_rate,-0.0007062216448663288
ln_credit,2,D.ln_credit,-0.14085564031908165
ln_credit,2,D.ln_real_equity,-0.00611989527969366
ln_credit,2,D.ln_real_housing,-0.31384145100274696
ln_credit,2,D.ln_real_income,0.020617712172332475
ln_credit,2,D.ln_cpi,-0.5706603408356198
ln_real_equity,1,D.shadow_rate,-0.004897314907184206
ln_real_equity,1,D.ln_credit,-0.7521708610951652
ln_real_equity,1,D.ln_real_equity,-0.023905119603853255
ln_real_equity,1,D.ln_real_housing,0.4354151733616437
ln_real_equity,1,D.ln_real_income,-0.3030073879339367
ln_real_equity,1,D.ln_cpi,-0.13258726322334005
ln_real_equity,2,D.shadow_rate,-0.008733080623007278
ln_real_equity,2,D.ln_credit,-0.3366257854168478
ln_real_equity,2,D.ln_real_equity,-0.03975969124683384
ln_real_equity,2,D.ln_real_housing,0.17244632430091833
ln_real_equity,2,D.ln_real_income,-0.219646133029433
ln_real_equity,2,D.ln_cpi,-0.16001478478665224
ln_real_housing,1,D.shadow_rate,0.00016751759542747626
ln_real_housing,1,D.ln_credit,0.0476876111466685
ln_real_housing,1,D.ln_real_equity,-0.011014325590759615
ln_real_housing,1,D.ln_real_housing,1.4490709908977888
ln_real_housing,1,D.ln_real_income,-0.02624323773125191
ln_real_housing,1,D.ln_cpi,0.9443429010850997
ln_real_housing,2,D.shadow_rate,-0.0003118701019722803
ln_real_housing,2,D.ln_credit,-0.0847319011009482
ln_real_housing,2,D.ln_real_equity,0.002437547762510997
ln_real_housing,2,D.ln_real_housing,-0.695785195778833
ln_real_housing,2,D.ln_real_income,-0.011798717924388323
ln_real_housing,2,D.ln_cpi,-0.605142665613574
ln_real_income,1,D.shadow_rate,-0.0033528979849345984
ln_real_income,1,D.ln_credit,0.2927263436997563
ln_real_income,1,D.ln_real_equity,-0.010733079096529029
ln_real_income,1,D.ln_real_housing,0.40531350872226657
ln_real_income,1,D.ln_real_income,-0.43733009845109816
ln_real_income,1,D.ln_cpi,-0.9266143739354253
ln_real_income,2,D.shadow_rate,-0.004223747998197456
ln_real_income,2,D.ln_credit,-0.40647517519795123
ln_real_income,2,D.ln_real_equity,0.010201632484337768
ln_real_income,2,D.ln_real_housing,-0.5948002886322898
ln_real_income,2,D.ln_real_income,-0.013751489012483017
ln_real_income,2,D.ln_cpi,-0.7742519758454665
ln_cpi,1,D.shadow_rate,0.0008264567921563037
ln_cpi,1,D.ln_credit,-0.10288846969443217
ln_cpi,1,D.ln_real_equity,0.007317114605600958
ln_cpi,1,D.ln_real_housing,-0.0034347872247450064
ln_cpi,1,D.ln_real_income,0.007317895575999662
ln_cpi,1,D.ln_cpi,0.49422382813273324
ln_cpi,2,D.shadow_rate,0.0003602141215851686
ln_cpi,2,D.ln_credit,0.0401089020293143
ln_cpi,2,D.ln_real_equity,0.0011934128757179032
ln_cpi,2,D.ln_real_housing,-0.0076633929252644985
ln_cpi,2,D.ln_real_income,0.004280134546616201
ln_cpi,2,D.ln_cpi,-0.19804014190710115
