"variable","observations","missing","start","end"
"date",84,0,"2005-03-31","2025-12-31"
"quarter",84,0,"2005-03-31","2025-12-31"
"baseline_sample",84,0,"2005-03-31","2025-12-31"
"robustness_sample",84,0,"2005-03-31","2025-12-31"
"wx_shadow_rate",71,13,"2005-03-31","2022-09-30"
"dfr_eop",84,0,"2005-03-31","2025-12-31"
"dfr_qavg",84,0,"2005-03-31","2025-12-31"
"ecb_assets_ea_stock",84,0,"2005-03-31","2025-12-31"
"ecb_assets_ea_qavg",84,0,"2005-03-31","2025-12-31"
"ecb_assets_ea_trillions",84,0,"2005-03-31","2025-12-31"
"ln_ecb_assets_ea_stock",84,0,"2005-03-31","2025-12-31"
"hh_loans_ea_stock",84,0,"2005-03-31","2025-12-31"
"ln_hh_loans_ea_stock",84,0,"2005-03-31","2025-12-31"
"nfc_loans_ea_stock",84,0,"2005-03-31","2025-12-31"
"ln_nfc_loans_ea_stock",84,0,"2005-03-31","2025-12-31"
"house_price_de",84,0,"2005-03-31","2025-12-31"
"house_price_de_real",84,0,"2005-03-31","2025-12-31"
"ln_house_price_de",84,0,"2005-03-31","2025-12-31"
"ln_house_price_de_real",84,0,"2005-03-31","2025-12-31"
"compensation_ea20_nominal",84,0,"2005-03-31","2025-12-31"
"compensation_ea20_real",84,0,"2005-03-31","2025-12-31"
"ln_compensation_ea20_nominal",84,0,"2005-03-31","2025-12-31"
"ln_compensation_ea20_real",84,0,"2005-03-31","2025-12-31"
"dax_close",84,0,"2005-03-31","2025-12-31"
"dax_real_de",84,0,"2005-03-31","2025-12-31"
"ln_dax_close",84,0,"2005-03-31","2025-12-31"
"ln_dax_real_de",84,0,"2005-03-31","2025-12-31"
"hicp_de",84,0,"2005-03-31","2025-12-31"
"hicp_ea20",84,0,"2005-03-31","2025-12-31"
"hicp_ea",84,0,"2005-03-31","2025-12-31"
"ln_hicp_de",84,0,"2005-03-31","2025-12-31"
"ln_hicp_ea20",84,0,"2005-03-31","2025-12-31"
"credit_standards_enterprise",84,0,"2005-03-31","2025-12-31"
"credit_standards_household",84,0,"2005-03-31","2025-12-31"
"retail_de_mom_pct_qavg",84,0,"2005-03-31","2025-12-31"
"retail_de_chained_index_qavg",84,0,"2005-03-31","2025-12-31"
"dummy_gfc_2008q4",84,0,"2005-03-31","2025-12-31"
"dummy_euro_crisis_2012q3",84,0,"2005-03-31","2025-12-31"
"dummy_qe_launch_2015q1",84,0,"2005-03-31","2025-12-31"
"dummy_covid_2020q2",84,0,"2005-03-31","2025-12-31"
"dummy_2022_tightening_q3",84,0,"2005-03-31","2025-12-31"
"regime_qe_2015_2022q2",84,0,"2005-03-31","2025-12-31"
"regime_post_covid",84,0,"2005-03-31","2025-12-31"
"regime_post_2022_tightening",84,0,"2005-03-31","2025-12-31"
