"variable","observations","missing","start","end"
"date",250,0,"2005-01-31","2025-10-31"
"month",250,0,"2005-01-31","2025-10-31"
"quarter",250,0,"2005-01-31","2025-10-31"
"lp_monthly_regime",250,0,"2005-01-31","2025-10-31"
"monthly_identification_sample",250,0,"2005-01-31","2025-10-31"
"baseline_sample_monthly",250,0,"2005-01-31","2025-10-31"
"full_sample_monthly",250,0,"2005-01-31","2025-10-31"
"is_quarter_end_month",250,0,"2005-01-31","2025-10-31"
"event_count",250,0,"2005-01-31","2025-10-31"
"missing_month_flag",250,0,"2005-01-31","2025-10-31"
"timing_factor_monthly_sum_zero",247,3,"2005-01-31","2025-10-31"
"target_factor_monthly_sum_zero",249,1,"2005-01-31","2025-10-31"
"fg_factor_monthly_sum_zero",247,3,"2005-01-31","2025-10-31"
"qe_factor_monthly_sum_zero",142,108,"2014-01-31","2025-10-31"
"weighted_composite_monthly_sum_zero",249,1,"2005-01-31","2025-10-31"
"timing_factor_monthly_easing",247,3,"2005-01-31","2025-10-31"
"target_factor_monthly_easing",249,1,"2005-01-31","2025-10-31"
"fg_factor_monthly_easing",247,3,"2005-01-31","2025-10-31"
"qe_factor_monthly_easing",142,108,"2014-01-31","2025-10-31"
"weighted_composite_monthly_easing",249,1,"2005-01-31","2025-10-31"
"wx_shadow_rate",212,38,"2005-01-31","2022-08-31"
"d_wx_shadow_rate",211,39,"2005-02-28","2022-08-31"
"dfr_eop",250,0,"2005-01-31","2025-10-31"
"d_dfr_eop",249,1,"2005-02-28","2025-10-31"
"dfr_mavg",250,0,"2005-01-31","2025-10-31"
"d_dfr_mavg",249,1,"2005-02-28","2025-10-31"
"ecb_assets_ea_stock",250,0,"2005-01-31","2025-10-31"
"ecb_assets_ea_mavg",250,0,"2005-01-31","2025-10-31"
"ln_ecb_assets_ea_stock",250,0,"2005-01-31","2025-10-31"
"ln_ecb_assets_ea_mavg",250,0,"2005-01-31","2025-10-31"
"d_ecb_assets_ea_stock",249,1,"2005-02-28","2025-10-31"
"d_ecb_assets_ea_mavg",249,1,"2005-02-28","2025-10-31"
"d_ln_ecb_assets_ea_stock",249,1,"2005-02-28","2025-10-31"
"d_ln_ecb_assets_ea_mavg",249,1,"2005-02-28","2025-10-31"
"hh_loans_ea_stock",250,0,"2005-01-31","2025-10-31"
"ln_hh_loans_ea_stock",250,0,"2005-01-31","2025-10-31"
"hh_loans_ea_real",250,0,"2005-01-31","2025-10-31"
"ln_hh_loans_ea_real",250,0,"2005-01-31","2025-10-31"
"d_ln_hh_loans_ea_stock",249,1,"2005-02-28","2025-10-31"
"d_ln_hh_loans_ea_real",249,1,"2005-02-28","2025-10-31"
"nfc_loans_ea_stock",250,0,"2005-01-31","2025-10-31"
"ln_nfc_loans_ea_stock",250,0,"2005-01-31","2025-10-31"
"nfc_loans_ea_real",250,0,"2005-01-31","2025-10-31"
"ln_nfc_loans_ea_real",250,0,"2005-01-31","2025-10-31"
"d_ln_nfc_loans_ea_stock",249,1,"2005-02-28","2025-10-31"
"d_ln_nfc_loans_ea_real",249,1,"2005-02-28","2025-10-31"
"dax_close",250,0,"2005-01-31","2025-10-31"
"ln_dax_close",250,0,"2005-01-31","2025-10-31"
"dax_real_de",250,0,"2005-01-31","2025-10-31"
"ln_dax_real_de",250,0,"2005-01-31","2025-10-31"
"d_ln_dax_real_de",249,1,"2005-02-28","2025-10-31"
