"date","quarter","baseline_sample","robustness_sample","wx_shadow_rate","dfr_eop","dfr_qavg","ecb_assets_ea_stock","ecb_assets_ea_qavg","ecb_assets_ea_trillions","ln_ecb_assets_ea_stock","hh_loans_ea_stock","ln_hh_loans_ea_stock","nfc_loans_ea_stock","ln_nfc_loans_ea_stock","house_price_de","house_price_de_real","ln_house_price_de","ln_house_price_de_real","compensation_ea20_nominal","compensation_ea20_real","ln_compensation_ea20_nominal","ln_compensation_ea20_real","dax_close","dax_real_de","ln_dax_close","ln_dax_real_de","hicp_de","hicp_ea20","hicp_ea","ln_hicp_de","ln_hicp_ea20","credit_standards_enterprise","credit_standards_household","retail_de_mom_pct_qavg","retail_de_chained_index_qavg","dummy_gfc_2008q4","dummy_euro_crisis_2012q3","dummy_qe_launch_2015q1","dummy_covid_2020q2","dummy_2022_tightening_q3","regime_qe_2015_2022q2","regime_post_covid","regime_post_2022_tightening"
2005-03-31,"2005Q1",TRUE,TRUE,2.0062774113002,1,1,926434,900649.5,0.926434,13.7390980863364,4034733,15.2104506864931,3211693,14.9823087704024,97.4609,98.4453535353535,4.57945127193049,4.58950160778399,75.62,76.5798001620308,4.32572079846279,4.33833333651363,4348.77,4392.69696969697,8.37764832547828,8.38769866133179,99,98.7466666666667,98.7533333333333,4.59511985013459,4.59255764793725,-2,-1,0.333333333333333,101.316824933333,0,0,0,0,0,0,0,0
2005-06-30,"2005Q2",TRUE,TRUE,2.08383010677841,1,1,967868,933852.230769231,0.967868,13.782850993324,4155562,15.2399582358495,3299954,15.0094190869456,96.8822,97.206220735786,4.57349580749237,4.57683470875788,76.06,76.095511238578,4.33152250250011,4.33198927808956,4586.28,4601.61872909699,8.43082451694,8.43416341820552,99.6666666666667,99.9533333333333,99.9566666666667,4.60183128472258,4.60470341039865,-10,-7,-0.0333333333333333,100.537375073765,0,0,0,0,0,0,0,0
2005-09-30,"2005Q3",TRUE,TRUE,2.06646997124406,1,1,996044,985181.071428571,0.996044,13.8115467122978,4241988,15.2605425852484,3338730,15.0211010531225,96.7467,96.2334549071618,4.57209622280105,4.56677706132345,76.49,76.2434794165531,4.33716001333377,4.33393189598235,5044.12,5017.36074270557,8.52597848744417,8.52065932596656,100.533333333333,100.323333333333,100.323333333333,4.61048934746569,4.60839830333952,-16,2,-0.0333333333333333,101.004960546023,0,0,0,0,0,0,0,0
2005-12-31,"2005Q4",TRUE,TRUE,2.26601002058462,1.25,1.07065217391304,1038152,1009221.61538462,1.038152,13.8529527674401,4350383,15.2857744451661,3427835,15.0474394245192,96.817,96.0168595041322,4.57282259869788,4.56452379588319,77.17,76.4235962103456,4.34601078046951,4.3362914994086,5408.25,5363.55371900826,8.59568084446498,8.58738204165028,100.833333333333,100.976666666667,100.966666666667,4.61346898880279,4.614889467049,2,-8,0.1,101.036424237652,0,0,0,0,0,0,0,0
2006-03-31,"2006Q1",TRUE,TRUE,2.37580044289327,1.5,1.31666666666667,1067477,1047821.15384615,1.067477,13.8808084781854,4432832,15.3045492154228,3541635,15.0800990428902,95.8,94.8514851485149,4.56226268497681,4.55231235412365,77.4,76.5831134564644,4.34898678059568,4.33837660148367,5970.08,5910.9702970297,8.69451560663187,8.6845652757787,101,101.066666666667,101.046666666667,4.61512051684126,4.61578036510011,-4,2,-0.1,100.968135934445,0,0,0,0,0,0,0,0
2006-06-30,"2006Q2",TRUE,TRUE,2.70247420722214,1.75,1.54395604395604,1112770,1084645.30769231,1.11277,13.9223629602057,4549542,15.33053712652,3656553,15.1120314583235,97.3,95.6108745496233,4.57779898919196,4.56028656410733,77.95,76.0883711850068,4.35606759550379,4.3318954435328,5683.31,5584.64788732394,8.64528908846328,8.62777666337865,101.766666666667,102.446666666667,102.413333333333,4.62268261107272,4.62934233795908,-9,-9,0.466666666666667,101.775664698588,0,0,0,0,0,0,0,0
2006-09-30,"2006Q3",TRUE,TRUE,3.18546591358758,2,1.89402173913043,1118315,1112506.76923077,1.118315,13.9273336461428,4632651,15.348639832401,3746904,15.1364404569512,98.1,96.0195758564437,4.58598736657132,4.56455208585125,78.4,76.4679107874374,4.36182392735636,4.33687118600079,6004.33,5876.99510603589,8.70023615460068,8.67880087388062,102.166666666667,102.526666666667,102.493333333333,4.62660546670816,4.63012292734367,0,-3,-0.733333333333333,100.782854523114,0,0,0,0,0,0,0,0
2006-12-31,"2006Q4",TRUE,TRUE,3.43166869773909,2.5,2.27445652173913,1150980,1126253,1.15098,13.9561243113584,4730536,15.3695490732869,3864259,15.1672805010537,97.1,95.0718015665796,4.57574137529728,4.55463241208704,78.9,76.7484841606952,4.36818122785183,4.34053363592302,6596.91,6459.11553524804,8.79435663656501,8.77324767335477,102.133333333333,102.803333333333,102.763333333333,4.62627914919833,4.6328177779169,1,-1,1.8,102.24611320406,0,0,0,0,0,0,0,0
2007-03-31,"2007Q1",TRUE,TRUE,3.63439945752357,2.75,2.55,1162604,1142673.46153846,1.162604,13.9661728748077,4809155.73,15.3860321027673,3981182.02,15.1970893231176,96.6,93.8775510204082,4.57057874121847,4.54199128436656,79.28,76.9783474123701,4.37298589002173,4.34352417987211,6917.02,6722.07968901846,8.84174032002332,8.81315286317141,102.9,102.99,102.94,4.63375764284,4.63463189613771,0,-6,-1.33333333333333,100.399679724558,0,0,0,0,0,0,0,0
2007-06-30,"2007Q2",TRUE,TRUE,3.83720995647597,3,2.79945054945055,1208453,1176104.46153846,1.208453,14.004851587182,4901992.18,15.4051522478017,4132743.04,15.2344519188052,96.5,92.997108898169,4.56954300834494,4.53256840555358,79.76,76.3960282238754,4.37902212565358,4.33593070822263,8007.31,7716.64953421137,8.98811015344658,8.95113555065521,103.766666666667,104.403333333333,104.35,4.64214478877945,4.64826160341904,-4,-5,-0.3,100.856793345082,0,0,0,0,0,0,0,0
