KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2003-Q1,59.01922910356746,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2003-Q2,46.299310160405234,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2003-Q3,27.535520838884405,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2003-Q4,22.796336362936245,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2004-Q1,14.97044912192495,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2004-Q2,13.417243819333606,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2004-Q3,0.24263691055456182,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2004-Q4,-2.697295788846927,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2005-Q1,-1.8775873556445175,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2005-Q2,-9.968295231957327,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2005-Q3,-16.32924164089341,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2005-Q4,2.1012245209985214,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2006-Q1,-3.7737708951594566,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2006-Q2,-8.752707903794958,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2006-Q3,-0.31158118697524323,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2006-Q4,0.7183561759988167,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2007-Q1,0.31390802149041763,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2007-Q2,-4.27724572209964,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2007-Q3,-2.5487331447543666,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2007-Q4,30.755847331079522,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2008-Q1,39.605198320613994,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2008-Q2,48.98854256694085,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2008-Q3,43.15732486529918,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2008-Q4,65.06496320018312,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2009-Q1,64.35263728915133,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2009-Q2,43.61952225612376,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2009-Q3,20.883939405552372,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2009-Q4,8.22870980892576,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2010-Q1,3.413469133541919,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2010-Q2,3.5010255410619284,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2010-Q3,10.998269014739018,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2010-Q4,3.9000330720342724,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
